State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,color,tooltip_02,tooltip_03,tooltip_04,tooltip_05,tooltip_06,tooltip_07,tooltip_08,tooltip_09,tooltip_10,tooltip_11,tooltip_12,tooltip_13,tooltip_14,tooltip_15,tooltip_16,tooltip_17,tooltip_18,tooltip_19,tooltip_20
United States,6882.14193505287,7001.031110251312,7076.216299306978,7210.691555101622,7266.021807354271,7498.858199503373,7652.8336185607195,7749.1144663383175,7804.070093425516,7663.69330284416,7423.868040082019,7416.811702424601,7480.61355053235,7714.1255209583505,7950.892880996716,8076.1777653094305,8119.669957933136,8339.591730171273,8437.304562712174,#d3d3d3,1,1.0172750251768135,1.028199703825582,1.0477394426254634,1.0557791274757329,1.0896110935040988,1.1119842762298289,1.1259742300387163,1.133959480503734,1.1135622274528527,1.0787147533633346,1.0776894420977419,1.0869600803248882,1.1208902103090799,1.1552933601238835,1.1734977048606,1.1798172770278326,1.2117727022883908,1.225970728638766
Alabama,5408.524013307065,5467.873281901912,5442.087392109706,5618.2853092414925,5787.800305152147,6195.31301494887,6456.7361035092135,6166.307842400332,6181.518951819298,5989.21962939872,5610.437081418838,5596.790686064612,5657.17582308771,5645.933833073901,5687.783373342028,5758.38682652236,5731.393933942875,5812.095776534681,5891.985593772383,#d3d3d3,1,1.0109732837367136,1.006205644778513,1.0387834639207174,1.070125655523007,1.1454720363089819,1.1938074209568343,1.140109173450802,1.142921606081505,1.1073667445430433,1.0373323789660522,1.0348092515248777,1.0459740604218204,1.0438954914839458,1.0516331922254347,1.0646872995949537,1.0596964938754871,1.07461772606254,1.0893888201801112
Alaska,8111.750082654846,8092.232390012576,8046.345380802153,8398.80609285196,8479.724093913781,8841.144306144595,10358.901977437217,10396.82322486043,10412.554605857033,10736.476242929035,10856.397142731379,11234.685900091494,11292.23097611601,12341.989710465652,10203.003450467273,10111.553027295482,9845.47842121206,9943.907003244694,9752.940909125353,#d3d3d3,1,0.9975938986724944,0.9919370417990877,1.0353876792642958,1.0453630853403342,1.089918231708025,1.2770243007840443,1.2816991547966574,1.2836384873495967,1.3235708858790627,1.3383544897352477,1.384989155930031,1.3920831954946329,1.5214953104702058,1.257805448454841,1.2465316268701085,1.2137304922971435,1.2258645670688875,1.2023226566089387
Arizona,4467.6338405038005,4476.492434397513,4779.910643698099,4800.932505287389,4807.26351820262,5169.944798167755,5233.488165876565,5245.340049604531,5199.21320413408,4890.451826350872,4698.039308573767,4514.757014377382,4526.209807686549,4424.4469942618625,4456.44743302849,4621.559715411759,4676.544456091668,4836.406539512869,4861.994463502268,#d3d3d3,1,1.0019828379428501,1.069897582107822,1.0746029501705994,1.0760200342784851,1.1571997577994793,1.1714228051613116,1.1740756375444212,1.163750967457929,1.0946402505088446,1.0515721467549777,1.0105476803954614,1.013111183519942,0.9903333962039584,0.997496122584198,1.0344535564916844,1.0467609081330418,1.0825431788222561,1.0882705783592141
Arkansas,5457.496460051046,5551.399572739374,5680.6545451108905,6158.762560251439,6199.732290834534,6209.329053931479,6096.847770804006,6108.477008671278,6301.698692764758,6263.037810944419,6056.111365592807,5924.438950355342,5954.048481793104,5938.067179294045,5990.394584595134,5957.80516569589,5942.059726540375,5938.12804902137,5813.188796658735,#d3d3d3,1,1.0172062617677722,1.0408901932769659,1.1284959331322835,1.1360029889559555,1.1377614441683763,1.1171510261954398,1.1192819002972185,1.1546867210804963,1.1476027253136942,1.1096867235597183,1.0855598338399892,1.0909853126569713,1.0880569914723324,1.0976451617412692,1.091673665628024,1.0887885626745413,1.088068144888147,1.0651750008838965
California,6717.26777395426,6657.257635692531,6550.563722474642,6635.703951596383,6694.920534115031,7015.347681846726,7175.956072422183,6923.421828418829,6697.750894158411,6421.475687712576,6235.613331315197,6123.37800741891,6250.58353883348,6800.0904372516625,7396.9575716706595,7657.003893063655,7455.113439459269,8505.853293125861,8316.382616513514,#d3d3d3,1,0.9910662876215217,0.9751827592572682,0.9878575895583418,0.9966731652524143,1.044375171263568,1.0682849506530698,1.0306901647220195,0.9970945210980685,0.9559654168635948,0.9282960782795284,0.9115875998217435,0.9305246938449714,1.0123298141572592,1.1011854552459335,1.1398985645254693,1.1098431222834313,1.2662668184982468,1.238060309097653
Colorado,5768.142393300738,5957.11249828094,5906.595719207652,5922.679639176809,5911.060137264827,5995.5819181331935,6436.390483388264,6060.824259878345,6082.451877762835,5861.059318041793,5597.936395702941,5608.178847890353,5656.635304083704,5705.845880050601,5869.304808335968,5858.098198194854,5922.105024814269,6216.278830791265,6366.931968262561,#d3d3d3,1,1.0327609986188406,1.024003104720112,1.0267915102192267,1.0247770831958096,1.0394302895671592,1.1158515245503726,1.050741095940616,1.0544905903895756,1.0161086392126815,0.970492060356298,0.9722677537232487,0.9806684576049056,0.9891999002447496,1.0175381272058615,1.0155952815933589,1.0266918916031524,1.0776916391680975,1.1038097768975454
Connecticut,9383.212493367606,9486.737188019148,9646.485989518227,10035.608707776575,10241.373027832416,10451.766098459872,10755.09925595963,11076.144876079057,11456.51618501354,11775.038801326791,11870.563029058874,11942.86222618617,12615.562253945418,12919.041582011889,13210.244775106836,13213.212616047762,13460.136452894552,13561.696887389202,13607.143522418475,#d3d3d3,1,1.0110329692229305,1.0280579275313986,1.0695280230379633,1.0914570074024637,1.1138792930297121,1.146206511209431,1.180421405132632,1.2209588339933066,1.2549048430534653,1.265085176047054,1.272790340688524,1.3444822082908763,1.3768250043514985,1.4078594920923206,1.4081757847205676,1.43449127496672,1.445314906485929,1.4501583047422721
Delaware,8377.114213282495,8556.931374569493,8795.012120006813,9082.264633640849,9247.38094702003,9068.27320501345,9085.374536510544,9005.846682364796,9092.927644888125,9361.118992482052,10036.321983533719,9657.226934840673,9535.736571145808,9567.052818520364,10036.911423384026,10184.283221050711,10167.14020786403,10319.760937728257,9827.201657413865,#d3d3d3,1,1.0214652870557601,1.0498856642137828,1.08417581549029,1.1038862204310962,1.0825056187768185,1.084547053459657,1.0750535868408482,1.0854486895344768,1.1174634550928468,1.198064360590958,1.152810704135855,1.1383080531510763,1.1420463628574071,1.1981347237059043,1.2157269152308827,1.2136805048859576,1.2318992764078065,1.1731010712295358
District of Columbia,9554.07467853031,9905.600468853145,10943.594055352543,9887.702381557,10383.386838193415,10889.90867810043,10861.998249368424,8940.691149678865,14244.199072371874,13828.08892497141,15055.041156532394,14091.544841851854,12261.521401602571,13126.122638441466,14440.504364246046,14557.299143248187,15363.890713592067,12445.692660086042,12716.976319868178,#d3d3d3,1,1.036793284766004,1.1454373577322696,1.0349199387959995,1.0868019339985604,1.1398182497538953,1.1368969382013778,0.9357987508481772,1.4909030493953641,1.447349888947965,1.5757717689148614,1.4749251304805098,1.2833813649328458,1.3738769143115634,1.5114498106966239,1.5236744146412213,1.6080982440002731,1.3026580887057233,1.3310526396078382
Florida,5071.45962558249,5359.3042521371835,5550.112380101082,5717.947768302499,5927.780986362498,6394.612134671164,6611.343791955335,6343.967792147671,6265.312101872272,6305.317845637475,5765.9108111815185,5738.653409476261,5879.095943445765,5915.585650224792,5915.332951005684,5929.268521080557,5984.525318526178,5993.178338040867,6082.452108791445,#d3d3d3,1,1.056757747829183,1.0943816553530417,1.1274757546050178,1.1688510653738378,1.2609017140576568,1.3036372721188685,1.2509155668214604,1.2354060890611271,1.243294497274691,1.136933198106505,1.131558532089692,1.1592512565394846,1.166446365930666,1.1663965382207433,1.169144380282736,1.1800400201034464,1.181746238855744,1.1993494098048423
Georgia,6769.434709426089,6944.895020048774,6803.326033663286,6815.829430314347,6947.674041755352,7356.79388026783,7597.102807113616,7312.001627987404,7033.525648829482,6755.59983326964,6509.813408298165,6314.0623252341775,6208.2256110989265,6379.426867489957,6586.778584819073,6669.900322515059,6821.761537707404,6871.535241228485,7118.483393207487,#d3d3d3,1,1.0259194922699182,1.0050065220645388,1.0068535591049657,1.026330017199379,1.0867663543639579,1.1222654672383563,1.080149516444234,1.0390122588870914,0.9979562730493309,0.9616480086931904,0.9327311062535504,0.9170966081487265,0.9423869409076261,0.9730175217802638,0.9852964994591892,1.0077298667506835,1.0150825787063469,1.0515624566546695
Hawaii,6377.744770147996,6828.341259058304,7104.358313291609,7378.732948046035,7620.572382146788,8213.828714289191,8659.555279231878,9364.364578779107,8704.961994672716,8122.4989009514165,7814.852405864821,7725.8588460351375,8124.027663643617,8211.133697920262,8710.331771816209,8875.902145892056,9380.735373770769,9526.55163338558,9805.608323025283,#d3d3d3,1,1.0706513830750006,1.1139295423900684,1.156950178154403,1.1948694494354863,1.2878892163786901,1.3577770185731237,1.46828775943033,1.3648965752624054,1.2735691366907638,1.2253316317146188,1.2113778654481744,1.2738088393987423,1.2874666506495716,1.365738530739932,1.391699176711659,1.4708546221038394,1.4937179170254746,1.5374726766931663
