State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,color,tooltip_02,tooltip_03,tooltip_04,tooltip_05,tooltip_06,tooltip_07,tooltip_08,tooltip_09,tooltip_10,tooltip_11,tooltip_12,tooltip_13,tooltip_14,tooltip_15,tooltip_16,tooltip_17,tooltip_18,tooltip_19,tooltip_20
United States,3841.2285159404396,3942.922167324292,3996.988005621708,4084.2647928869633,4169.774925440729,4298.565972819199,4417.374722492388,4439.746830965886,4401.571401644408,4324.653132073443,4217.329960685599,4182.399709737375,4248.285105616197,4355.899266261934,4434.471643085193,4550.432149528574,4607.804087699503,4775.128852362318,4815.232038078956,#d3d3d3,1,1.026474251912335,1.0405493942979163,1.0632704552561674,1.0855315970234205,1.1190602056037247,1.149990088889802,1.1558142954895025,1.1458759569701833,1.1258515639272368,1.0979117600487456,1.0888182497815824,1.1059704175334903,1.1339859756288122,1.154440988002379,1.1846293785035338,1.1995652090413018,1.2431254304570405,1.2535656283130694
Alabama,2812.058365875432,2953.0825797169678,2991.400807376482,3209.0216799173973,3450.9121847476235,3686.8856888861105,3882.0053456140286,3747.543237840334,3658.3621160768225,3577.134887537558,3400.3273319771956,3460.2850218099175,3536.2461631139495,3571.5035436047824,3585.392411569102,3638.1398995143827,3656.605739842212,3746.1415691140573,3700.1057856400753,#d3d3d3,1,1.0501498174977009,1.0637762159126516,1.1411646781088005,1.2271836981140707,1.3110985652455804,1.3804853386837534,1.3326690808829185,1.3009552577113472,1.2720699296097102,1.2091951480241154,1.2305167857825325,1.2575294332530924,1.2700673595346677,1.275006399254775,1.2937640070574354,1.3003306703073572,1.3321706315109971,1.315799782302236
Alaska,5266.4393990787885,5448.188657281353,5474.650889431308,5659.672814862904,5850.1099177776905,6157.739495262766,6884.8706689296,7663.865149349897,7742.603200070656,8028.238896952834,8188.422698762143,8332.341084360978,8242.736432918979,8885.648998754892,8019.649819559196,8097.503681184304,7858.018028290823,8062.4698654716685,7894.074248013524,#d3d3d3,1,1.034510842037669,1.0395355333223697,1.0746677946874126,1.1108282986795592,1.1692414985995823,1.3073103376322737,1.4552270649293846,1.4701779728871467,1.5244149393150033,1.5548308977398413,1.5821583527228056,1.5651440771084932,1.6872213511673901,1.5227840314581427,1.537567048165546,1.4920931264613728,1.5309147707807982,1.4989395395671627
Arizona,3080.706693146689,3128.1206592477774,3136.0076235372017,3176.0171872121027,3136.6263799753483,3452.602628327919,3543.673745752438,3642.65385613986,3631.2100854002715,3608.577162723695,3425.618785051529,3121.2424504419732,3314.8387867923657,3313.0625788820716,3352.6801490503467,3455.423449357217,3472.2050232831675,3524.791061658278,3562.5760948039842,#d3d3d3,1,1.0153906135259696,1.017950728809573,1.0309378670411697,1.0181515776730896,1.120717735319804,1.150279497115276,1.182408524720407,1.1786938670527212,1.171347201196174,1.1119587569540872,1.0131579411261253,1.0759994757587683,1.0754229171677652,1.0882828139753413,1.1216333762133603,1.127080689313073,1.1441501618766547,1.1564152156157084
Arkansas,2926.0869839749425,3052.6980569725233,3158.9458691520954,3411.8081769398277,3550.469883746711,3721.1245948263477,3732.11006350858,3770.953969956061,3987.982546696094,4051.750052348735,4002.2886073304367,3943.3242570017164,4001.3450109231226,4016.9643884906905,4062.5544878068354,4037.379669476357,4013.3237512951787,4047.790888052269,3992.1526240122625,#d3d3d3,1,1.0432697570820626,1.0795803017656111,1.1659968400204759,1.21338494145638,1.2717067589601818,1.2754610795741608,1.2887361143425098,1.3629063553259853,1.3846991133683373,1.3677954993304842,1.3476442356627785,1.3674730221066416,1.3728109965595916,1.388391565273312,1.3797879870241516,1.3715667966381777,1.3833460557462813,1.3643314931769812
California,3753.062510714536,3883.8107993743342,3833.9085687670604,3854.1594427029445,3943.9315927424896,4177.693914677031,4381.267223414565,4216.817756164385,4001.3328028409856,3802.3954741406224,3716.932915486601,3688.0985725060996,3797.9984910261746,4102.867765240961,4526.0019411129,4718.0123762845105,4643.475794956833,5211.522710506152,5190.248785250434,#d3d3d3,1,1.0348377593729194,1.021541356644532,1.0269371830870893,1.0508568886031195,1.1131426409099832,1.1673845588520257,1.1235671519261627,1.0661513874116586,1.0131447220197496,0.9903733031025224,0.9826904193514037,1.011973149976413,1.093205283292717,1.20594898917663,1.2571099902586649,1.2372497877933755,1.3886053577919073,1.3829369402808789
Colorado,3829.2006500768252,4041.4637723821047,4002.436966747436,4106.236497453385,4177.571604127662,3937.500817280318,4216.520984647605,3995.7984211318335,4034.6268515177985,3910.111162086856,3689.1049918961025,3623.5418128394945,3799.667554389602,3950.7592497375135,4086.757334651923,4160.320444546541,4281.182268060413,4604.668404211781,4878.063750929946,#d3d3d3,1,1.055432749992096,1.0452408563826854,1.0723482190391358,1.0909774613257333,1.0282827088732789,1.1011491352804947,1.0435071928266977,1.053647280519722,1.0211298700182785,0.9634138633665196,0.9462919663838445,0.9922873992809359,1.0317451632257113,1.0672612140525806,1.0864723018531484,1.1180355012147298,1.2025142647250406,1.2739117629764523
Connecticut,4854.299943603786,4975.029108628928,5060.5090872555065,5284.943288481645,5472.805427829095,5675.144422639782,5884.942619364184,6147.222418513092,6049.723686433015,6244.284542969713,6344.94963289498,6369.7904760271695,6701.416257505212,6955.8755619930525,7149.575801735022,7182.019688892534,7957.004190388586,8107.794883097444,7826.687722885816,#d3d3d3,1,1.0248705614460885,1.0424796872973268,1.0887137898112973,1.1274139405086154,1.169096365814307,1.2123154085520431,1.266345815036195,1.2462607907870147,1.2863408968367156,1.3070782000719448,1.3121954864820935,1.3805113683457608,1.43293073003418,1.4728335465045954,1.4795170822428971,1.639166158422708,1.6702294825808175,1.6123205845981072
Delaware,4572.507904546339,4667.737970902273,4879.57726600901,5057.691140140566,5284.834703286861,5293.244152433604,5274.092623410285,5093.381848163318,5040.7227589869935,4826.332487176383,5063.717128876301,5254.224968806105,5286.333749004883,5209.545046767083,5239.307402025641,5403.404482200173,5387.927505096053,5604.0038193374585,6826.2871663726355,#d3d3d3,1,1.0208266597551967,1.0671555671139155,1.106108780066147,1.1557847058136899,1.1576238385877153,1.153435430514265,1.1139142795355446,1.1023978228610867,1.0555110210695695,1.107426653946637,1.1490904069475638,1.1561125446604048,1.1393189810754296,1.1458279594916214,1.1817157225311066,1.1783309329523435,1.2255864694658105,1.492897838314378
District of Columbia,9106.605491656717,8496.67822918407,8446.946051568544,9693.78785448521,9412.590666274866,9689.785813243672,9172.560605141154,10006.68644248586,11509.097700351733,10256.195753093505,6758.192052433526,8380.258880776766,9158.486766189886,8946.00326315396,8246.409419129955,9466.238821306113,8787.628830741089,10750.842342401209,10729.43438425773,#d3d3d3,1,0.9330236427797987,0.9275625324175358,1.064478730671539,1.0336003546984094,1.0640392649183334,1.007242557454022,1.098838250065162,1.263818632628385,1.1262369674946409,0.7421197787282255,0.920239587457103,1.005697103556391,0.982364204900509,0.9055415244116092,1.0394914801106607,0.9649730449828019,1.1805543077770204,1.1782034913105452
