Year,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2002,12651.273861615853,10033.211408593974,14724.360238256884,10192.036285822764,9924.175831393795,12276.982994371949,11145.242161572112,16890.607901435887,14664.300488682542,23635.684608249117,10540.325831156979,12603.190537092338,14554.932411739463,9369.646300444521,12850.076416934817,12911.995606638126,11829.366306777154,11534.880431631917,10035.392138954412,10249.148873366477,13309.980015425128,13915.162425162376,16493.442571594085,14292.148831395021,13212.207024871055,8739.798901514407,11519.679993353984,10878.753330448086,12349.07725750771,10308.823424198432,12737.751994406122,18672.880650661868,11259.197079797807,17772.313709385282,10637.536216654496,10820.573566820916,13789.770203342207,9982.642375322303,12232.324653141917,14209.908839877102,14758.888477435128,11850.475008396097,10368.566197605984,9123.20467331574,11294.519643597176,8472.380834927497,15627.595201793794,11940.38832768401,11592.677186606861,12158.236488366254,13871.127838915272,14670.396873702806
2003,12857.04437077185,9924.129742909832,14878.018625076269,10167.871012252901,9975.083544608018,13024.107901632626,11589.14638932352,17159.140315138437,15094.386876131248,22948.008735961143,10717.049147650414,12572.15571446438,15728.81856116695,9429.724178177783,12877.149486292541,11131.198123932569,12167.393608455954,12035.075719771481,10251.42602216857,10531.496868131293,13882.256174340499,13951.964167146965,16518.89189761195,13845.89636029522,13722.886128251499,9213.929755207699,11373.356949583631,11115.206973305378,12426.69508532033,10442.274623357818,13344.254096251649,19639.70736175014,11396.9074324766,18290.400313310347,10479.820470433404,11268.788171229875,13708.621709312436,9861.56634701351,11522.67947155125,14857.266280274567,15210.356962470965,11463.365271567887,10489.800780317695,9174.109770657795,11588.412095324826,8277.104132910034,16255.198592094393,12220.377088307205,11711.420465349102,12335.282646292613,14026.805584072621,15542.8174537987
2004,13145.479940506879,9975.199006943705,15083.26553370327,10342.091289509912,10122.344512064357,12688.390161486548,11659.469614841813,17420.553857464987,15776.733409079152,22607.794253071326,11346.306700009764,12632.241357567338,15847.0032789276,9356.831714239719,13370.72952904022,13772.373521480511,11966.358079011063,12681.884264239592,10523.343007818885,10773.473878796274,14470.577625206748,14274.251021482056,16774.305855757757,13910.292083335004,13863.953282581891,9607.1124223482675,11625.5014901688,11603.41249859527,12746.886606870898,10822.03668752215,14148.729631300612,20587.92175122023,12027.67656552881,19583.814919632045,10752.99494919408,11810.053861070308,14041.633087932003,10049.308937367847,12538.229454692786,15479.984717557783,15845.176237150075,11634.62109873481,10915.736733050553,9434.96202650696,11455.126724328615,8357.917990400205,16894.768287109317,12530.698269072509,11686.275942404021,12505.016668643584,14104.326133814102,15226.295603488938
2005,13421.681723226253,10665.849915480141,15938.74422833386,10327.09881936048,11344.957815828446,12659.758315488258,11834.841399785837,18351.262699517996,16190.74812881191,23528.152444677067,11592.822212205268,12522.815039580471,16401.423573903423,9345.926507130336,13344.809706048332,14831.485629028608,12318.527665419611,11906.84857347431,10656.368286992607,10994.705523792702,14874.137365944172,15148.689266621954,17801.315930259938,13854.130740482587,13686.572697007097,9709.264805073331,12093.207505080069,11589.274210065729,13100.002260331992,11147.736848714483,14645.29260477372,21419.717805443237,12082.57193712512,20862.680733960984,10783.071758763503,12168.18975272641,14379.077050064025,10272.270788919262,11937.051397421908,16128.80449151624,16288.127551234511,11920.93836965755,11109.65748043359,9515.126316477865,11475.322751949378,8601.098464655519,17569.03423083728,13152.889055133803,11812.047208294913,12731.83711966721,14529.221749665467,17748.113201982283
2006,13712.289551118294,10897.08772733808,15568.034732393984,10216.863149515102,11406.011409126155,13066.032924617904,11820.009909704027,18959.810328268733,16731.691778862885,23337.18889709114,12147.020083570118,12874.768219914033,18839.933844360185,9238.908876128033,13374.877018483834,14039.455484837668,12438.993807866604,12696.761661926086,11238.510589490188,13310.581254071732,14906.016157608105,15823.578770766993,18818.349042909944,13875.68033690827,14016.01213960914,11004.223034245115,12201.744882573175,11964.838321180145,13421.40892332283,11377.604650136069,14962.270033913084,21315.10113999851,12015.112274393758,21386.846657511902,10737.324070565155,12495.001872030782,14775.539224427042,10271.6765410947,12308.488864030947,16475.98191227078,16905.200941405936,12276.594091637478,11334.676639262998,9563.153729293728,11725.310526314943,8659.216537063605,18241.48824680261,13586.491782515392,11914.997450353869,12770.873672785787,14206.716689474944,16968.402319889272
2007,14263.693838050141,11798.369279739996,16900.318684293507,11111.161277400248,11511.752960119435,13953.313125197432,11980.384865471839,19544.91156363614,17782.485532974577,25023.02571174996,13497.14463556258,13522.767887783568,20497.836613060885,9490.700777866685,13847.11409751868,12212.794937812436,12857.013695810649,13324.519275926186,11949.389089886778,13155.283225899073,15642.88677224964,16999.567611876246,18986.569112297588,14340.304639331633,14380.634038632159,10575.581666397497,12025.137916886797,12594.239941437547,13520.935775756829,11748.648621088967,15625.685514629784,22147.960199212957,12387.122215931182,22773.73253753268,11445.57403278912,12871.335814484559,15298.185684159462,10661.12004692811,12408.203327464305,16616.34350248344,17522.2180624227,12592.11570821714,11610.57950670273,9622.877110350802,12155.648523746211,8989.162120208943,19213.584173049458,14087.90872443686,12487.57681532912,12781.108135543875,14306.501626889769,21530.153005358774
2008,14390.96559111884,12439.714905713075,20045.379614219164,11132.559078990495,11533.894624141101,13936.88283530469,12025.421630609197,19860.86282574724,17285.08012922238,25172.11205189304,13564.53055364886,13573.586182790174,16903.79632061874,9679.080939166348,14065.323227974563,12811.110236869774,13065.635273179638,13760.960366249026,11919.534051958753,13885.243341247831,15480.461466749817,18520.49268038589,18524.92390745824,13914.693462616697,14630.710954907167,10764.299648018912,12310.982622522954,13016.842923622942,13599.718723206137,12102.931845184026,15981.619922256537,22094.326701722606,12977.01677597685,23223.15475623142,11426.51705620534,13383.95931296657,15206.998887218,10775.325826907081,12853.220221774378,17502.082281932227,17984.964418671763,13008.844302070844,11686.864604513155,10003.922488344133,12039.058511666326,9021.511342016534,19454.748529435084,14129.193363605636,12904.04792415629,12593.705403415337,14373.65333105339,22266.71755038892
2009,14454.210698318759,11368.880271158678,19558.33041990032,10479.908554554639,11770.23791730835,13673.174939954475,12000.12291251453,20498.739407377256,16913.61021591444,21319.28832219243,11914.517390636212,12852.148966570636,17682.569104913215,9605.564795346549,14698.303730850068,14583.595977653107,13375.956163060922,14086.568090715089,11810.670881831798,14120.30700140512,16124.286647231544,18376.25555144904,19196.48241717541,14143.85543645414,14942.51347674162,10522.969175371854,12338.019921480003,13292.289361604297,13918.22709823603,12158.291647643224,16193.56979908137,22269.676221604383,13292.377995241754,24359.156036782297,12522.069104579105,13762.30089670413,15115.046261111622,11036.128040938553,12816.160361505803,17725.87267585896,18066.28154284405,12647.664163210924,11696.395450715283,9821.127730211992,12169.317821585344,9384.526011087977,20186.101016565983,14330.709696779839,13580.391814772744,12960.086580662177,14671.677509197363,22699.11801968701
2010,14359.368405292562,11357.654765589685,19850.5605298602,10584.875706449935,12423.157867875943,12362.932879720667,12368.158049634352,20531.73674822793,16841.897324290123,31854.351561492942,11661.702644710773,12548.921189886332,16630.58136205955,9537.72342482192,15333.469590653744,15625.739058622674,13160.776096341704,13513.599449943731,11824.1854157177,14149.856511785545,16526.264032865536,18349.66453016592,18581.37634110431,14115.162319332669,14905.313703207836,10586.979825457947,12379.905061104784,13271.368728964917,14433.57371094523,11746.799751856286,16615.984783150117,21997.11946379893,12826.946153209472,23928.282886106692,13445.085133654546,15508.002659385513,15809.16343066226,10328.63753406846,12871.520202589376,18240.405936876523,18172.16158912178,12641.461491249951,12194.092832168622,10068.746885631204,12450.612018567166,9046.386182032285,20251.488341521093,13792.634376913205,13357.430271176723,13167.134694551189,14926.669656603593,22795.545625860213
2011,14224.995209158926,11312.228852532506,20510.28874629075,10088.79310711946,12423.479264626363,12669.065321209659,11938.754326354656,20721.513196091368,16359.876353642014,33258.0563210819,11492.497503219549,12397.06174795296,15944.293062536242,9007.817877659214,15865.423049004643,13272.297101392303,13643.318290802177,13142.698104488913,12092.937095620038,13747.778267448959,15923.224730782886,18071.877798636255,18897.297260056923,14486.184964514787,15425.475459553367,10528.143227428693,12575.791205537724,13099.25870923366,14633.340846684674,11054.503982725842,17221.754771358304,20717.63143778553,12416.407749143544,24619.752938802703,11399.986325041184,15028.901784831414,15769.39539209298,10153.782416529495,12410.065588619984,18543.346118118196,18100.09363192299,12462.317044511743,11812.498150739277,10041.724855548408,12137.890673369666,8688.754006246532,19839.797989487066,13205.612706427859,12979.72363044589,14068.873257816196,15119.799817762756,21400.326868258504
