State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,color,tooltip_02,tooltip_03,tooltip_04,tooltip_05,tooltip_06,tooltip_07,tooltip_08,tooltip_09,tooltip_10,tooltip_11,tooltip_12,tooltip_13,tooltip_14,tooltip_15,tooltip_16,tooltip_17,tooltip_18,tooltip_19,tooltip_20
United States,1001.1332841335095,1091.68485660908,1191.9381908286778,1238.0350494739887,1258.9457617297066,1208.1595384188724,1182.0447752354669,1388.870572888242,1819.698785934788,1776.7986165954667,1395.9957451624985,1252.0321225663909,1197.1300983266838,1194.3937209420396,1203.4830795188236,1207.1641536977463,1180.3655243485562,1224.4406743605775,1203.5171728606265,#d3d3d3,1,1.0904490679819359,1.1905889153014344,1.2366335922449327,1.2575206335481457,1.206791900305808,1.1807066990670858,1.3872983696574654,1.8176388846263911,1.7747872783325778,1.3944154762277694,1.2506148206330356,1.1957749455536397,1.1930416657516276,1.2021207351631005,1.205797642361435,1.1790293490942856,1.2230546059812033,1.2021547899111977
Alabama,1010.6933683235025,1101.8854186536644,1184.0780952365376,1225.3145780319946,1270.267336446944,1168.4840449690369,1163.7345989885293,1171.4046154758057,1797.3447041980182,1678.1260378003124,1199.3835319227555,1212.1509497790955,1174.675789748364,1176.1325025091228,1167.1082545693264,1154.7102680564594,1179.703234450859,1192.8603925611374,1259.842371321057,#d3d3d3,1,1.0902272174610461,1.171550276619148,1.2123504679411297,1.2568276158317062,1.156121214990528,1.1514220192409945,1.1590108851895256,1.7783283837900128,1.6603710783062922,1.186693778264564,1.1993261139031344,1.1622474496858222,1.1636887500904889,1.1547599807697153,1.1424931678060246,1.1672217028669174,1.1802396552178889,1.2465129492348732
Alaska,2705.51974323516,2749.498972940287,2973.7371708772175,3065.7455289186796,2820.512428068424,2691.2228671792996,2822.7876703818533,2877.385494963015,3317.9885585746765,3712.5282219500896,3043.1891490369226,2721.9570040090343,2595.8703418544433,2860.693664503166,2504.986682834269,2796.9122860386747,3106.604210326744,3040.169411645645,2891.7260655824666,#d3d3d3,1,1.0162553719355003,1.099137117115003,1.1331447632508402,1.0425029923070381,0.9947156637494114,1.0433439554229489,1.0635241166351068,1.2263775072685845,1.3722051857994524,1.1248075925692524,1.0060754540102594,0.9594719640635103,1.0573545699143392,0.9258800232737902,1.0337800317414172,1.1482467345117142,1.1236914530922342,1.0688246030408368
Arizona,1041.324260177018,1179.4044735644673,1238.4125350857285,1258.6007054668705,1240.5711763318116,1239.6627909070776,1217.7815806134092,1274.7272280256932,1944.9331246354016,1531.659771247192,1259.4593035276032,1391.1852098022432,1279.2404210261993,1258.2322840863264,1336.051514386271,1334.2070661058951,1319.3823024075025,1347.1539941259887,1315.0730723717675,#d3d3d3,1,1.1326005920230617,1.1892669578976358,1.2086539741741127,1.191339934902624,1.1904675981488642,1.1694547291219304,1.2241405264187337,1.8677497480993828,1.4708768726725145,1.2094784993422738,1.3359769507009769,1.2284746163589209,1.2083001733508403,1.2830311992915169,1.2812599467135137,1.2670234938953757,1.2936930845123897,1.262885272785457
Arkansas,1064.3025458989598,1192.5267770766693,1289.457049305453,1299.4745393533008,1318.9508588760089,1284.7163380502284,1246.6250062213549,1350.3214037474697,1968.682292975182,2023.8781306056983,1583.5551303501268,1331.4722496635281,1260.9948513580794,1317.5335186922714,1337.8085861324744,1321.8472916056771,1272.129009405038,1291.22430749177,1260.6592299539332,#d3d3d3,1,1.120477238048327,1.2115512212895414,1.2209634791916275,1.2392630873225632,1.2070969321651832,1.1713069850531992,1.268738300918866,1.8497393439121586,1.9016003845938712,1.48788061858161,1.2510279664312034,1.1848086394390647,1.2379313793517432,1.2569814770127214,1.241984524700336,1.195270099002289,1.2132117060766228,1.1844932954558718
California,1195.59131145594,1322.6881281961987,1466.9006620776743,1526.7798972503192,1534.1094528027375,1456.3244785274046,1419.2823129659444,1894.2822384064007,1877.678315234687,1874.4045701692394,1602.6567698361876,1403.262807796844,1304.1420401721784,1319.1629177797004,1338.985278973898,1350.0079598138152,1333.0852033111944,1456.6740726580388,1417.2421054572108,#d3d3d3,1,1.1063045670560165,1.2269248262529988,1.2770081905254662,1.2831386763212291,1.218078840631549,1.1870965432473768,1.5843894316190912,1.5705018071335184,1.5677636264240407,1.340472078108815,1.173697729609636,1.090792503823108,1.1033560591647995,1.1199356052055438,1.1291550439337277,1.115000745269569,1.218371243334115,1.185390101013158
Colorado,659.5686378526315,752.3955404898468,794.9866445775554,827.4058088653711,863.8268127152816,844.4567772219131,829.2745003444004,826.9403405842626,1026.5103000642118,1351.188816960288,946.1972164848651,909.591668310131,861.9642220408999,891.2828889776871,875.3542260963007,835.1265151722449,808.9067992258292,813.5114780328413,935.8686785152848,#d3d3d3,1,1.1407388061073271,1.2053129863266492,1.2544650569790128,1.3096844864056254,1.280316753645572,1.2572982594264686,1.2537593407663317,1.5563358248903987,2.048594701772625,1.4345697508684085,1.3790705259599723,1.3068605336469774,1.3513118086988665,1.3271616869871283,1.2661707474315034,1.226417923477078,1.2333992724114415,1.4189102161712963
Connecticut,758.4847768084448,894.7694913058211,888.0884162194092,964.5831670340441,901.8840067670037,876.2820623250128,852.2157424214143,883.1666130544858,1788.7320543736485,1747.7384714281275,1102.6679012908044,933.0257782971264,900.9464959175956,955.1673129266916,1013.0303483210143,1014.3177302086181,1001.2879740867339,1074.01826488235,972.306794356217,#d3d3d3,1,1.1796802238679538,1.1708717740602665,1.2717238322077087,1.1890601292776826,1.1553060642986612,1.1235765943877885,1.1643827800614241,2.3582965790035786,2.3042499004162855,1.4537772345683913,1.2301180021346187,1.1878240980769603,1.2593098004495862,1.3355974691854031,1.3372947766686474,1.320116111360807,1.4160050375718918,1.2819068016730584
Delaware,1122.3007564755276,1167.8358945531645,1295.2080649483148,1269.883212507171,1232.9208091080905,1122.3071227374949,1111.3402067737645,1125.4460927756372,1822.0564201336852,1865.672945121132,1751.652533003262,1415.4356457984518,1207.615335573038,1227.0578591569013,1197.2943473540804,1207.4590364192372,1205.299884260516,1216.9243057304238,1209.6855121959131,#d3d3d3,1,1.0405730262720623,1.1540650378030441,1.1314999167381043,1.098565426419166,1.0000056725097355,0.990233856977711,1.0028025787935733,1.6235010175486915,1.6623645082269123,1.560769270533284,1.2611910289034152,1.0760175724780159,1.093341381155576,1.0668212958477037,1.0758783057503594,1.073954443411086,1.0843121139399852,1.0778621552344032
District of Columbia,2985.251485537891,3192.944707901585,3546.5282290924542,3616.851628895848,2762.848379252318,2981.492989601717,1787.074287530922,2050.829058083327,2180.315996282948,4094.437137918408,3490.1801529953163,3268.4310725982564,3287.5850887532933,3447.0894438778914,3460.9670822294825,3671.50293654884,2926.3631905810716,2751.4403445958724,2569.2060191089085,#d3d3d3,1,1.0695731074483568,1.1880165695498954,1.2115735127903817,0.9254993733817707,0.9987409784554561,0.5986344186372365,0.686987032087115,0.7303625864840975,1.3715551797742966,1.1691410823857094,1.0948595414598181,1.1012757567260458,1.1547065500435671,1.159355283464795,1.2298806162011835,0.9802735899330074,0.9216779081847137,0.860633025912717
Florida,1017.8804900843202,1089.841084340715,1159.1229558620028,1181.2994031281917,1194.1402067947915,1181.0799584452873,1139.3039057847946,1231.1940107952448,1897.2679191907466,2079.2461566314323,1304.8063113695598,1255.7442933993184,1258.1102881850547,1235.3375449077282,1223.8602333032893,1211.5147017759368,1234.733192057498,1241.2368647929643,1190.4438468820044,#d3d3d3,1,1.0706965060804277,1.1387613449256526,1.1605482319740053,1.1731634690196981,1.1603326421429374,1.1192904440976326,1.2095663712871183,1.8639397627452108,2.0427212987049095,1.2818855691609443,1.2336853939457018,1.236009826734015,1.2136371184454022,1.2023614218226208,1.1902327567704694,1.2130433818956623,1.2194328085511703,1.169532040822778
Georgia,888.4011114210247,993.597650473699,1091.2656981433781,1188.6699064440177,1177.8371600479004,1142.0138473388354,1070.2614275717715,1194.8557693106018,1857.108882586239,1583.6510475944685,1261.373128582278,1193.2607507727332,1162.450442710767,1158.7720226986273,1130.0266321272568,1129.7024166155454,1080.226969925285,1094.146585460731,1050.8744890051494,#d3d3d3,1,1.1184110844755801,1.2283479659293373,1.3379878651240136,1.3257943342325562,1.2854709800082864,1.2047051875698982,1.34495078174699,2.0903945962153703,1.7825856217822267,1.4198238975238036,1.3431554006771516,1.308474773125162,1.304334278516532,1.2719779586044695,1.2716130158916077,1.2159225782568293,1.2315907436344944,1.1828829067134368
Hawaii,1331.3156764441953,1309.4289851178107,1780.2924296310664,1736.0487793445766,1594.3027582739617,1790.1944212406029,2099.177220039287,2623.3015556771516,2518.639455443316,2250.801003986479,1972.2363865973489,1870.1451238543311,1681.7300813374754,1545.9576631007594,1549.3661265644207,1472.3255532868916,1550.889550731957,1674.4486928506585,1536.5954673970687,#d3d3d3,1,0.9835601039530747,1.337242895228306,1.3040098678785041,1.1975392361728792,1.3446806440543273,1.5767689490789814,1.9704579477977118,1.891842408233589,1.6906591305212695,1.481419036441444,1.4047345471430883,1.263209102914795,1.1612254632423846,1.1637856850770474,1.1059176867948546,1.164929984805873,1.2577397851446739,1.15419317490586
