State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,color,tooltip_02,tooltip_03,tooltip_04,tooltip_05,tooltip_06,tooltip_07,tooltip_08,tooltip_09,tooltip_10,tooltip_11,tooltip_12,tooltip_13,tooltip_14,tooltip_15,tooltip_16,tooltip_17,tooltip_18,tooltip_19
United States,985.5717021431385,1074.7157440313556,1173.4107438063916,1218.7910744362243,1239.3767512861643,1189.37994731695,1163.6711111313566,1367.2820155637137,1791.4134494027944,1749.1801188482325,1374.2964344005406,1232.5705774967375,1178.5219484694212,1175.8281052425175,1184.7761791362586,1188.4232964141063,1161.9492769295257,1205.3897650271026,#d3d3d3,1,1.090449067981936,1.1905889153014384,1.236633592244935,1.2575206335481461,1.20679190030581,1.1807066990670883,1.38729836965747,1.8176388846263976,1.7747872783325835,1.3944154762277723,1.2506148206330363,1.1957749455536415,1.193041665751628,1.2021207351631011,1.2058212444917649,1.1789596580369057,1.2230360940822134
Alabama,994.9831847070391,1084.7577488836853,1165.6728252749365,1206.2683295731363,1250.5223438279863,1150.321168398649,1145.6455476462168,1153.1963416560025,1769.406838758315,1652.0413032886606,1180.740354769707,1193.3093163136589,1156.4166689060353,1157.8507385727892,1148.9667632384912,1136.7837414351113,1161.2973201823381,1174.3008366250829,#d3d3d3,1,1.0902272174610461,1.1715502766191521,1.2123504679411317,1.2568276158317064,1.15612121499053,1.151422019240997,1.1590108851895295,1.7783283837900192,1.6603710783062977,1.1866937782645663,1.1993261139031355,1.162247449685824,1.1636887500904898,1.154759980769716,1.1425155308225874,1.1671527097458116,1.1802217913570487
Alaska,2663.465235630449,2706.760853672897,2927.513500626895,3018.0916838553144,2776.670478050515,2649.39058973363,2778.910354074196,2832.6595119122,3266.413856369016,3654.820808528675,2995.8859195813893,2679.6469961774496,2555.520220845232,2816.22713870183,2466.0492543544533,2753.491071262747,3058.1344858302127,2992.867820778525,#d3d3d3,1,1.0162553719355003,1.0991371171150073,1.1331447632508425,1.0425029923070388,0.9947156637494133,1.0433439554229516,1.0635241166351106,1.2263775072685892,1.372205185799457,1.124807592569255,1.0060754540102606,0.9594719640635121,1.05735456991434,0.9258800232737909,1.033800266820824,1.148178862978981,1.123674445133167
Arizona,1025.1379510110687,1161.0718502204447,1219.1626924243537,1239.0370585662372,1221.2877798237362,1220.3935143113972,1198.8524248122628,1254.9129110025158,1914.7011497680478,1507.8517034410752,1239.8823106076832,1369.5606738396161,1259.355951083295,1238.6743639152003,1315.2839747249807,1313.4939061465618,1298.7970934868704,1326.1938045980435,#d3d3d3,1,1.1326005920230615,1.1892669578976403,1.2086539741741147,1.1913399349026241,1.1904675981488664,1.169454729121933,1.2241405264187377,1.8677497480993894,1.4708768726725194,1.209478499342276,1.335976950700978,1.2284746163589229,1.208300173350841,1.2830311992915178,1.2812850259334314,1.2669486016061529,1.2936735034441469
Arkansas,1047.759063035035,1173.9901810895992,1269.413772437287,1279.2755509578187,1298.449131226994,1264.74675063786,1227.2475091857348,1329.332053407418,1938.0811618364512,1992.419037229144,1558.9404028330594,1310.7758899385842,1241.3939899344914,1297.0538221312522,1317.0137346072447,1301.326013396027,1252.2810537482012,1271.1343205072635,#d3d3d3,1,1.1204772380483272,1.2115512212895458,1.22096347919163,1.2392630873225636,1.2070969321651854,1.171306985053202,1.2687383009188704,1.8497393439121657,1.901600384593878,1.4878806185816131,1.2510279664312045,1.184808639439067,1.2379313793517444,1.2569814770127226,1.2420088351481176,1.1951994479730186,1.2131933431577095
California,1177.007080449876,1302.1283085589657,1444.0992076795185,1503.0476820409606,1510.263307229169,1433.6874199695117,1397.221036579738,1864.837579205631,1848.4917468554831,1845.2688887728762,1577.7451270794375,1381.4505380584867,1283.8705003014486,1298.657893894242,1318.1721369748427,1329.0494957729888,1312.286199588702,1434.0098748183811,#d3d3d3,1,1.1063045670560163,1.226924826253003,1.2770081905254684,1.2831386763212298,1.218078840631551,1.1870965432473795,1.5843894316190965,1.570501807133524,1.5677636264240458,1.3404720781088175,1.173697729609637,1.0907925038231099,1.1033560591648002,1.1199356052055445,1.1291771458715432,1.1149348388687004,1.2183528023215235
Colorado,649.3163251996717,740.7003295942706,782.6293989970648,814.5446408890108,850.3995178839205,831.3305695687178,816.38428549074,814.0864078311603,1010.5542585944372,1330.1859835785228,931.4895588764855,895.4530061075085,848.5658792561387,877.4288178232704,861.7477495402799,822.1614293662383,796.2861089005163,800.8541613214064,#d3d3d3,1,1.1407388061073271,1.2053129863266534,1.254465056979015,1.3096844864056258,1.2803167536455744,1.2572982594264714,1.253759340766336,1.5563358248904045,2.048594701772632,1.4345697508684114,1.3790705259599736,1.3068605336469796,1.3513118086988674,1.3271616869871294,1.2661955312973454,1.2263454313360285,1.233380603937742
Connecticut,746.6949150289828,880.8612245224533,874.2839998417683,949.5897188306692,887.865152195351,862.661163513959,838.9689296749457,869.4387010191788,1760.9280636722247,1720.5716835968863,1085.528068637117,918.5228570795321,886.9422139829555,940.3202244418698,997.2838387663198,998.570755148203,985.6657225992907,1057.3077577788067,#d3d3d3,1,1.179680223867954,1.1708717740602708,1.2717238322077111,1.1890601292776832,1.1553060642986634,1.1235765943877913,1.1643827800614281,2.3582965790035875,2.3042499004162935,1.4537772345683946,1.2301180021346199,1.1878240980769623,1.259309800449587,1.3355974691854042,1.3373209527072294,1.3200380808285432,1.4159836052154815
Delaware,1104.8557513832584,1149.6830928109703,1275.0753944870353,1250.1441906977748,1213.7563296500175,1104.8620186882665,1094.0655720962534,1107.9521966820462,1793.7344366152504,1836.6729878099118,1724.424905130955,1393.4341618769083,1188.8442035417897,1207.9845131950544,1178.6836444154765,1188.713601170801,1186.4946070605395,1197.9903425751418,#d3d3d3,1,1.040573026272062,1.1540650378030481,1.1314999167381063,1.0985654264191662,1.0000056725097375,0.9902338569777133,1.0028025787935766,1.6235010175486972,1.6623645082269176,1.5607692705332872,1.2611910289034158,1.0760175724780174,1.093341381155577,1.0668212958477041,1.0758993648560495,1.0738909632095146,1.0842957020183681
District of Columbia,2938.848837168965,3143.3136830918,3491.4011139591853,3560.631409208738,2719.9027572636237,2935.1487631668174,1759.2960651013661,2018.9510403993831,2146.4252380005155,4030.7933451927765,3435.9289104557142,3217.626690282536,3236.482977056717,3393.508001866927,3407.1699266762116,3614.5039672375333,2880.7056146488812,2708.6310508187494,#d3d3d3,1,1.069573107448357,1.1880165695498996,1.211573512790384,0.9254993733817711,0.9987409784554581,0.598634418637238,0.6869870320871173,0.7303625864841002,1.3715551797743015,1.1691410823857118,1.0948595414598192,1.1012757567260476,1.1547065500435678,1.159355283464796,1.2299046897285935,0.9802156470980338,0.9216639578604567
