State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,color,tooltip_02,tooltip_03,tooltip_04,tooltip_05,tooltip_06,tooltip_07,tooltip_08,tooltip_09,tooltip_10,tooltip_11,tooltip_12,tooltip_13,tooltip_14,tooltip_15,tooltip_16,tooltip_17,tooltip_18,tooltip_19,tooltip_20
United States,1276.6062044180353,1352.4314585600162,1431.2654643345802,1522.827998340302,1562.6658810458262,1658.1196147702615,1725.5756922873193,1740.6514791279062,1782.3261334006554,1793.6235387159568,1778.7678809840254,1811.6256803630927,1851.313400332997,1951.552733648502,2036.0105851798098,2114.5084472160293,2150.52071015494,2240.9174475412847,2271.2610658792296,#d3d3d3,1,1.0593959624193956,1.1211487609736701,1.192872158281975,1.2240782440487954,1.2988497228290898,1.35168988394033,1.3634991535400023,1.396144031912458,1.4049935935675744,1.3933567570235255,1.419095155650568,1.450183614904921,1.5287037826501506,1.5948618909524752,1.6563513790691369,1.6845607539055436,1.7553709513442703,1.7791399242921793
Alabama,1042.1994492490257,1029.6975839888264,1116.7256175066095,1250.469514025104,1365.1400105797507,1504.0955917450588,1658.730481762613,1600.4570017315639,1582.4752669560978,1533.0219738560759,1324.7962510435543,1299.7361091189737,1350.8142891138357,1395.9487356153447,1389.826691186032,1417.7069957140247,1407.6780957151598,1417.1524555622022,1419.4306417662183,#d3d3d3,1,0.9880043447833255,1.071508546959303,1.199837051272816,1.3098644521098386,1.4431936159905476,1.5915672215695749,1.5356532791154323,1.5183996384726328,1.4709487468648352,1.2711542421157087,1.2471088044188858,1.296118790013934,1.3394257084104382,1.3335515502215,1.3603029599906018,1.3506801377888713,1.3597708735917633,1.3619568143017278
Alaska,1520.7434866548597,1507.0454699786494,1579.9746812155322,1877.6560106288164,2164.1038552985506,2481.7656979120657,3831.6445164828156,3626.403724646783,3469.5073537475637,3649.2613517003642,3970.933680965305,4408.53088388687,4518.638485931984,5536.898853477639,3378.520500438014,3306.8517769170467,3206.5433724112563,3244.42709756948,3318.7619776240986,#d3d3d3,1,0.9909925527898584,1.0389488398802627,1.2346960727473164,1.4230564682929363,1.6319423490487155,2.5195863405676557,2.3846255180245355,2.2814546859440115,2.3996560785721663,2.6111791474445605,2.8989312941817698,2.971335090753219,3.6409157113386774,2.2216241792819766,2.1744967549991245,2.108536647074259,2.1334479654462717,2.1823285825305714
Arizona,638.9320084452464,653.1101633062183,825.3296833679399,834.4093039474493,870.19579353499,997.3383399807132,1025.283121207169,1054.5634962965214,950.5489063410276,835.5504811279466,783.223211348684,851.8080893603202,972.9791440334693,943.2054676648347,946.5414937881538,967.1539281236732,991.697790148374,1037.7872808237223,1029.6689635727512,#d3d3d3,1,1.0221903969022814,1.2917331929828757,1.3059438139245365,1.3619536696126593,1.560945964199852,1.6046826699167178,1.6505097292944477,1.4877152713855395,1.3077298837495155,1.2258318584704349,1.3331748575769096,1.5228211001685155,1.4762219691575573,1.4814432228734837,1.5137039862459072,1.5521178733266703,1.624253077176452,1.6115470033788253
Arkansas,854.2960876881473,869.0778172004708,910.723375579367,1040.4092960856747,1095.7483367471484,1111.409820140085,1101.5158113893365,1104.2239321453299,1164.2505845325977,1167.865774799048,1129.606319856402,1107.1172578521634,1158.5936867953776,1129.1577604660029,1132.4779449294097,1120.0003293295813,1118.6902834862283,1118.3424302873284,1125.9399955925426,#d3d3d3,1,1.0173028177529468,1.0660512071920174,1.2178556253267852,1.282632979992226,1.300965597475374,1.2893841225121405,1.2925541250382226,1.3628185839914515,1.367050360677019,1.322265589338335,1.2959409200247984,1.3561968777484457,1.3217405261935264,1.3256269825536295,1.3110212553594496,1.309487775501315,1.3090805944268455,1.3179739575297649
California,1194.2074623462563,1277.2676552257394,1270.1100172515248,1401.1685028051368,1401.4007565503646,1417.9529226813295,1504.8274118642948,1439.8665698297,1461.8555856944997,1437.3897762757297,1455.0776398761773,1426.1574647576472,1409.8231080631394,1618.7658543462778,1892.0008538855677,2081.69123870609,1975.4298369502515,2585.7405806849906,2450.8692026861013,#d3d3d3,1,1.0695525656122555,1.0635589353596426,1.1733040924499538,1.1734985760322048,1.1873589534396989,1.2601055170998214,1.205708903376636,1.2241219652257036,1.203634897283001,1.218446279859439,1.1942292354761201,1.1805512463414554,1.3555147705792197,1.5843150487172124,1.7431571182918224,1.6541764301733046,2.1652356581366465,2.052297678554851
Colorado,780.6966578185439,834.2959793031969,861.2565435870472,909.5198512163774,945.1903451995526,985.4832615855971,1419.3538487626467,1008.0921719344358,1035.0776073723378,1029.1271003831682,1014.6014580669635,1061.4053978081274,1076.6018288366429,1107.24690843317,1154.6822641449319,1185.0212862662452,1249.1138259774157,1350.9192820127525,1406.6744689947245,#d3d3d3,1,1.068655758863401,1.1031897408061246,1.1650105608980021,1.2107011548386077,1.2623126430940241,1.8180606187410435,1.2912725600123487,1.3258383995963245,1.3182163521217054,1.2996103517363662,1.3595618569367927,1.3790270754391722,1.4182805797159252,1.4790408702035367,1.5179023432449197,1.5999989412888522,1.7304022868338504,1.8018195094177996
Connecticut,1793.103528820089,1820.6569884873243,1939.843787787789,2294.1152480090764,2480.0276369754565,2488.2386345882474,2686.214917430002,2790.6383739656794,2884.896482098146,3069.3098846261737,3341.3933580020557,3301.7513258070658,3732.0519681947317,3855.1141500662884,3906.0303085552637,3889.1130100662886,4177.18495779632,4170.201583574666,4149.141779692069,#d3d3d3,1,1.015366351816488,1.0818359099790849,1.2794103693045915,1.3830922738785654,1.3876714838800057,1.4980813289668806,1.5563174848035661,1.6088845042854198,1.7117304356909404,1.8634692890269329,1.8413612336035656,2.081336581078798,2.1499674101935757,2.178362958844623,2.168928312034181,2.3295838141286924,2.325689240218479,2.3139443501192134
Delaware,1882.783639755038,1986.2071876075097,2161.0682663886123,2362.9821050247037,2534.3711386299965,2604.879294108991,2627.478284537605,2570.203986585948,2556.23061803941,2601.2168967187736,3027.167188631923,3042.911225431339,2993.2850150087397,2957.815725481384,3185.5341034436774,3413.0630438701764,3374.951115056754,3462.400737967709,3370.5954712461403,#d3d3d3,1,1.0549311910666102,1.1478048888664558,1.25504707770466,1.3460766734513023,1.3835255624209175,1.3955285297037403,1.3651085192775245,1.3576868653755625,1.3815803588867006,1.6078146871011567,1.6161767933288613,1.5898188999550606,1.5709801503619474,1.6919278647748053,1.8127749635185046,1.7925326329560929,1.8389796176570714,1.7902192265090406
District of Columbia,1223.3679310937355,1822.0200146748152,601.1388705879976,568.8848704898533,563.4760844135436,630.4961233021894,681.8066004900719,820.5100596362961,966.4710269060395,1385.4550513496588,1004.5461236623491,1267.7709450175535,1589.116792987656,1834.7768622135675,1718.9784091944962,2144.8892155295925,2232.2311323433523,1905.3608965744463,1997.4102921268984,#d3d3d3,1,1.4893475367184612,0.4913802751479333,0.4650153531335822,0.46059412715664,0.51537735073577,0.5573193339149507,0.6706977016331711,0.7900084695223122,1.132492536493916,0.8211316466046713,1.0362957151280892,1.2989688160020083,1.4997751825758667,1.4051197235958826,1.7532658499654994,1.824660493060053,1.557471671560807,1.6327142810921493
Florida,907.250396261713,903.8404506286458,996.9885910443885,1024.4824657945576,1066.4572155093026,1189.7232441320562,1226.914647030445,1211.3331834608107,1189.9322882086276,1238.4162502164568,968.4158279273852,966.0300019916023,1044.7868453367453,1040.3342725795567,1048.8439607925632,1057.409484771814,1053.529972815804,1046.496203423675,1080.2488859703617,#d3d3d3,1,0.9962414503789497,1.0989122684899757,1.1292168843528692,1.1754827773055758,1.3113504816688542,1.3523440189013916,1.3351696383402618,1.3115808966429703,1.3650214486753587,1.0674184678427276,1.064788735251137,1.1515970118522354,1.1466892457321707,1.1560688924626326,1.1655100831356209,1.1612339627040449,1.1534811202460957,1.1906843914551943
Georgia,1460.7357064316654,1447.7042102244225,1397.076111486297,1360.6233256290084,1421.4261538356754,1720.4693957856043,1792.69529301018,1483.2736904172843,1600.2940328426675,1551.6547668335909,1505.483054338855,1508.1079452537274,1520.6853650761698,1567.317371535765,1658.1496825165502,1712.5716235044367,1847.3474823075153,1938.7116434954332,2049.4161910825483,#d3d3d3,1,0.991078813128299,0.956419498294542,0.9314644118290125,0.9730892094833385,1.1778101871613895,1.2272550640864641,1.0154292004271432,1.0955397515077658,1.0622419647863786,1.0306334319823673,1.0324303969660498,1.0410407292575543,1.0729643731133682,1.1351469504138667,1.1724034785785886,1.2646692171442007,1.3272158919366621,1.403002734895097
Hawaii,914.7983347742163,1343.0760155083317,1382.0360367057322,1540.270494142446,1729.2356063075476,1852.02578494989,1930.8617570767378,2289.9572753362163,2138.492192237715,1708.9118644915263,1760.7671133864471,1832.9140847161464,1902.883904039736,2018.8696822677243,2266.2915717965284,2453.4632852132954,2782.704792500146,3056.7270517681764,3302.7257465983434,#d3d3d3,1,1.4681662224929821,1.5107548671334605,1.6837268232704032,1.8902915982398947,2.024518098195919,2.110696624249211,2.5032372581891575,2.337665156294279,1.86807496202243,1.924759858489496,2.0036263896004276,2.0801129950781903,2.2069013524888046,2.4773673996202428,2.681971743880405,3.0418778508018955,3.341421749005058,3.6103320492089632
Idaho,1103.2212171368117,1109.3474091073301,1128.52226031045,1168.9618866068863,1156.6994061168043,1140.1577619703965,1153.2378919194748,1175.8873994963694,1192.8460133381939,1132.0738425148577,1076.8571456266548,1068.6340652508277,1047.4666572641881,1096.5284857894042,1125.0616143973564,1144.391056595266,1154.4571016527793,1162.7592206694833,1205.0978006098294,#d3d3d3,1,1.0055530041258793,1.0229337895071509,1.0595897436061747,1.0484745834736433,1.0334806331312645,1.0453369405933575,1.0658672814035866,1.0812391883053023,1.0261530733182662,0.9761026427876546,0.9686489424344575,0.9494620308179684,0.9939334638933276,1.0197969336714054,1.037317845975898,1.046442076820223,1.053967420683941,1.0923446557141259
Illinois,1338.988431358486,1425.7033979752396,1507.0471556770942,1447.3916240475312,1317.8334239980436,1369.471662702221,1535.8718350864442,1703.5658960249777,2213.5269130922443,2144.8017852637477,2227.0755467395297,2290.725221122612,2741.690223491091,3101.2763396577366,3304.1705699675654,3988.7986350193087,3892.314332084805,3679.052305783174,4061.071018175854,#d3d3d3,1,1.0647615502762604,1.1255117074821195,1.0809590211164584,0.984200754192492,1.0227658661044652,1.1470389131952454,1.272278278234716,1.6531337099354064,1.6018075548925501,1.6632522690879599,1.7107879108399244,2.047583204814905,2.316133782060612,2.4676617755504293,2.97896422523414,2.9069066176589837,2.747635617770461,3.0329395856360373
Indiana,1865.426192379751,2010.4396419782483,2152.85247982636,2323.7698895977746,2170.279782654392,2188.5991205355567,2017.7819978690798,1911.8231473051437,1997.3006057729037,2009.9869127976028,2113.654822970719,2030.9040688347432,1979.2373700990745,1996.2828331286337,2023.3185830766795,2003.9132638338112,2044.6115938287637,2027.7029111779452,2072.8893271561724,#d3d3d3,1,1.0777374361906549,1.1540807610725865,1.2457045468163541,1.1634230244648462,1.1732434815571713,1.08167345677449,1.0248720400275948,1.0706939861420723,1.0774947414206903,1.1330680525474446,1.0887078122581144,1.0610108178947208,1.070148388225399,1.0846414569184872,1.0742388372264626,1.096056012390618,1.0869917659895059,1.111214871767056
