State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,color,tooltip_02,tooltip_03,tooltip_04,tooltip_05,tooltip_06,tooltip_07,tooltip_08,tooltip_09,tooltip_10,tooltip_11,tooltip_12,tooltip_13,tooltip_14,tooltip_15,tooltip_16,tooltip_17,tooltip_18,tooltip_19,tooltip_20
United States,4919.571141940518,4950.260297988724,4922.889419138839,4934.545321098693,4927.957894483245,5044.825744589188,5111.363715378538,5192.903248814347,5193.78910729084,5034.422114020427,4846.851711697089,4778.208608144751,4792.889383802255,4861.004383463727,4970.615667689929,4995.458434625146,4987.3013541229675,5075.227761133875,5145.9442205595315,#d3d3d3,1,1.006238177101775,1.0006745053791442,1.0030437976657187,1.0017047730992703,1.0254604718652902,1.0389856286054981,1.055560149246264,1.055740217478013,1.0233457284723007,0.9852183395370627,0.9712652729847492,0.9742494305940063,0.9880951496000342,1.0103758080281113,1.0154255910718866,1.0137675033510611,1.0316402821917439,1.0460147992757192
Alabama,3790.786450503912,3842.626061928174,3742.934776617869,3715.945804792363,3780.4925126221883,4031.596553854286,4080.6606592628787,3985.889065706436,4006.1364643754687,3896.66702422531,3707.3995419594394,3677.343245705825,3677.746009061361,3645.481582601292,3611.0848296984545,3674.28654455027,3635.0791192338206,3694.756107539251,3755.1264313362417,#d3d3d3,1,1.0136751600495382,0.9873768479151122,0.9802572245393564,0.9972844848908977,1.0635251039578775,1.0764680924509566,1.0514675827166653,1.056808795927539,1.027931030962539,0.9780027417441602,0.9700739658434184,0.9701802138109034,0.9616689386754285,0.9525951611487982,0.9692676157112053,0.9589247948141756,0.9746674353149343,0.990592975987099
Alaska,5427.779226316998,5453.74227998181,5341.259550340303,5365.1609683375045,5353.743324288634,5334.479098709118,5372.515787706389,5557.869685822211,5788.003509076529,5879.4892172436885,5806.33971079354,5774.106226079127,5758.441760325601,5755.879158718326,5796.8939186237185,5764.217039389644,5587.509826583032,5636.578257973663,5494.648416491823,#d3d3d3,1,1.0047833658264742,0.984059838772145,0.9884633741778067,0.9863598169819813,0.9828106259083813,0.9898184070673584,1.023967529643516,1.0663667897568414,1.083221879905605,1.0697450041153227,1.0638063902973314,1.0609204096595088,1.0604482825702473,1.0680047358074256,1.061984432130438,1.029428352481908,1.0384685933142395,1.0123198065703567
Arizona,3411.017357711373,3387.262566792222,3549.3098564074908,3536.931704988511,3491.204950470809,3685.9159526596395,3702.8910496644853,3720.909660262341,3723.997250240461,3578.3733878421876,3518.3680185457115,3149.318664654238,3125.1633097256504,3022.045879595112,3045.7978255021903,3128.4430882714446,3164.992971270604,3275.7736335336454,3348.4543943814847,#d3d3d3,1,0.9930358633721262,1.0405428891716064,1.0369140154014402,1.0235084094714892,1.080591379673515,1.0855679292552605,1.0908504032822897,1.0917555848320522,1.0490633768697977,1.031471742760748,0.9232784047652217,0.9161968357213178,0.8859661393288125,0.8929294418911351,0.9171583607450412,0.9278736046638475,0.9603509129403934,0.9816585620156841
Arkansas,3922.953815550537,3969.0159379760535,4038.2376603253065,4306.47673998939,4247.048142518416,4284.014199388979,4197.690852640667,4214.328570926482,4253.785570841128,4254.192682150406,4109.3092468179175,4038.5155299410276,3975.2918696473116,3963.3123765119935,3961.924084991492,3939.4240703629603,3940.851572960508,3937.5936096423816,3937.057286474353,#d3d3d3,1,1.01174169378261,1.0293870002541925,1.0977638133078633,1.0826148719067692,1.0920378879830814,1.0700332071208882,1.0742743272227522,1.0843323094906645,1.084436086218207,1.0475038555204679,1.0294578319868068,1.0133414912735672,1.0102877991582455,1.009933909822358,1.004198431994569,1.0045623166245354,1.0037318293255997,1.0035951152083182
California,4740.866232930473,4689.696013311014,4529.027723448774,4486.8083751567665,4499.400867981676,4708.180295013496,4781.0654314394815,4724.394426191204,4522.5444065169,4262.43116192087,4121.152740230198,4058.600167820863,4137.015999514777,4368.8389095655775,4622.1261690526335,4686.5747165752155,4639.449936262995,4994.566134818111,5012.668457209553,#d3d3d3,1,0.9892065675120664,0.955316497223598,0.9464110891783871,0.9490672478224428,0.9931054924752067,1.0084792939800287,0.996525570237596,0.9539489587584036,0.8990827735896973,0.8692826453537771,0.8560883113785135,0.8726287130353311,0.9215275637222663,0.9749539307704864,0.9885481864098707,0.9786080661877713,1.0535134065005707,1.0573317640542392
Colorado,4307.123972948918,4446.0254326900695,4348.28288800778,4303.71878071349,4224.252524838684,4267.049240261104,4276.688329248951,4363.604810623904,4375.010958045678,4179.167369902804,3975.083879757152,3929.2072329057733,3963.1640342143533,3974.6845007229977,4058.7156501481554,4041.4712489247536,4025.3274588607824,4196.692972723429,4332.723659568648,#d3d3d3,1,1.0322492365238447,1.0095560089092772,0.9992094046382656,0.9807594467605966,0.9906957094944319,0.992933650414727,1.0131133531399876,1.015761558182009,0.9702918690407448,0.9229090931031568,0.9122577519438336,0.920141620976127,0.9228163678793968,0.9423261730191882,0.9383224802228568,0.934574320159352,0.9743608493929927,1.005943568557699
Connecticut,6686.105590461634,6728.226787745549,6768.155116299845,6789.612606688788,6822.208238788794,6994.805218861471,7059.862945215489,7210.937487959141,7429.404722199445,7558.517331940868,7431.136937565477,7508.304240692434,7660.06627370733,7829.395947429481,8022.008316674533,8054.071326082175,8011.172785022711,8087.840158045969,8147.519098584097,#d3d3d3,1,1.0062998103625531,1.0122716467348738,1.01548091259205,1.0203560423157725,1.0461703190628975,1.0559006060698557,1.0784959032424242,1.111170713905296,1.1304812988182256,1.111429790783846,1.1229712332697444,1.145669354165621,1.1709949598461111,1.19980281617429,1.2045982847731382,1.1981822118471193,1.2096488828390688,1.2185746976845997
Delaware,5854.5574061971665,5839.611129979038,5857.156166386824,5882.156076763405,5876.0813097015225,5843.934541457265,5861.098548511786,5804.530139641484,5808.970211061367,5912.766473227842,6087.167199929543,5860.620771632291,5882.9940185217865,5880.080459507377,6043.124357437991,6118.2018105875095,6136.772723895853,6190.828458956318,5916.263373419881,#d3d3d3,1,0.9974470698327584,1.0004438867038705,1.0047140490136837,1.0036764356399637,0.9981855392298901,1.0011172735803557,0.9914549874423082,0.9922133831863115,1.0099425222082645,1.0397314053981526,1.0010356658948645,1.0048571754193611,1.004359518839664,1.0322085749883028,1.0450323373909136,1.0482043813252144,1.0574374849246848,1.0105398176055798
District of Columbia,5877.030598501913,5856.371845420236,6348.544586741729,6134.186565804492,6092.903754359806,6303.124084409147,6273.13866862715,7575.652666992892,8395.914356102787,7804.852117986329,9793.241483440619,9538.934481847775,9528.488988443116,9905.14790529333,10309.603503328595,10068.392427921819,10919.152631527655,8932.849132974106,9248.670812815142,#d3d3d3,1,0.996484831457753,1.0802299699375408,1.0437561048887731,1.0367316712478782,1.0725014918274967,1.067399354739825,1.2890272630065882,1.428598033544857,1.3280264560772965,1.6663587706922895,1.6230874285866914,1.6213100865719465,1.685400090960596,1.7542198105887978,1.713176792118167,1.8579370055195912,1.519959609407366,1.5736979173075394
