State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,color,tooltip_02,tooltip_03,tooltip_04,tooltip_05,tooltip_06,tooltip_07,tooltip_08,tooltip_09,tooltip_10,tooltip_11,tooltip_12,tooltip_13,tooltip_14,tooltip_15,tooltip_16,tooltip_17,tooltip_18,tooltip_19,tooltip_20
United States,5501.651006641035,5574.977200022238,5866.80660424119,5989.085813318021,6180.496851148523,6390.898573618047,6381.587454617483,6432.361462172009,6425.4417623122035,6254.4962347244045,6203.809781010467,6204.914461268982,6252.867457353925,6422.7684906810355,6646.202632164204,6795.395621438092,7011.264208458935,7254.981467416821,7310.440976697104,#d3d3d3,1,1.0133280343105537,1.066372003087687,1.088597914714802,1.1233894777564144,1.1616328563741325,1.1599404336833212,1.1691693010711721,1.1679115513790428,1.136839873553341,1.1276269202684535,1.1278277109505928,1.13654382108318,1.1674256478515488,1.2080378461195709,1.2351557038487866,1.274392759554477,1.3186916906687363,1.32877221180927
Alabama,3195.4310537933375,3220.176791596628,3324.997029647686,3633.358273001366,3639.1386655179517,3912.920485334366,3867.2057390445766,3688.7716906084333,3717.178981451465,3634.101772066969,3638.5949488867495,3648.3109597547927,3742.427215104438,3672.3899480851483,3851.5035523429083,3910.6073327906024,3902.326896231985,3922.438684694346,3817.1523474721857,#d3d3d3,1,1.0077441000562082,1.0405472606584765,1.1370479324497267,1.1388568879299972,1.224536038945133,1.2102297542779923,1.1543893855038572,1.1632793569552233,1.1372806081210483,1.1386867335370376,1.141727328281371,1.1711807114917263,1.149262771207536,1.205315804817863,1.223812145202842,1.2212208088794412,1.2275147292062423,1.1945657043486495
Alaska,3855.2098524844228,3742.9085327428716,3940.67644352687,4229.165010774265,4050.987795248939,4442.5437515326885,4333.93304729836,4494.799581776557,4579.533070693512,4608.1697352716565,4525.676704860569,4382.171143474516,4441.473142210466,4573.9707658564885,4676.146313750415,4422.592993740557,4286.139155660109,4387.095816055594,4319.1179923797745,#d3d3d3,1,0.9708702446718482,1.0221691151228434,1.0969999487962643,1.0507826941348863,1.1523481007576717,1.1241756514254166,1.1659027014780952,1.187881657788956,1.195309700794109,1.1739118953392578,1.1366880951112173,1.1520703962063792,1.1864388556977963,1.2129420946403098,1.1471730886168219,1.1117784296224449,1.137965502248446,1.1203327854115113
Arizona,4565.508768991002,4510.521909701465,4551.748315877229,4575.785991076239,4457.288810852201,4583.092254688873,4602.159244661374,4724.059947837957,4941.85710456234,4961.0883583670775,4765.096353211078,4705.218608994065,4648.871819842846,4409.410332010025,4406.045182313923,4503.685484198932,4635.053843850585,4690.729816959143,4714.829782598486,#d3d3d3,1,0.9879560281073144,0.9969859978788708,1.0022510573531345,0.9762961887459657,1.0038513748604094,1.0080276870607066,1.0347280416859204,1.0824329455081767,1.0866452370134205,1.0437163948902426,1.0306011546734888,1.0182593123942827,0.9658091912907494,0.965072110306707,0.98645862095108094,1.0152327108277468,1.0274276218279645,1.0327063250040553
Arkansas,1511.5829328307045,1425.0360247324281,1582.9831149119696,1515.7861830525285,1760.5648224432198,1593.1880751963645,1568.367786473899,1686.7661922608381,1460.9432104756581,1538.2140403329909,1573.822308135033,1470.0594414123154,1405.094730127373,1441.4321398671009,1505.5281776661159,1609.2427339569929,1608.8620520431812,1695.9643955776573,1665.8264510509714,#d3d3d3,1,0.9427441880835462,1.0472353719604095,1.0027806944167812,1.1647159968565224,1.0539865465488156,1.0375664824005753,1.1158939120211369,0.9664988792508958,1.0176180260598835,1.0411749656287625,0.972529796072367,0.9295518622296736,0.95359117158578,0.99599442740912,1.0646076368058768,1.0643557935854069,1.1219790583383118,1.1020410556842017
California,3984.383059572181,4234.794297753482,4399.909284247823,3876.690609631184,3999.002772578059,4154.955761764654,4256.739194827521,4203.206292759711,4076.120250203073,3911.3852795501784,3893.4076463260703,4202.5644411263675,4226.738474981603,4447.850786742468,4853.493298187498,5163.007449532636,5418.614674607006,6026.55409858107,6220.76659862321,#d3d3d3,1,1.0628481836302628,1.1042887238658872,0.9729713613548592,1.0036692538812892,1.042810317091045,1.0683559113627452,1.0549202297860953,1.0230241895067043,0.9816790256030652,0.9771670012933247,1.054759137937308,1.0608263341616166,1.1163210766236042,1.2181291872846776,1.2958110132330019,1.3599632850534267,1.5125438514509106,1.5612872822753037
Colorado,5872.717742821686,5915.234518824812,5869.141441297656,6017.096683755156,6019.982285590544,6054.522117764075,6205.185425544501,6001.529059358304,6049.782281651274,5905.537720315165,5581.201741106179,5737.858491225621,5661.718037198714,5649.95425075623,6111.701690404999,6233.844013188618,6727.845898494133,7149.874939946797,7553.185807243608,#d3d3d3,1,1.0072397104483855,0.9993910312600325,1.0245846892794985,1.0250760464265223,1.030957451541854,1.0566122359837906,1.0219338511022542,1.0301503573956057,1.005588550128021,0.9503609717882607,0.977036313083341,0.9640711992533814,0.9620680744723781,1.0406939270792346,1.0614921891671607,1.1456102937549966,1.2174729406476583,1.286148277171329
Connecticut,9855.075065660112,10208.45722320432,10567.784059280722,10743.78673180376,11040.272887320836,11498.288801308912,11560.980043984791,12035.788738552274,11990.6886145412,12308.075809672848,12166.149107833511,12457.699779819592,12754.266624925573,13033.875117269672,13599.383587490296,13655.84388269993,13836.56199401919,14649.762544203639,14615.826108193938,#d3d3d3,1,1.03585788593083,1.0723189817299348,1.0901780717267546,1.1202626883878877,1.166737820331228,1.173099135923265,1.2212782407402285,1.2167019058355637,1.2489073627211817,1.2345059806014373,1.2640897909776754,1.2941825952566974,1.322554625959781,1.3799370879352488,1.3856661457895485,1.404003714008483,1.4865196304034818,1.4830760811881185
Delaware,3860.09101539037,4078.4243084605014,4478.366698250261,4512.006062859358,4797.676987307705,5159.3661037618695,5390.965329424449,5307.672399042463,5272.42492325376,4947.340767145033,5158.498673552745,5661.761318774441,5753.83259023619,6215.8745168175155,6180.1150261874955,6649.616014348922,5636.659637251404,5454.339162371138,6233.5432076784955,#d3d3d3,1,1.0565616956179598,1.1601712706759493,1.1688859264897566,1.2428921930024794,1.3365918272888455,1.3965902119743832,1.3750122413902979,1.3658809862856462,1.281664278748803,1.336367109735382,1.466742959220579,1.4905950578096165,1.6102922164359654,1.601028318126976,1.7226578305632123,1.4602400862512745,1.4130079162963833,1.6148694895599758
District of Columbia,21023.626309092302,20117.399227704467,19418.229442394302,20282.79613423809,20942.820637202178,22436.631186738658,23782.490212230183,19605.077952004332,30176.99653953205,29688.743807942556,30235.55872634202,29448.49500880639,29408.733480785937,29107.25849664395,26245.037795161104,29597.0955474083,29506.387767397617,28849.12084470327,28635.302426870217,#d3d3d3,1,0.9568948254661515,0.9236384416705649,0.9647620175528987,0.9961564351124726,1.0672103307427634,1.13122683321025,0.9325259907005445,1.4353849376822825,1.4121609360561533,1.4381704793366565,1.4007333737696097,1.3988420954793723,1.3845022770432158,1.2483592225861933,1.4078016376560185,1.403487073713667,1.372223821930596,1.3620534348294622
Florida,4755.072665538033,4957.008256045096,5251.918551339012,5551.400955613823,6185.712909937278,7034.802724719622,7205.116547169448,6737.447211664745,6236.97664866196,5591.435868948659,5256.629465419844,5057.597261260133,5053.308541983709,5224.158727147136,5447.4406367346255,5466.2188771561505,5520.267027518191,5754.826901264425,5957.8086704955995,#d3d3d3,1,1.042467403699332,1.1044875485083174,1.1674692157381965,1.3008661160464872,1.4794311716209365,1.5152484628442988,1.4168967932906251,1.3116469689020516,1.1758886272069182,1.105478261881632,1.0636214453492203,1.0627195202729738,1.09864960950203,1.1456061809979199,1.1495552774139681,1.1609216968493112,1.2102500437000725,1.25293746059325
Georgia,5667.5573773300475,5588.92810631158,5989.830999890318,5957.994880833786,6124.384635066895,6474.085984431411,6491.455106743167,6237.343605532412,6073.374100294676,5775.520071062574,5580.188787882928,5331.624554685357,5268.030323196009,5339.901572172397,5515.377479596942,5698.961500181695,5835.941981965338,6161.413416710452,6268.811380600785,#d3d3d3,1,0.9861264269978138,1.0568628777979998,1.051245622085005,1.080603905231579,1.1423062094311456,1.1453708669467855,1.1005347083880406,1.0716034608820857,1.0190492458293183,0.9845844367104973,0.9407270539530124,0.9295063062383581,0.9421874745426915,0.9731489444920632,1.005541033069601,1.0297102602452373,1.0871373691523274,1.1060869724364368
Hawaii,275.58653883420385,270.3905489262918,383.4325429911203,370.5311371408979,342.38255274783523,333.69130281547183,517.8698278058638,613.619787977247,587.2171006524693,410.03413585288126,340.6774632304148,349.437402895627,323.333451914219,373.9645303555274,350.22434851748,337.76863165987913,348.55122719020005,367.75693988680695,283.4146934087299,#d3d3d3,1,0.9811457049756772,1.3913326268152664,1.3445182725844742,1.242377636426635,1.2108403560894696,1.8791550196775775,2.226595647860754,2.130790216156915,1.4878598119756592,1.2361905072416124,1.2679770368096706,1.1732556070481377,1.3569767664904306,1.270832566782876,1.2256354504422466,1.2647614381480825,1.3344517531317228,1.0284054315847246
Idaho,2911.760992843175,3003.5864642217084,3002.939148189161,3065.4479923560625,3141.3111792408718,2252.9155366906425,2452.6317011744504,2250.18124083244,2231.700188062187,2086.579411409499,2011.9069166330237,2038.2806505776364,2069.8871267809677,2195.4599262438514,2242.0180957445814,2288.4097805204797,2317.322100444438,2417.272434488208,2536.997600790982,#d3d3d3,1,1.0315360606877528,1.0313137498476328,1.0527814610782393,1.078835518080608,0.773729554804838,0.8423190320918442,0.7727905025045553,0.7664434661867814,0.7166039439837638,0.6909588120653086,0.7000164696166794,0.7108712328616767,0.7539972997921458,0.7699869945559555,0.7859195126746901,0.7958490089468848,0.8301754300677935,0.8712932163823456
