Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Alabama,10191.629757682173,1010.6933683235025,5985.505335565333,3195.4310537933375
2003,Alabama,10080.825758371264,1101.8854186536644,5758.763548120971,3220.176791596628
2004,Alabama,10132.701375243481,1184.0780952365376,5623.626250359259,3324.997029647686
2005,Alabama,10834.25724454184,1225.3145780319946,5975.5843935084795,3633.358273001366
2006,Alabama,11069.146161804581,1270.267336446944,6159.740159839685,3639.1386655179517
2007,Alabama,11984.658405635235,1168.4840449690369,6903.253875331831,3912.920485334366
2008,Alabama,12636.130491733982,1163.7345989885293,7605.190153700875,3867.2057390445766
2009,Alabama,11548.38802497669,1171.4046154758057,6688.2117188924485,3688.7716906084333
2010,Alabama,11536.985275453839,1797.3447041980182,6022.461589804355,3717.178981451465
2011,Alabama,11490.842114662186,1678.1260378003124,6178.6143047949045,3634.101772066969
2012,Alabama,10833.197167860044,1199.3835319227555,5995.2186870505375,3638.5949488867495
2013,Alabama,10681.772723254171,1212.1509497790955,5821.310813720283,3648.3109597547927
2014,Alabama,10880.861087856803,1174.675789748364,5963.758083004001,3742.427215104438
2015,Alabama,10882.963742842803,1176.1325025091228,6034.4412922485335,3672.3899480851483
2016,Alabama,11041.767110523295,1167.1082545693264,6023.155303611061,3851.5035523429083
2017,Alabama,11256.631656487234,1154.7102680564594,6191.314055640172,3910.6073327906024
2018,Alabama,11272.053263974809,1179.703234450859,6190.023133291965,3902.326896231985
2019,Alabama,11579.927957869177,1192.8603925611374,6464.628880613692,3922.438684694346
2020,Alabama,11729.176648560202,1259.842371321057,6652.181929766958,3817.1523474721857
