Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Alaska,14956.848994382022,2705.51974323516,8396.119398662442,3855.2098524844228
2003,Alaska,15112.93355433503,2749.498972940287,8620.52604865187,3742.9085327428716
2004,Alaska,15321.421187700647,2973.7371708772175,8407.00757329656,3940.67644352687
2005,Alaska,16190.407374296141,3065.7455289186796,8895.496834603196,4229.165010774265
2006,Alaska,15813.844599286756,2820.512428068424,8942.344375969391,4050.987795248939
2007,Alaska,17167.16451022085,2691.2228671792996,10033.397891508861,4442.5437515326885
2008,Alaska,20361.88405292862,2822.7876703818533,13205.163335248408,4333.93304729836
2009,Alaska,19867.144645960336,2877.385494963015,12494.959569220764,4494.799581776557
2010,Alaska,20163.98889287879,3317.9885585746765,12266.467263610602,4579.533070693512
2011,Alaska,20834.133819437102,3712.5282219500896,12513.435862215354,4608.1697352716565
2012,Alaska,20605.227494475646,3043.1891490369226,13036.361640578156,4525.676704860569
2013,Alaska,21585.438445853397,2721.9570040090343,14481.310298369846,4382.171143474516
2014,Alaska,22337.67710228643,2595.8703418544433,15300.33361822152,4441.473142210466
2015,Alaska,24281.99871861901,2860.693664503166,16847.33428825935,4573.9707658564885
2016,Alaska,20334.31009349536,2504.986682834269,13153.177096910676,4676.146313750415
2017,Alaska,20001.959233879574,2796.9122860386747,12782.453954100343,4422.592993740557
2018,Alaska,19718.08954068037,3106.604210326744,12325.346174693517,4286.139155660109
2019,Alaska,19836.761219645356,3040.169411645645,12409.495991944115,4387.095816055594
2020,Alaska,19782.9521955506,2891.7260655824666,12572.108137588357,4319.1179923797745
