Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Arizona,10352.962383808106,1041.324260177018,4746.1293546400875,4565.508768991002
2003,Arizona,10328.415555161977,1179.4044735644673,4638.489171896044,4510.521909701465
2004,Arizona,10505.386665385264,1238.4125350857285,4715.225814422307,4551.748315877229
2005,Arizona,10490.15747318614,1258.6007054668705,4655.77077664303,4575.785991076239
2006,Arizona,10378.181248685207,1240.5711763318116,4680.321261501194,4457.288810852201
2007,Arizona,11286.59980394326,1239.6627909070776,5463.844758347309,4583.092254688873
2008,Arizona,11308.335463898484,1217.7815806134092,5488.3946386237,4602.159244661374
2009,Arizona,10645.379981817243,1274.7272280256932,4646.592805953591,4724.059947837957
2010,Arizona,10752.004501651327,1944.9331246354016,3865.2142724535865,4941.85710456234
2011,Arizona,10248.08905766157,1531.659771247192,3755.3409280473,4961.0883583670775
2012,Arizona,9436.99136523571,1259.4593035276032,3412.4357084970293,4765.096353211078
2013,Arizona,9560.524128040204,1391.1852098022432,3464.1203092438946,4705.218608994065
2014,Arizona,9618.938550707264,1279.2404210261993,3690.826309838219,4648.871819842846
2015,Arizona,9385.412496340245,1258.2322840863264,3717.7698802438945,4409.410332010025
2016,Arizona,9701.917098392849,1336.051514386271,3959.8204016926547,4406.045182313923
2017,Arizona,9740.411641653414,1334.2070661058951,3902.5190913485885,4503.685484198932
2018,Arizona,9990.62373821166,1319.3823024075025,4036.1875919535732,4635.053843850585
2019,Arizona,10477.502821862368,1347.1539941259887,4439.619010777235,4690.729816959143
2020,Arizona,10790.396995937353,1315.0730723717675,4760.494140967099,4714.829782598486
