Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Arkansas,10080.872574564557,1064.3025458989598,7504.987095834893,1511.5829328307045
2003,Arkansas,10132.584089827278,1192.5267770766693,7515.021288018182,1425.0360247324281
2004,Arkansas,10282.170219028862,1289.457049305453,7409.730054811438,1582.9831149119696
2005,Arkansas,11524.087848523575,1299.4745393533008,8708.827126117747,1515.7861830525285
2006,Arkansas,11586.105441189224,1318.9508588760089,8506.589759869994,1760.5648224432198
2007,Arkansas,11693.516587415379,1284.7163380502284,8815.612174168786,1593.1880751963645
2008,Arkansas,11716.007854940597,1246.6250062213549,8901.015062245344,1568.367786473899
2009,Arkansas,11956.082865979297,1350.3214037474697,8918.995269970988,1686.7661922608381
2010,Arkansas,12619.312028268176,1968.682292975182,9189.686524817334,1460.9432104756581
2011,Arkansas,12619.638499679195,2023.8781306056983,9057.546328740505,1538.2140403329909
2012,Arkansas,12244.13039910148,1583.5551303501268,9086.75296061632,1573.822308135033
2013,Arkansas,11754.982966223419,1331.4722496635281,8953.451275147576,1470.0594414123154
2014,Arkansas,11807.249405784349,1260.9948513580794,9141.159824298897,1405.094730127373
2015,Arkansas,11993.561018865337,1317.5335186922714,9234.595360305964,1441.4321398671009
2016,Arkansas,12133.146596218428,1337.8085861324744,9289.809832419836,1505.5281776661159
2017,Arkansas,12089.037776085066,1321.8472916056771,9157.947750522397,1609.2427339569929
2018,Arkansas,12016.192636813079,1272.129009405038,9135.20157536486,1608.8620520431812
2019,Arkansas,11920.047725419427,1291.22430749177,8932.85902235,1695.9643955776573
2020,Arkansas,11828.052427775403,1260.6592299539332,8901.566746770499,1665.8264510509714
