Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,California,12470.829141786562,1195.59131145594,7290.854770758441,3984.383059572181
2003,California,13229.750700144366,1322.6881281961987,7672.2682741946865,4234.794297753482
2004,California,12888.732179621185,1466.9006620776743,7021.922233295687,4399.909284247823
2005,California,12859.648254065367,1526.7798972503192,7456.177747183866,3876.690609631184
2006,California,13272.337693924068,1534.1094528027375,7739.225468543272,3999.002772578059
2007,California,14173.627513042467,1456.3244785274046,8562.347272750409,4154.955761764654
2008,California,14156.937798794559,1419.2823129659444,8480.916291001095,4256.739194827521
2009,California,13889.066115029873,1894.2822384064007,7791.577583863763,4203.206292759711
2010,California,12558.13612391978,1877.678315234687,6604.33755848202,4076.120250203073
2011,California,12869.10221178659,1874.4045701692394,7083.312362067174,3911.3852795501784
2012,California,12132.686909399261,1602.6567698361876,6636.622493237002,3893.4076463260703
2013,California,11898.667370222473,1403.262807796844,6292.840121299262,4202.5644411263675
2014,California,12286.430908832759,1304.1420401721784,6755.550393678976,4226.738474981603
2015,California,13162.151605314344,1319.1629177797004,7395.137900792175,4447.850786742468
2016,California,15034.062097779162,1338.985278973898,8841.583520617765,4853.493298187498
2017,California,15247.762557114356,1350.0079598138152,8734.747147767905,5163.007449532636
2018,California,14996.920552645597,1333.0852033111944,8245.220674727398,5418.614674607006
2019,California,17138.392253848964,1456.6740726580388,9655.164082609857,6026.55409858107
2020,California,16934.188331739213,1417.2421054572108,9296.179627658796,6220.76659862321
