Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Colorado,11321.218804694783,659.5686378526315,4788.932424020463,5872.717742821686
2003,Colorado,11772.132012128746,752.3955404898468,5104.501952814087,5915.234518824812
2004,Colorado,11843.565598909758,794.9866445775554,5179.437513034547,5869.141441297656
2005,Colorado,12021.706398431095,827.4058088653711,5177.203905810569,6017.096683755156
2006,Colorado,12006.640728077646,863.8268127152816,5122.831629771819,6019.982285590544
2007,Colorado,12169.547907546623,844.4567772219131,5270.569012560634,6054.522117764075
2008,Colorado,12215.295776007804,829.2745003444004,5180.835850118902,6205.185425544501
2009,Colorado,12189.597606432297,826.9403405842626,5361.128206489731,6001.529059358304
2010,Colorado,12563.443796110923,1026.5103000642118,5487.151214395436,6049.782281651274
2011,Colorado,12127.260047357431,1351.188816960288,4870.5335100819775,5905.537720315165
2012,Colorado,11492.04935941183,946.1972164848651,4964.650401820787,5581.201741106179
2013,Colorado,11473.01407126251,909.591668310131,4825.563911726757,5737.858491225621
2014,Colorado,11536.468008222559,861.9642220408999,5012.785748982946,5661.718037198714
2015,Colorado,11967.440449502981,891.2828889776871,5426.203309769065,5649.95425075623
2016,Colorado,12339.154108497321,875.3542260963007,5352.098191996022,6111.701690404999
2017,Colorado,12431.617721109049,835.1265151722449,5362.647192748185,6233.844013188618
2018,Colorado,12827.319687272036,808.9067992258292,5290.566989552075,6727.845898494133
2019,Colorado,13965.846366518072,813.5114780328413,6002.459948538433,7149.874939946797
2020,Colorado,14495.981202598352,935.8686785152848,6006.926716839459,7553.185807243608
