Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Connecticut,17157.30039996628,758.4847768084448,6543.740557497723,9855.075065660112
2003,Connecticut,17430.07277831454,894.7694913058211,6326.846063804402,10208.45722320432
2004,Connecticut,17695.613882606805,888.0884162194092,6239.741407106673,10567.784059280722
2005,Connecticut,18641.018055221055,964.5831670340441,6932.648156383251,10743.78673180376
2006,Connecticut,19259.174283528053,901.8840067670037,7317.017389440214,11040.272887320836
2007,Connecticut,19853.51391405941,876.2820623250128,7478.94305042549,11498.288801308912
2008,Connecticut,20174.453855796364,852.2157424214143,7761.258069390158,11560.980043984791
2009,Connecticut,20822.40212343681,883.1666130544858,7903.446771830047,12035.788738552274
2010,Connecticut,20855.92047237242,1788.7320543736485,7076.499803457575,11990.6886145412
2011,Connecticut,21048.693375741685,1747.7384714281275,6992.8790946407125,12308.075809672848
2012,Connecticut,21352.177453037482,1102.6679012908044,8083.360443913168,12166.149107833511
2013,Connecticut,21701.120675413382,933.0257782971264,8310.39511729666,12457.699779819592
2014,Connecticut,22526.856248587457,900.9464959175956,8871.643127744292,12754.266624925573
2015,Connecticut,23353.18939369729,955.1673129266916,9364.146963500927,13033.875117269672
2016,Connecticut,24148.758806403297,1013.0303483210143,9536.344870591987,13599.383587490296
2017,Connecticut,23666.10657694958,1014.3177302086181,8995.944964041033,13655.84388269993
2018,Connecticut,23943.611396308137,1001.2879740867339,9105.761428202213,13836.56199401919
2019,Connecticut,25051.31582509567,1074.01826488235,9327.53501600968,14649.762544203639
2020,Connecticut,24874.654093647776,972.306794356217,9286.52119109762,14615.826108193938
