Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Delaware,14895.840937631967,1122.3007564755276,9913.44916576607,3860.09101539037
2003,Delaware,15332.71812940944,1167.8358945531645,10086.457926395775,4078.4243084605014
2004,Delaware,16025.83850204366,1295.2080649483148,10252.263738845086,4478.366698250261
2005,Delaware,16446.390264177655,1269.883212507171,10664.500988811125,4512.006062859358
2006,Delaware,16995.875087787244,1232.9208091080905,10965.277291371447,4797.676987307705
2007,Delaware,18063.260240702286,1122.3071227374949,11781.58701420292,5159.3661037618695
2008,Delaware,17558.001106007814,1111.3402067737645,11055.6955698096,5390.965329424449
2009,Delaware,17180.665907099297,1125.4460927756372,10747.547415281197,5307.672399042463
2010,Delaware,17107.820712223624,1822.0564201336852,10013.339368836176,5272.42492325376
2011,Delaware,16618.188921541314,1865.672945121132,9805.175209275147,4947.340767145033
2012,Delaware,17299.047193484428,1751.652533003262,10388.895986928423,5158.498673552745
2013,Delaware,17607.642473850367,1415.4356457984518,10530.445509277472,5661.761318774441
2014,Delaware,17287.863728769822,1207.615335573038,10326.415802960593,5753.83259023619
2015,Delaware,17633.916246039855,1227.0578591569013,10190.983870065438,6215.8745168175155
2016,Delaware,17819.11980535609,1197.2943473540804,10441.710431814516,6180.1150261874955
2017,Delaware,19248.520755266058,1207.4590364192372,11391.4457044979,6649.616014348922
2018,Delaware,18699.074095028234,1205.299884260516,11857.114573516314,5636.659637251404
2019,Delaware,18822.087026507157,1216.9243057304238,12150.823558405596,5454.339162371138
2020,Delaware,20032.21760031079,1209.6855121959131,12588.988880436382,6233.5432076784955
