Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,District of Columbia,24008.877794630193,2985.251485537891,0,21023.626309092302
2003,District of Columbia,23310.34393560605,3192.944707901585,0,20117.399227704467
2004,District of Columbia,22964.757671486757,3546.5282290924542,0,19418.229442394302
2005,District of Columbia,23899.64776313394,3616.851628895848,0,20282.79613423809
2006,District of Columbia,23705.669016454496,2762.848379252318,0,20942.820637202178
2007,District of Columbia,25418.124176340374,2981.492989601717,0,22436.631186738658
2008,District of Columbia,25569.5644997611,1787.074287530922,0,23782.490212230183
2009,District of Columbia,21655.907010087656,2050.829058083327,0,19605.077952004332
2010,District of Columbia,32357.312535814995,2180.315996282948,0,30176.99653953205
2011,District of Columbia,33783.180945860964,4094.437137918408,0,29688.743807942556
2012,District of Columbia,33725.73887933734,3490.1801529953163,0,30235.55872634202
2013,District of Columbia,32716.926081404643,3268.4310725982564,0,29448.49500880639
2014,District of Columbia,32696.318569539235,3287.5850887532933,0,29408.733480785937
2015,District of Columbia,32554.347940521842,3447.0894438778914,0,29107.25849664395
2016,District of Columbia,29706.004877390587,3460.9670822294825,0,26245.037795161104
2017,District of Columbia,33268.59848395714,3671.50293654884,0,29597.0955474083
2018,District of Columbia,32432.750957978693,2926.3631905810716,0,29506.387767397617
2019,District of Columbia,31600.561189299144,2751.4403445958724,0,28849.12084470327
2020,District of Columbia,31204.508445979125,2569.2060191089085,NA,28635.302426870217
