Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Florida,10706.751210731192,1017.8804900843202,4933.79805510884,4755.072665538033
2003,Florida,10886.264881668896,1089.841084340715,4839.415541283085,4957.008256045096
2004,Florida,11525.458030771506,1159.1229558620028,5114.41652357049,5251.918551339012
2005,Florida,11775.865874033949,1181.2994031281917,5043.165515291935,5551.400955613823
2006,Florida,12338.81419510773,1194.1402067947915,4958.961078375662,6185.712909937278
2007,Florida,13710.256398436302,1181.0799584452873,5494.373715271393,7034.802724719622
2008,Florida,13778.706299474821,1139.3039057847946,5434.285846520581,7205.116547169448
2009,Florida,12102.640425060672,1231.1940107952448,4133.999202600681,6737.447211664745
2010,Florida,11845.833886971819,1897.2679191907466,3711.5893191191126,6236.97664866196
2011,Florida,11673.95709847939,2079.2461566314323,4003.2750728992974,5591.435868948659
2012,Florida,10262.10403970538,1304.8063113695598,3700.6682629159773,5256.629465419844
2013,Florida,10235.93733122353,1255.7442933993184,3922.5957765640787,5057.597261260133
2014,Florida,10540.495615416163,1258.1102881850547,4229.076785247399,5053.308541983709
2015,Florida,10683.513042220045,1235.3375449077282,4224.016770165179,5224.158727147136
2016,Florida,10934.651601058484,1223.8602333032893,4263.35073102057,5447.4406367346255
2017,Florida,10970.715106328218,1211.5147017759368,4292.981527396131,5466.2188771561505
2018,Florida,11110.218497211492,1234.733192057498,4355.218277635803,5520.267027518191
2019,Florida,11381.041628573024,1241.2368647929643,4384.977862515636,5754.826901264425
2020,Florida,11526.136232728548,1190.4438468820044,4377.883715350945,5957.8086704955995
