Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Georgia,12802.187304609864,888.4011114210247,6246.228815858792,5667.5573773300475
2003,Georgia,12770.662460874531,993.597650473699,6188.136704089252,5588.92810631158
2004,Georgia,12831.696819996338,1091.2656981433781,5750.600121962642,5989.830999890318
2005,Georgia,12720.542726531003,1188.6699064440177,5573.877939253201,5957.994880833786
2006,Georgia,13078.053035037623,1177.8371600479004,5775.831239922828,6124.384635066895
2007,Georgia,13736.284226335983,1142.0138473388354,6120.184394565739,6474.085984431411
2008,Georgia,13787.904911531585,1070.2614275717715,6226.188377216646,6491.455106743167
2009,Georgia,13055.076637343656,1194.8557693106018,5622.877262500643,6237.343605532412
2010,Georgia,12747.061077184673,1857.108882586239,4816.578094303758,6073.374100294676
2011,Georgia,12592.803866371049,1583.6510475944685,5233.632747714005,5775.520071062574
2012,Georgia,11891.090587472456,1261.373128582278,5049.528671007249,5580.188787882928
2013,Georgia,11534.001757702745,1193.2607507727332,5009.116452244655,5331.624554685357
2014,Georgia,11480.06115913251,1162.450442710767,5049.580393225734,5268.030323196009
2015,Georgia,11757.681632584325,1158.7720226986273,5259.0080377133,5339.901572172397
2016,Georgia,12129.436197832441,1130.0266321272568,5484.032086108241,5515.377479596942
2017,Georgia,12465.07895687098,1129.7024166155454,5636.415040073741,5698.961500181695
2018,Georgia,12757.76365330731,1080.226969925285,5841.594701416687,5835.941981965338
2019,Georgia,13135.605885156336,1094.146585460731,5880.045882985154,6161.413416710452
2020,Georgia,13604.815667339848,1050.8744890051494,6285.129797733914,6268.811380600785
