Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Hawaii,14784.746004801307,1331.3156764441953,13177.843789522905,275.58653883420385
2003,Hawaii,15977.167107618745,1309.4289851178107,14397.347573574643,270.3905489262918
2004,Hawaii,16097.21789070106,1780.2924296310664,13933.492918078871,383.4325429911203
2005,Hawaii,16660.392147320323,1736.0487793445766,14553.812230834847,370.5311371408979
2006,Hawaii,19137.40502233196,1594.3027582739617,17200.719711310165,342.38255274783523
2007,Hawaii,20821.485074543405,1790.1944212406029,18697.599350487333,333.69130281547183
2008,Hawaii,17170.697056323508,2099.177220039287,14553.650008478357,517.8698278058638
2009,Hawaii,17961.766192581308,2623.3015556771516,14724.84484892691,613.619787977247
2010,Hawaii,16893.16819856308,2518.639455443316,13787.311642467293,587.2171006524693
2011,Hawaii,16196.043821239615,2250.801003986479,13535.208681400252,410.03413585288126
2012,Hawaii,15686.397759239762,1972.2363865973489,13373.483909411996,340.6774632304148
2013,Hawaii,14031.714907264393,1870.1451238543311,11812.132380514435,349.437402895627
2014,Hawaii,15802.864595481826,1681.7300813374754,13797.801062230132,323.333451914219
2015,Hawaii,16113.880459714139,1545.9576631007594,14193.958266257852,373.9645303555274
2016,Hawaii,17980.95011511418,1549.3661265644207,16081.359640032282,350.22434851748
2017,Hawaii,16607.665239902904,1472.3255532868916,14797.571054956134,337.76863165987913
2018,Hawaii,18761.67716050714,1550.889550731957,16862.236382584982,348.55122719020005
2019,Hawaii,17509.73897402978,1674.4486928506585,15467.533341292317,367.75693988680695
2020,Hawaii,18756.37811450789,1536.5954673970687,16936.36795370209,283.4146934087299
