Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Idaho,9517.587357201819,814.0995575334215,5791.726806825222,2911.760992843175
2003,Idaho,9578.613828343476,923.9871596700457,5651.0402044517205,3003.5864642217084
2004,Idaho,9504.570436419535,973.6700645813784,5527.961223648995,3002.939148189161
2005,Idaho,9493.493042675562,1015.5038778882553,5412.541172431244,3065.4479923560625
2006,Idaho,9384.785667907661,1006.4306582606125,5237.043830406178,3141.3111792408718
2007,Idaho,9640.553211717695,972.9823674026924,6414.655307624359,2252.9155366906425
2008,Idaho,9831.90778200155,937.3206503044782,6441.955430522622,2452.6317011744504
2009,Idaho,9757.230862667204,978.5732344311964,6528.476387403568,2250.18124083244
2010,Idaho,9688.318317871373,1976.2931203765331,5480.325009432653,2231.700188062187
2011,Idaho,9150.045882128781,1281.524110150273,5781.942360569009,2086.579411409499
2012,Idaho,8371.587374439963,1124.3474043679355,5235.333053439003,2011.9069166330237
2013,Idaho,8233.700364319455,972.2292582951436,5223.1904554466755,2038.2806505776364
2014,Idaho,8107.480925015725,904.7317823781576,5132.862015856599,2069.8871267809677
2015,Idaho,8594.036505559938,921.7234470868258,5476.85313222926,2195.4599262438514
2016,Idaho,8901.946598021097,944.1792461821104,5715.749256094406,2242.0180957445814
2017,Idaho,9103.302024678678,895.6500371228312,5919.242207035366,2288.4097805204797
2018,Idaho,9311.434270114829,897.3889481618327,6096.72322150856,2317.322100444438
2019,Idaho,9440.393050496801,887.4656358199541,6135.654980188639,2417.272434488208
2020,Idaho,9802.01339961697,910.9838139817894,6354.031984844198,2536.997600790982
