Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Illinois,13052.971363400744,1011.3970416024924,4787.460895347041,7254.113426451211
2003,Illinois,13080.471900174207,1109.9793893214705,4657.796554040358,7312.6959568123775
2004,Illinois,13581.845273723977,1162.3134926932496,4817.97767796087,7601.554103069857
2005,Illinois,13555.516192380046,1185.620259531603,4619.611348602652,7750.284584245791
2006,Illinois,13586.058249521282,1160.2351822487228,4393.574847534166,8032.248219738392
2007,Illinois,14065.75166685023,1114.8354655656703,4671.732117691085,8279.184083593476
2008,Illinois,14287.406187699575,1152.4988845389455,4825.8452367839855,8309.062066376644
2009,Illinois,14930.381070458721,1894.6753670674873,4460.902500242331,8574.803203148902
2010,Illinois,15575.575815612208,2155.5000362273754,4919.884269416684,8500.191509968148
2011,Illinois,16115.928497823928,1625.85482784179,5633.510538110939,8856.5631318712
2012,Illinois,15910.93129665799,1326.4493901459812,5535.286158536426,9049.195747975582
2013,Illinois,15782.68235829565,1241.4919056972763,5577.035381766977,8964.155070831397
2014,Illinois,16154.824222240733,1222.924894800348,5930.973783849822,9000.925543590563
2015,Illinois,16674.81147933762,1201.203607979499,6297.005359630581,9176.602511727537
2016,Illinois,17105.173458181092,1239.8890368712075,6409.323902118911,9455.960519190972
2017,Illinois,18540.15285741643,1213.7607546709346,7606.8006153888155,9719.591487356676
2018,Illinois,19344.30915704986,1203.360729167535,8128.505941927757,10012.442485954565
2019,Illinois,19297.733455550697,1211.5180863790279,7848.658275998627,10237.557093173042
2020,Illinois,20196.803901563268,1245.2233071442095,8559.269953017509,10392.310641401551
