Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Indiana,13115.868219716487,759.7168205456093,6455.294216136207,5900.857183034669
2003,Indiana,11306.9530201821,823.8618211779461,6458.615098334276,4024.4761006698773
2004,Indiana,13989.830982252208,894.9663308559648,6934.399300147055,6160.465351249188
2005,Indiana,15065.66583038101,937.7552900769695,6910.624008815411,7217.28653148863
2006,Indiana,14261.130008520096,932.5548727974499,6779.829276280813,6548.745859441834
2007,Indiana,12405.627594577101,932.0842870591288,6364.128862584511,5109.414444933462
2008,Indiana,13013.38993088411,951.2670500615684,6312.256549622006,5749.866331200534
2009,Indiana,14813.86215111076,1636.2051772310233,6765.63234005982,6412.024633819917
2010,Indiana,15872.460041978919,1709.0256216966466,8493.120355128909,5670.314065153362
2011,Indiana,13481.858657486819,1165.0865259140564,8348.56923828265,3968.202893290112
2012,Indiana,13637.446612360189,1231.943562453793,8381.32726306115,4024.1757868452473
2013,Indiana,13292.22354584554,1086.5823173714202,8319.396962961613,3886.244265512507
2014,Indiana,13207.193927887398,1015.177734754937,8296.555041167065,3895.461151965396
2015,Indiana,13221.530425936751,1006.5384558221987,8309.189395280491,3905.802574834061
2016,Indiana,13473.425693855163,1028.2886419560173,8379.248759361279,4065.8882925378684
2017,Indiana,13418.093215303299,986.4321749174125,8399.033252498637,4032.627787887249
2018,Indiana,13340.105217506782,998.6678318733539,8373.955922127494,3967.4814635059333
2019,Indiana,13317.430541613861,982.7070282741323,8237.237068033452,4097.4864453062755
2020,Indiana,13368.374005004684,949.5555027764178,8358.460880135579,4060.357622092685
