Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Iowa,12016.144857010235,813.7611848657659,5799.382266214916,5403.001405929552
2003,Iowa,12359.509405647952,892.752685644047,5786.003618005254,5680.753101998651
2004,Iowa,12155.299646598382,1014.8117363496599,5611.518278234629,5528.969632014093
2005,Iowa,12513.02977810123,1021.1157679870137,5757.299462376064,5734.614547738152
2006,Iowa,12635.398008188007,1062.616733583627,5772.604088551261,5800.17718605312
2007,Iowa,13060.018177720582,1018.9791245939639,5946.1724136616895,6094.866639464928
2008,Iowa,13271.93376380971,982.0027083994523,6175.6004247538995,6114.330630656356
2009,Iowa,13587.154433139507,1059.839756777995,6257.025073952758,6270.289602408752
2010,Iowa,13368.57680311397,1759.6770298534889,5358.288442221268,6250.611331039213
2011,Iowa,13858.738047417883,1407.1117863126115,5984.540604406282,6467.0856566989905
2012,Iowa,13750.932034105981,1167.8909699279757,6112.603254219361,6470.437809958646
2013,Iowa,13422.234162590663,1021.9852543328443,6941.298151555213,5458.950756702608
2014,Iowa,13516.557212909276,994.029520926912,7084.783482909022,5437.744209073341
2015,Iowa,13881.271156720217,986.2135366275502,7444.724009304149,5450.333610788518
2016,Iowa,14124.436100585499,988.0845409264736,7616.272089757685,5520.079469901341
2017,Iowa,14344.000858039448,994.2671800657616,7760.761792522498,5588.97188545119
2018,Iowa,14281.247408670031,992.9929474844618,7602.73563506949,5685.518826116079
2019,Iowa,14339.197649511196,990.2237070455117,7569.11415943633,5779.859783029353
2020,Iowa,14310.07067137811,985.7188145146962,7598.535927194573,5725.815929668842
