Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Kansas,11717.00922773639,867.0527188304476,7008.1619952230585,3841.794513682882
2003,Kansas,12225.102297407886,935.6494422291136,7209.8851278619395,4079.5677273168317
2004,Kansas,12882.123558185609,999.4580264037479,6623.029073810203,5259.6364579716565
2005,Kansas,12094.850521906998,1022.2684087967125,6760.752993342852,4311.829119767433
2006,Kansas,12897.235860997158,945.6712913410933,7329.271683888708,4622.292885767358
2007,Kansas,13534.905388619656,931.0801292377295,7777.880272999598,4825.944986382327
2008,Kansas,13978.237620192036,894.8552519862185,8160.334371725259,4923.047996480559
2009,Kansas,14308.986493992992,965.6568150796825,8390.604582726297,4952.725096187012
2010,Kansas,13726.971024399449,1696.1316157647861,7203.0406425657975,4827.798766068864
2011,Kansas,13350.213370687121,1475.756049673104,7100.7348857964125,4773.7224352176045
2012,Kansas,13066.152542970116,954.682156789547,7387.866858842863,4723.603527337706
2013,Kansas,12892.835305455184,957.6014463738206,7267.772178802506,4667.461680278859
2014,Kansas,12828.280750494945,925.6782481342061,7206.109910940621,4696.492591420119
2015,Kansas,13103.450117477581,1039.6514651079735,8679.51354299235,3384.2851093772574
2016,Kansas,13222.202779419762,989.129637925224,8606.2898916323,3626.783249862238
2017,Kansas,13475.804324639312,1152.3763382428642,8618.179212665107,3705.248773731341
2018,Kansas,13900.093385476795,1096.831182968461,9063.637237131867,3739.624965376467
2019,Kansas,14033.091468644558,1181.5656976119544,9010.583210045099,3840.942560987504
2020,Kansas,14588.466682084665,1049.6123719218524,9767.298468592586,3771.5558415702253
