Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Kentucky,10193.84492045806,1072.921794835667,6054.737509424176,3066.1856161982164
2003,Kentucky,10413.289848225368,1077.0306653666858,6209.732814094526,3126.5263687641554
2004,Kentucky,10689.500238868475,1264.3173401552299,6180.688480564816,3244.4944181484284
2005,Kentucky,10824.62590686644,1285.1608914774326,6207.8930050052695,3331.5720103837375
2006,Kentucky,11415.959884764901,1294.3499934698807,6543.731133496848,3577.878757798174
2007,Kentucky,12138.062727383412,1321.2537635955784,6936.273185686518,3880.5357781013163
2008,Kentucky,12107.736296435949,1272.243565972012,7009.674839182046,3825.8178912818903
2009,Kentucky,11997.154242595114,1288.2346929586283,6925.0775836771445,3783.841965959341
2010,Kentucky,12010.882162809647,1850.1997739147757,6392.853361468579,3767.829027426292
2011,Kentucky,12283.877269438583,2014.1134716782817,6405.645474253282,3864.1183235070193
2012,Kentucky,11923.8912576763,1630.3219230351901,6501.461487100921,3792.107847540188
2013,Kentucky,11710.461654486528,1408.392918845345,6428.683477797781,3873.385257843401
2014,Kentucky,11523.081193660377,1316.2809317512533,6323.425443174694,3883.374818734431
2015,Kentucky,11916.849959326628,1340.3915822558156,6594.4977135184045,3981.960663552409
2016,Kentucky,12183.256255865555,1384.7814187114452,6715.661953048782,4082.8128841053285
2017,Kentucky,12273.906970404509,1412.3016165745303,6712.979721920218,4148.62563190976
2018,Kentucky,12905.380387022624,1391.7536773463219,7236.585464858136,4277.041244818165
2019,Kentucky,13047.0964973485,1430.7124881644004,7216.319747216199,4400.064261967902
2020,Kentucky,12715.180047874017,1436.4845565873024,6859.3600032378645,4419.3354880488505
