Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Louisiana,10410.97674461886,1329.7419338067366,5050.82942379968,4030.4053870124435
2003,Louisiana,10697.782843711138,1443.728864889504,5155.04292985372,4099.011048967914
2004,Louisiana,10943.580525244633,1506.013985034389,5251.951850182624,4185.614690027621
2005,Louisiana,11168.305284313847,1579.5269882556593,5212.869174910206,4375.909121147981
2006,Louisiana,13520.747293817307,2546.9821725876536,5613.520280769151,5360.244840460504
2007,Louisiana,13362.997203564217,2348.3766067180673,5540.255920904248,5474.364675941901
2008,Louisiana,14104.48294831162,2365.0159117727485,6189.65539539601,5549.81164114286
2009,Louisiana,14343.2581217079,2239.2010158892695,6453.8123471828285,5650.244758635802
2010,Louisiana,14373.274201012286,2770.558404110373,5986.124370213062,5616.59142668885
2011,Louisiana,13964.847384012566,2619.794775013826,5720.408367836075,5624.644241162667
2012,Louisiana,14355.256854348996,2595.407769664602,6096.440983966338,5663.408100718057
2013,Louisiana,13392.154022096642,2036.3340752703834,5583.298350664166,5772.521596162093
2014,Louisiana,13693.016675765697,2092.6975560374053,5684.674934858213,5915.644184870078
2015,Louisiana,13867.367008775282,2031.8453932227824,5723.274569015206,6112.247046537292
2016,Louisiana,13709.591334819046,1669.8045607678475,5689.38662850128,6350.400145549918
2017,Louisiana,13580.028187887225,1689.171574420879,5628.495607756178,6262.361005710168
2018,Louisiana,13601.279187293143,1628.7414540230257,5577.277827129132,6395.259906140984
2019,Louisiana,13944.81894364902,1654.4893546818184,5769.6520166445835,6520.677572322618
2020,Louisiana,13752.791984053441,1568.7304059257049,5722.181707544677,6461.879870583059
