Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Maine,13520.136561975565,976.2139233352148,5888.964554014728,6654.958084625623
2003,Maine,14101.4486158428,1110.2937181772902,5935.979664255073,7055.175233410435
2004,Maine,14699.059307131021,1310.3171503802182,5987.750893759261,7400.991262991541
2005,Maine,15108.991012465101,1338.1221090527865,6063.2907005637735,7707.57820284854
2006,Maine,15141.373150997835,1334.7138533833438,6280.1524417160645,7526.506855898427
2007,Maine,15889.878507648584,1290.1039821749844,7045.657959219166,7554.116566254435
2008,Maine,15724.888604663509,1215.0855049221386,6994.5060468111305,7515.297052930241
2009,Maine,16378.87939593918,1572.8336508267635,7105.788806062738,7700.256939049677
2010,Maine,16787.203761738296,2018.7848877235572,6818.545555414965,7949.873318599775
2011,Maine,16174.642833251031,1801.9281869439224,6498.383769929973,7874.330876377136
2012,Maine,15430.908346636268,1448.9565391488943,6112.193320542557,7869.758486944818
2013,Maine,15573.559957004723,1182.757823368013,6195.749585395767,8195.052548240945
2014,Maine,15988.58317567148,1120.8297411823419,6323.8073973563105,8543.946037132828
2015,Maine,16476.06594931007,1134.5560048761229,6545.895104350052,8795.614840083896
2016,Maine,16621.202433323142,1115.3915216394316,6451.16311472969,9054.647796954017
2017,Maine,16467.529107722417,1096.7792275516445,6314.209068471237,9056.540811699535
2018,Maine,16718.951274871633,1083.766578528213,6428.423264400937,9206.761431942481
2019,Maine,17231.356629738773,1055.9067045836312,6707.432516536073,9468.017408619071
2020,Maine,17583.783478996356,1003.2027065125471,6953.143501550615,9627.437270933196
