Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Maryland,14134.87443649308,884.6957239362074,5257.68918584704,7992.489526709831
2003,Maryland,14172.257255759045,930.9211744698268,5407.454801805835,7833.881279483383
2004,Maryland,14499.632824895098,924.9411443135743,5466.067808491723,8108.623872089799
2005,Maryland,15387.87792185277,1043.0857125979321,5797.245164269326,8547.547044985513
2006,Maryland,16073.423523702702,997.3320878267868,6299.197967723847,8776.89346815207
2007,Maryland,17267.98051843372,979.2566471077179,6933.364738837392,9355.359132488611
2008,Maryland,18812.92007528891,1008.2243922163696,7902.785244977057,9901.91043809548
2009,Maryland,18666.405529190884,986.9743639714854,8092.507698046897,9586.923467172504
2010,Maryland,18639.394651740007,1405.4566321050775,7757.975152214166,9475.962867420763
2011,Maryland,18357.221835474822,1715.5946088987876,7524.162071832425,9117.465154743611
2012,Maryland,18205.06307423958,1138.3103607968192,7919.305034660257,9147.447678782506
2013,Maryland,17869.616903266167,1071.9371186562048,7884.789297098156,8912.890487511808
2014,Maryland,17676.012003794825,1031.8907939629757,7823.257053427159,8820.86415640469
2015,Maryland,18016.134517183407,1018.675371094963,7794.153298228795,9203.305847859649
2016,Maryland,17692.886014642463,1011.544955699902,7780.591924778987,8900.749134163576
2017,Maryland,17847.390430296266,1019.4713744891905,7778.674354894649,9049.244700912424
2018,Maryland,18434.78192664928,986.5461678648178,7733.968797295188,9714.266961489275
2019,Maryland,18208.609437290706,1028.075795581477,7747.233495366757,9433.300146342475
2020,Maryland,18580.919974961605,979.083677391605,8024.681986748129,9577.154310821868
