Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Massachusetts,16753.864069414303,903.4383832567793,7049.000155179503,8801.42553097802
2003,Massachusetts,16779.715224921147,1040.9882038043302,6951.198814914521,8787.528206202296
2004,Massachusetts,17039.162015221602,1111.6189071477752,6789.001443481679,9138.541664592147
2005,Massachusetts,18082.387958589108,1069.8730774887279,7637.302704548038,9375.212176552344
2006,Massachusetts,19115.47940990188,1020.0930506468895,8406.723990439303,9688.662368815689
2007,Massachusetts,19286.355572597073,1005.8431049059153,8649.240860796875,9631.271606894281
2008,Massachusetts,18817.42126876071,961.8162650211726,7924.54259448798,9931.062409251559
2009,Massachusetts,19499.583281792304,1518.8951893645972,7679.418219478611,10301.269872949097
2010,Massachusetts,18874.76505224242,1395.36838837707,7332.458564430192,10146.938099435156
2011,Massachusetts,19195.674171720744,1506.6042684366616,7276.747765246074,10412.322138038007
2012,Massachusetts,19140.375696395724,1199.7737528685275,7597.958540589098,10342.643402938098
2013,Massachusetts,19290.921452382034,987.5757731214397,7760.69114641266,10542.654532847931
2014,Massachusetts,19592.28306196783,940.7382329433385,7834.233111059619,10817.311717964873
2015,Massachusetts,19987.373998738145,924.2244367965203,8078.325680913593,10984.82388102803
2016,Massachusetts,20328.944973589114,896.9487368293603,7937.357881748001,11494.638355011752
2017,Massachusetts,20783.785645044012,994.0565996243755,8048.253041667653,11741.476003751983
2018,Massachusetts,21339.27629101814,938.7960504721595,8112.648834274906,12287.83140627108
2019,Massachusetts,21247.625082086783,915.5188164819033,8375.078578648092,11957.027686956788
2020,Massachusetts,21132.02955769266,946.3328525846288,8965.242425423638,11220.45427968439
