Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Michigan,14517.813230418156,1047.3920003292328,9353.779530018463,4116.641700070461
2003,Michigan,14064.51470229143,1074.3838505656431,8889.479972024837,4100.650879700947
2004,Michigan,14129.927194909402,1122.9403752486212,8765.168059107598,4241.818760553183
2005,Michigan,14072.87909836919,1165.4412712205503,8463.978878736285,4443.458948412355
2006,Michigan,14094.76894990866,1140.3332937720197,8355.699362337538,4598.736293799101
2007,Michigan,14566.72938948078,1142.6701391148658,8436.30080997372,4987.758440392194
2008,Michigan,14134.39806931198,1081.5582255219822,8094.032124681795,4958.807719108203
2009,Michigan,14367.178372325448,1613.878300265407,7805.25716237671,4948.042909683331
2010,Michigan,14338.032208212391,1856.7019716450814,7550.765498295211,4930.5647382721
2011,Michigan,14714.913076901468,2018.660328482365,7869.537147620519,4826.715600798584
2012,Michigan,14056.159589692073,1484.5959049475434,7792.6780338025765,4778.885650941955
2013,Michigan,13968.640357391329,1317.213285242174,7955.134312495041,4696.292759654114
2014,Michigan,14074.097967717209,1255.25270778523,8088.22839437016,4730.616865561819
2015,Michigan,14596.961741085086,1279.1048977896337,8494.208681880073,4823.64816141538
2016,Michigan,14915.987089497017,1255.348082584122,8672.653391578637,4987.985615334258
2017,Michigan,14981.836136092703,1215.5259022311348,8784.221266380477,4982.088967481093
2018,Michigan,15284.67889460213,1225.457964723476,8922.222870542704,5136.9980593359505
2019,Michigan,15562.131480496075,1242.6497276176674,8985.532139282792,5333.949613595616
2020,Michigan,15967.407095062534,1389.7113591175203,9009.815267372944,5567.880468572069
