Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Minnesota,13420.819794945724,704.2601858193078,8196.886562005024,4519.673047121391
2003,Minnesota,13939.56221296958,785.5882300132731,10273.251727500647,2880.722255455662
2004,Minnesota,14082.856732476386,846.7643236154446,10052.89592921319,3183.1964796477514
2005,Minnesota,13902.675414575477,865.3824184535691,9671.223539978819,3366.069456143087
2006,Minnesota,14237.31650702784,882.5357400500187,10067.06019600653,3287.7205709712903
2007,Minnesota,14607.69556564135,844.3516069922038,9678.913179286585,4084.4307793625635
2008,Minnesota,14861.721045402955,839.2328804566201,9781.043994915804,4241.444170030529
2009,Minnesota,15178.446740759704,859.1669082767244,9835.951782546445,4483.328049936535
2010,Minnesota,15140.65960526675,1844.1264283182315,8852.873912013942,4443.659264934577
2011,Minnesota,15669.034401619443,1227.8743026445188,9162.612806997922,5278.547291977
2012,Minnesota,14881.332522261599,1046.2468020530778,9390.150504162213,4444.935216046309
2013,Minnesota,14829.532620305197,895.7969747617506,9411.062550075178,4522.67309546827
2014,Minnesota,14991.343119620617,857.8384685869806,10345.86162567784,3787.643025355795
2015,Minnesota,15533.874691974284,848.4215750347373,10192.22601071153,4493.227106228016
2016,Minnesota,16022.938095883103,844.4360818896183,10499.800660770312,4678.701353223172
2017,Minnesota,16105.724241137632,845.5397733840387,10457.793912469511,4802.39055528408
2018,Minnesota,16145.521637187043,831.204749302484,10519.730274192778,4794.586613691781
2019,Minnesota,16583.844834132477,841.8361670033854,10661.046191766478,5080.962475362614
2020,Minnesota,16761.89343078102,883.4294455438344,10755.582804210337,5122.88118102685
