Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Mississippi,8877.795048207261,1286.650441306542,4810.698468633279,2780.4461382674413
2003,Mississippi,9359.412141752882,1387.7576115772013,5041.898036440436,2929.756493735246
2004,Mississippi,9758.802925764669,1449.5723816682498,5353.179989729394,2956.0505543670247
2005,Mississippi,9862.568232923182,1500.1103291382906,5316.354002362063,3046.103901422829
2006,Mississippi,11177.973070508699,2242.976764430935,5520.598627610398,3414.3976784673655
2007,Mississippi,10742.56371431915,1818.2627485421924,5649.055348836065,3275.2456169408924
2008,Mississippi,10934.261438903628,1744.868056472208,5886.7866469346945,3302.606735496726
2009,Mississippi,10689.120503832864,1648.421278457749,5695.900447683853,3344.7987776912637
2010,Mississippi,10754.1418434278,2283.5739451937748,5091.329972942985,3379.23792529104
2011,Mississippi,10694.37625104707,2387.8054479888174,4914.488022861255,3392.082780196998
2012,Mississippi,10292.391197434881,1832.2064670941543,5059.692852470698,3400.491877870029
2013,Mississippi,10000.469110901186,1596.1026790965045,4993.448792098044,3410.917639706637
2014,Mississippi,9932.01711746782,1477.7967212355138,4986.9983914624845,3467.2220047698233
2015,Mississippi,10156.323571877898,1490.9850411097673,5155.412420838126,3509.9261099300043
2016,Mississippi,10535.239921292854,1533.9262494198113,5355.610570288646,3645.7031015843972
2017,Mississippi,10450.43472803995,1477.092719219167,5308.300584854051,3665.041423966732
2018,Mississippi,10369.966128152673,1428.5495677449258,5229.2275278440875,3712.189032563659
2019,Mississippi,10544.00410305241,1473.5394462908116,5218.230961530118,3852.2336952314804
2020,Mississippi,10773.537950162434,1433.0883543238274,5403.818219099737,3936.6313767388706
