Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Missouri,11701.56878371759,861.4257254106418,5294.965490514527,5545.1775677924215
2003,Missouri,11552.935387450547,855.4967467534583,5243.662928388024,5453.775712309063
2004,Missouri,11809.061138061497,935.9542189076437,5221.092145487109,5652.014773666744
2005,Missouri,12284.151948500707,1030.1227168903108,5403.9674165407705,5850.061815069626
2006,Missouri,12394.403065638755,1045.8814566528968,5407.8677200051925,5940.653888980666
2007,Missouri,12215.007582617067,1009.7357709503293,5031.069537977868,6174.202273688871
2008,Missouri,12505.365603533677,976.708513221536,5141.808835545925,6386.848254766216
2009,Missouri,12532.829805113428,1011.8999307539727,5238.149709560092,6282.780164799364
2010,Missouri,12575.376285798457,1892.3862382487725,4591.61700294888,6091.373044600803
2011,Missouri,12774.355354156409,1745.2486995022425,4968.565381931718,6060.541272722449
2012,Missouri,12593.232104662793,1258.354186409442,5208.787823510198,6126.090094743153
2013,Missouri,12429.528434712072,1108.0292796409854,5248.598616583562,6072.9005384875245
2014,Missouri,12460.760490148628,1098.1543860720162,5231.300203319403,6131.3059007572065
2015,Missouri,12829.06630440632,1154.9688136565285,5407.25448409307,6266.8430066567225
2016,Missouri,13088.832983835391,1119.920388598224,5533.704253038813,6435.208342198356
2017,Missouri,13242.484619711347,1105.9656828284844,5585.5570107245,6550.961926158364
2018,Missouri,13340.028722939745,1058.4050301786924,5563.679712400423,6717.943980360629
2019,Missouri,13471.633235069143,1047.1166786103195,5630.4925228193115,6794.024033639512
2020,Missouri,12402.096286884105,1102.9134547508131,5327.285048708181,5971.897783425111
