Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Montana,11050.522275859836,1446.1267517287567,5274.835841903618,4329.559682227463
2003,Montana,11290.709378943557,1621.0994756221544,5220.051832323513,4449.558070997888
2004,Montana,11786.623374650557,1790.50596402983,5232.115280127701,4764.002130493026
2005,Montana,11772.261851083264,1756.0051650482835,5297.879684359859,4718.377001675121
2006,Montana,12153.755892709134,1693.4647171319657,5581.420269172579,4878.870906404591
2007,Montana,12793.095384454924,1665.559530807016,6137.593554895004,4989.942298752903
2008,Montana,13222.3710125192,1583.2627974305244,6526.689975305484,5112.418239783192
2009,Montana,13502.166583414239,1656.3729057197895,6476.167961370181,5369.625716324265
2010,Montana,13480.915626619444,2144.7069228969112,6239.659880649872,5096.548823072661
2011,Montana,13306.088093613826,2175.0560060427747,5868.096637510549,5262.935450060502
2012,Montana,12815.700148322441,1702.2582396450725,6048.952605754702,5064.489302922668
2013,Montana,12859.615673170108,1639.6752572208222,6137.922703269499,5082.017712679788
2014,Montana,13016.413270086616,1531.785375761545,6253.893383311947,5230.734511013124
2015,Montana,13454.791588228572,1617.78437136098,6404.523720185351,5432.483496682244
2016,Montana,13220.3766953605,1638.1821388173016,6251.203118118101,5330.991438425099
2017,Montana,13260.817556267577,1603.8053589409842,6214.36340807138,5442.648789255213
2018,Montana,13580.031797219624,1698.8159682330354,5856.725198236117,6024.490630750471
2019,Montana,13961.264558208803,1780.249154788196,5948.143624066968,6232.871779353637
2020,Montana,13769.473634607248,1707.2037806216238,5912.088429924544,6150.18142406108
