Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Nebraska,12544.061729799532,1011.5579748835268,4464.02428459791,7068.479470318096
2003,Nebraska,12622.905096239929,1120.111471228894,4357.807463178227,7144.986161832809
2004,Nebraska,12948.152248552167,1164.4180542895228,4242.202113795985,7541.53208046666
2005,Nebraska,13306.843384934991,1392.1964398853268,4132.711574794203,7781.935370255463
2006,Nebraska,13633.324865037082,1363.6940124676978,4284.087192353594,7985.543660215789
2007,Nebraska,13734.423186366756,1308.947477979979,4354.578144829021,8070.897563557755
2008,Nebraska,13814.450068979282,1345.0782843846123,4558.41484832398,7910.95693627069
2009,Nebraska,14137.987498903765,1221.3786518490622,4852.072858541999,8064.535988512704
2010,Nebraska,14661.471123409965,1874.0456185444134,4768.312323486361,8019.113181379191
2011,Nebraska,14864.392461583422,2236.2263808939592,4508.183497011313,8119.98258367815
2012,Nebraska,13868.355133345769,1375.0239726575771,4381.754379820853,8111.57678086734
2013,Nebraska,13912.786124300104,1342.7977478094215,4463.169757604679,8106.818618886004
2014,Nebraska,13984.154142664607,1133.1777036505405,4569.3794748116225,8281.596964202445
2015,Nebraska,14467.377609866608,1198.7427290160258,4699.553804578058,8569.081076272525
2016,Nebraska,14783.081325166824,1186.887496992317,4917.780973104137,8678.41285507037
2017,Nebraska,14733.747488230367,1134.8308954627428,4823.407002674384,8775.509590093241
2018,Nebraska,14659.39398002798,1055.0816932338766,4813.077402846235,8791.23488394787
2019,Nebraska,14491.00856958865,1032.1923024157918,4679.016457009928,8779.799810162931
2020,Nebraska,14717.121686051829,1064.0711834553142,4896.935831637772,8756.114670958741
