Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Nevada,10471.593520571007,617.2310590813732,6405.982271158173,3448.3801903314607
2003,Nevada,10607.151833573978,733.5163823250144,6358.75299200079,3514.882459248174
2004,Nevada,10992.910111393225,794.3867183008508,6637.5413212321255,3560.9820718602487
2005,Nevada,11323.752881440569,843.3433356136256,6698.535223802835,3781.8743220241086
2006,Nevada,11557.250156629518,810.8736099368831,6696.39788061004,4049.9786660825953
2007,Nevada,11934.152687810396,828.3214156650832,6757.6215760367795,4348.209696108534
2008,Nevada,12294.029830062374,796.1689273188593,7067.901800968066,4429.959101775449
2009,Nevada,12350.26373037062,1182.2510667346196,6319.3519623594275,4848.6607012765735
2010,Nevada,11932.274626049042,1003.8207534441401,6557.503537289261,4370.950335315642
2011,Nevada,11229.04792480125,1210.8696061342882,6392.038278075941,3626.140040591023
2012,Nevada,10691.216332660122,1064.6566750532095,6334.5077655852165,3292.051892021695
2013,Nevada,10635.434880145347,1009.4168140971383,6582.873917610411,3043.144148437799
2014,Nevada,10555.410396740406,958.691802809014,6662.309594561513,2934.408999369878
2015,Nevada,10756.585964155003,979.7318912178431,6796.699004190378,2980.1550687467807
2016,Nevada,10956.901134174128,981.2901693201827,6887.736491927662,3087.8744729262808
2017,Nevada,11178.282708771367,1020.7047007907128,7066.929897329285,3090.6481106513684
2018,Nevada,11387.588259200655,973.6586358842868,7219.399388111978,3194.5302352043896
2019,Nevada,11407.652349563252,1015.6098765664834,7085.059909767962,3306.9825632288057
2020,Nevada,11755.140366605352,913.2224291459972,7313.843498556885,3528.074438902469
