Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,New Hampshire,12938.87340607301,607.5189338717089,6709.386772587472,5621.967699613828
2003,New Hampshire,13554.951809840228,702.6404316577979,6641.635602699304,6210.675775483125
2004,New Hampshire,14372.129527765019,811.4142694082907,6582.963163811435,6977.752094545293
2005,New Hampshire,14876.532930715055,835.9906388024378,5833.781827859526,8206.760464053092
2006,New Hampshire,15198.51524203797,836.7494724911668,5954.121375124575,8407.644394422228
2007,New Hampshire,15872.405652558746,869.7151205574631,5945.0775699201595,9057.612962081123
2008,New Hampshire,16233.96004953323,844.7816395234182,6262.83860928129,9126.339800728523
2009,New Hampshire,16449.256486916638,889.3052882518367,6068.731864831668,9491.219333833134
2010,New Hampshire,16878.341148487536,1114.8609234762494,6387.82346475741,9375.656760253876
2011,New Hampshire,17493.67587898521,1136.045685729217,6523.624053197752,9834.006140058244
2012,New Hampshire,16960.358243458584,1109.6061579642571,6099.80270849409,9750.949377000235
2013,New Hampshire,17033.35602958225,970.7652834815431,6042.266076401267,10020.32466969944
2014,New Hampshire,17433.08114422311,959.4072878668085,5946.330429731873,10527.34342662443
2015,New Hampshire,17769.962276365448,979.3124888241737,5939.020560389131,10851.629227152145
2016,New Hampshire,18331.309523511405,1016.6315631117074,6038.2323453364,11276.445615063298
2017,New Hampshire,18525.89639847899,1000.0643432121518,5952.977955544272,11572.854099722565
2018,New Hampshire,19354.958942986945,1020.252102877704,6059.83924216501,12274.867597944232
2019,New Hampshire,19588.2454983657,986.8970252458439,6022.792112950923,12578.556360168935
2020,New Hampshire,20130.729244022008,948.5400267339979,6283.1783751670955,12899.010842120913
