Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,New Jersey,18967.714159588533,782.212887292834,7965.09685166081,10220.404420634892
2003,New Jersey,19949.806480578514,831.800620836869,8482.594323195595,10635.41153654605
2004,New Jersey,20912.992602631868,902.8024757389559,8871.411091494014,11138.779035398897
2005,New Jersey,21757.92221422969,915.0260027260877,9112.70371422872,11730.192497274878
2006,New Jersey,21651.653714815595,920.6414963766999,8939.202675969755,11791.80954246914
2007,New Jersey,22497.663115611656,910.5970737749642,9274.533786380192,12312.5322554565
2008,New Jersey,22443.182777585178,872.2043450955506,9257.832924544486,12313.145507945143
2009,New Jersey,22621.300960492335,894.699954695921,9172.727513974978,12553.87349182144
2010,New Jersey,22344.44069607808,2068.3719636785645,7850.648678093464,12425.420054306052
2011,New Jersey,21044.750326816393,1067.777156146694,7760.070153811716,12216.903016857983
2012,New Jersey,22619.901611417932,1165.1758106531533,8840.083234046957,12614.642566717821
2013,New Jersey,22479.729495989897,951.0407635446895,9124.48780012798,12404.200932317231
2014,New Jersey,22470.62992645137,936.9842866865141,9056.862446939298,12476.783192825558
2015,New Jersey,22906.216706513274,936.6627481472839,9267.964120101007,12701.589838264983
2016,New Jersey,22961.97963514685,936.9391622248774,9241.033828975478,12784.006643946494
2017,New Jersey,22901.49546051496,939.047028632861,9378.56022243029,12583.888209451814
2018,New Jersey,23252.747814694798,948.0918965665567,9668.501093880377,12636.154824247866
2019,New Jersey,23994.522019092874,981.2574818399164,10230.193183921265,12783.071353331692
2020,New Jersey,24010.01367587947,890.4678305849541,10385.872305640742,12733.673539653773
