Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,New Mexico,11436.973002261917,1591.0643241982377,8262.049166641218,1583.8595114224627
2003,New Mexico,11576.857718246267,1691.8309836664303,8405.573998969281,1479.4527356105548
2004,New Mexico,12217.58631498803,2105.5867283105886,8512.868375915008,1599.1312107624321
2005,New Mexico,12273.348451350566,1978.9892884595247,8653.078070497057,1641.2810923939846
2006,New Mexico,12204.823641283563,1768.971369750675,8694.765330367974,1741.0869411649148
2007,New Mexico,12582.70739514115,1708.893266800465,9075.8670624968,1797.947065843884
2008,New Mexico,13181.916034052774,1726.6564408177412,9391.099753630822,2064.159839604211
2009,New Mexico,13502.256616523306,1895.742113639474,9535.057136896701,2071.4573659871303
2010,New Mexico,13029.475886779488,2699.348372960905,8264.181507289863,2065.9460065287208
2011,New Mexico,12612.455329237388,2235.1151984710164,8271.319765995202,2106.020364771169
2012,New Mexico,11965.288333875937,1691.3502000292299,8189.571518562949,2084.3666152837586
2013,New Mexico,11955.844147682084,1764.57909819954,8161.308297998345,2029.9567514841988
2014,New Mexico,12070.686210930344,1562.9540490597199,8397.600073526197,2110.132088344427
2015,New Mexico,12624.58872871645,1664.9634956191123,8647.080620493067,2312.5446126042702
2016,New Mexico,12710.619867513122,1711.5810413381043,8748.54075501609,2250.498071158928
2017,New Mexico,12574.544449962434,1793.8903478822067,8364.894816745302,2415.7592853349247
2018,New Mexico,12351.912272314608,1655.053774593127,8337.6745918436991,2359.183905877784
2019,New Mexico,12580.070362353257,1630.4326298832243,8430.593879980313,2519.043852489721
2020,New Mexico,14394.163083596535,2007.7907994368582,9760.581154953528,2625.7911292061476
