Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,New York,18052.92781016131,1119.4546283015054,8796.212497106271,8137.260684753531
2003,New York,18579.194688689997,1271.5938913256614,8591.828947046937,8715.771850317396
2004,New York,19893.031530552733,1497.0416029705116,8665.22538115948,9730.764546422743
2005,New York,21192.089863783258,1528.5212795909679,9300.299861005315,10363.268723186975
2006,New York,21724.532050723425,1549.6366551351641,9363.80141954304,10811.09397604522
2007,New York,23133.31602124971,1495.701136757506,10451.883470977911,11185.73141351429
2008,New York,23589.834345375744,1394.5280761881836,10710.05819778958,11485.24807139798
2009,New York,24743.772400115642,1421.1647615938873,11451.837503269882,11870.770135251872
2010,New York,24306.096022595033,1625.2942736802431,10168.479029704242,12512.322719210546
2011,New York,25008.483969844554,2224.783957818018,10078.83690079141,12704.863111235129
2012,New York,25141.79291109984,1612.9850122807118,9975.948168860234,13552.859729958893
2013,New York,25112.344397416153,1410.2328764424083,9991.317356261374,13710.79416471237
2014,New York,25537.85580902412,1399.0943950986757,10378.44072974661,13760.320684178834
2015,New York,26214.637317483095,1185.444406649968,10698.837688397702,14330.355222435424
2016,New York,27783.616205532013,1404.4342117176836,11435.177159135306,14944.004834679019
2017,New York,28574.262312022733,1502.7174924574838,11669.479222517079,15402.065597048171
2018,New York,29269.031586270652,1244.586475941107,11600.505998831914,16423.93911149763
2019,New York,30311.22197901903,1464.0327491324354,12040.454402708028,16806.734827178563
2020,New York,30723.46430066923,1311.7613829392217,12219.5214543616,17192.181463368408
