Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,North Carolina,10805.496489510391,866.6708700001133,6605.22580872949,3333.599810780787
2003,North Carolina,10645.290506900961,955.3898330971779,6416.188409531367,3273.7122642724166
2004,North Carolina,10922.77824571124,1054.2783413015616,6321.020800441845,3547.479103967834
2005,North Carolina,10953.329949940406,1102.214246049711,6357.389600420093,3493.726103470601
2006,North Carolina,10906.859933372438,1103.499333270946,6378.076022509152,3425.2845775923424
2007,North Carolina,11626.292734787954,1054.699793077919,6658.906949741748,3912.685991968287
2008,North Carolina,11606.934860052414,1057.8260998125697,6830.646327261431,3718.4624329784115
2009,North Carolina,12719.785013666415,1137.1130878752303,6792.282568757896,4790.389357033287
2010,North Carolina,13657.374908431833,1584.0713605963128,6122.59094612685,5950.712601708671
2011,North Carolina,11579.985224665063,1645.0031160361088,6018.074165151988,3916.9079434769665
2012,North Carolina,9888.219614477153,1415.744875002288,5913.529495932446,2558.9452435424187
2013,North Carolina,9639.344353369086,1196.371527201351,5976.202490255921,2466.7703359118145
2014,North Carolina,10225.384555800203,1161.7974766367515,5961.822572512165,3101.7645066512873
2015,North Carolina,9754.584423054777,1179.4076673203945,6063.858371505739,2511.318384228644
2016,North Carolina,9932.444999247411,1150.6323829469295,6120.698078927696,2661.1145373727863
2017,North Carolina,10164.576827025652,1136.738673342865,6252.165615813277,2775.672537869509
2018,North Carolina,10285.964323523105,1114.7266121035084,6327.842878592322,2843.3948328272727
2019,North Carolina,10719.84804577181,1115.588585334832,6616.605772203168,2987.65368823381
2020,North Carolina,10790.193049282418,1132.3104521594496,6647.685926735763,3010.196670387206
