Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,North Dakota,10991.423888899737,1513.8207500435535,4133.793946437688,5343.8091924184955
2003,North Dakota,11446.715531235639,1716.529921801395,4176.767343505808,5553.418265928436
2004,North Dakota,11996.527479448418,1829.2728991242986,4570.799940181599,5596.45464014252
2005,North Dakota,12360.318120555625,1985.660835943151,4561.1009999312155,5813.556284681257
2006,North Dakota,12692.290405862084,1992.2843741855231,4590.218034580954,6109.787997095606
2007,North Dakota,13074.566433999229,1959.753959062451,4641.627626864246,6473.184848072533
2008,North Dakota,13595.28394794908,1865.6022927116278,4905.66246835711,6824.01918688034
2009,North Dakota,13979.599316813465,2029.691044460897,5158.292634448036,6791.6156379045315
2010,North Dakota,15752.86465609878,3472.999627584089,6904.096128197597,5375.768900317094
2011,North Dakota,15266.199068064361,2259.0099904278036,7622.121493146155,5385.067584490402
2012,North Dakota,15113.077894620204,1854.8026355601287,7628.44804042882,5629.827218631258
2013,North Dakota,14984.78407666259,1605.7366172676468,7542.499428882816,5836.548030512128
2014,North Dakota,16221.134868085395,1652.6251531706562,9551.798959624248,5016.710755290492
2015,North Dakota,16360.709834016423,1623.14205171356,9559.845793544106,5177.721988758756
2016,North Dakota,17428.167294953513,1548.7774414204669,9817.186439407913,6062.203414125133
2017,North Dakota,17143.53265873455,1580.0155494210655,9940.465154399262,5623.051954914222
2018,North Dakota,16868.70907481446,1588.2695794983404,9416.563517681248,5863.875977634869
2019,North Dakota,16688.109380071488,1749.4561967732698,9124.862678100388,5813.7905051978305
2020,North Dakota,16624.06461779575,1661.2732392425687,9109.877808299403,5852.913570253778
