Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Ohio,14007.502347214697,789.5277730039409,6277.977060439723,6939.997513771032
2003,Ohio,13925.07256746975,859.433475561534,6144.124376394775,6921.514715513438
2004,Ohio,14263.341994652192,978.2007654473712,6263.353930972447,7021.787298232375
2005,Ohio,14606.11399316399,1066.7198475829364,6272.46100015431,7266.933145426744
2006,Ohio,15008.836065836827,1081.667891235046,6355.838648686871,7571.32952591491
2007,Ohio,15539.73479754235,1047.3105307716974,6695.073428825719,7797.350837944935
2008,Ohio,15447.108216144858,1061.6546733636796,6813.468218055834,7571.985324725344
2009,Ohio,15353.703713602406,1061.4114373463829,7088.420055935411,7203.8722203206125
2010,Ohio,16058.780574083083,1642.2415198386582,7099.196767464727,7317.342286779698
2011,Ohio,16018.384622200707,1781.1913434072617,6912.971579194576,7324.221699598868
2012,Ohio,15275.44026520498,1391.8085625269416,6472.130642233477,7411.5010604445615
2013,Ohio,14972.28280078829,1185.8778835058883,6194.267697086777,7592.137220195625
2014,Ohio,15328.002547449103,1157.1253347493587,6488.757244621228,7682.119968078516
2015,Ohio,15308.188050552273,1139.035636810496,6259.782067869229,7909.3703458725495
2016,Ohio,15493.820209823,1138.0233704812583,6281.060250280793,8074.736589060947
2017,Ohio,15708.376850003637,1118.2735610920208,6334.055897781206,8256.04739113041
2018,Ohio,15886.07980433924,1050.629335321781,6379.375033120365,8456.075435897095
2019,Ohio,15784.655518386,1087.775988863679,6210.288578264061,8486.59095125826
2020,Ohio,16064.038946536046,1102.0907065686465,6190.587920460701,8771.360319506699
