Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Oklahoma,10140.262269913765,1156.487749237472,5449.589086087319,3534.185434588975
2003,Oklahoma,10017.274524235754,1276.4944617730202,5144.2042812271375,3596.575781235597
2004,Oklahoma,10207.981456714057,1311.4851842385085,5213.9407396846045,3682.555532790942
2005,Oklahoma,10434.463741254887,1447.3284739713401,5206.81606680141,3780.3192004821376
2006,Oklahoma,10433.860110616053,1334.605521924678,5240.098910055271,3859.1556786361048
2007,Oklahoma,10829.452694221738,1283.1693427725727,5487.77922416697,4058.504127282194
2008,Oklahoma,10945.461714497733,1216.0788687371914,5600.5844040405955,4128.798441719947
2009,Oklahoma,11210.381837990368,1429.8867436689707,5606.314043885526,4174.181050435871
2010,Oklahoma,10491.72048327011,1395.173152472106,4826.940035944988,4269.607294853015
2011,Oklahoma,10314.104509020162,1712.5428972809157,4846.7102264723435,3754.8513852669043
2012,Oklahoma,9911.702965711325,1315.7702035810325,4883.531389804631,3712.4013723256626
2013,Oklahoma,9729.93371178157,1185.500127440127,4785.503157101791,3758.9304272396525
2014,Oklahoma,9855.829530729616,1127.5450215523954,4875.1329301331225,3853.1515790440967
2015,Oklahoma,9903.036578631723,1114.9592002587544,4843.508083331347,3944.569295041622
2016,Oklahoma,9793.991157580915,1107.0810899432786,4670.085654107467,4016.8244135301707
2017,Oklahoma,9763.256967604553,1086.4331335831585,4545.5792114897995,4131.244622531595
2018,Oklahoma,9901.633698816859,1039.910125954594,4563.252196235467,4298.471376626796
2019,Oklahoma,10796.55777355016,1118.480517759684,5173.917747323885,4504.1595084665905
2020,Oklahoma,10956.105848497584,1158.9248450114699,5217.2957467131555,4579.88525677296
