Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Oregon,12425.465672317669,1037.562076697886,6988.508626507085,4399.394969112696
2003,Oregon,11704.615621864205,1041.3588034435202,6001.45144613488,4661.805372285805
2004,Oregon,12736.200525949158,1163.5890362821026,6711.0823587512505,4861.529130915805
2005,Oregon,12125.530230205251,1213.6845710874722,5945.82345917204,4966.02219994574
2006,Oregon,12502.832470101086,1200.9371318835724,6358.43758812629,4943.457750091224
2007,Oregon,12604.121364694503,1182.1653825257306,6552.153951342349,4869.802030826425
2008,Oregon,13056.16480702015,1109.9531076501412,6893.813075956545,5052.398623413464
2009,Oregon,13018.51979393836,1399.7001243773177,6648.361252393392,4970.45841716765
2010,Oregon,13074.753733480844,1722.505836608196,6244.274844815623,5107.973052057025
2011,Oregon,12606.013029829192,1764.7471649861736,5807.570047006101,5033.695817836916
2012,Oregon,12124.19554357035,1099.3614954707505,6062.722393124457,4962.111654975142
2013,Oregon,11870.443466928533,929.8193386841853,5996.301978648796,4944.322149595551
2014,Oregon,12702.106323478638,1007.6785163526202,6556.939485114657,5137.488322011362
2015,Oregon,13464.567722189895,1099.8297167246985,7009.413864945362,5355.324140519835
2016,Oregon,13862.335928207443,1095.4516826680133,7261.086848767866,5505.797396771563
2017,Oregon,14065.949066953046,1025.5775561191674,7384.950391312874,5655.4211195210055
2018,Oregon,15129.552124360463,1069.5326599051132,8034.246147946512,6025.7733165088375
2019,Oregon,15511.949920372857,1053.710666749754,8040.243947663223,6417.99530595988
2020,Oregon,15844.130945921526,997.2336339129624,8465.736506214,6381.160805794563
