Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Pennsylvania,14434.274719098878,1050.73232407192,5403.099102832029,7980.443292194928
2003,Pennsylvania,15091.853542541243,1136.8317904590772,5535.579418225325,8419.442333856841
2004,Pennsylvania,15724.40432788962,1262.9935593819623,5642.5700272140675,8818.840741293592
2005,Pennsylvania,16383.468574256833,1333.0778544465452,5837.195846526114,9213.194873284172
2006,Pennsylvania,16736.127716824765,1318.785130525302,5860.132095568652,9557.210490730811
2007,Pennsylvania,16878.705531782532,1270.2358358578213,5992.751663243525,9615.718032681187
2008,Pennsylvania,17778.42959166141,1315.4181248534344,6358.251985777816,10104.75948103016
2009,Pennsylvania,18005.75350076127,1280.2086965865115,6968.473192953479,9757.07161122128
2010,Pennsylvania,18528.41093124381,2086.8423817293424,6610.786543312342,9830.782006202126
2011,Pennsylvania,18836.1343550018,2348.491945268771,6450.489142013894,10037.153267719137
2012,Pennsylvania,18184.93332366416,1474.5472566505673,6572.268793732075,10138.117273281518
2013,Pennsylvania,18504.740780972148,1403.1196865722764,6686.231340329603,10415.38975407027
2014,Pennsylvania,18855.106005726862,1236.1683966414498,7005.595993571948,10613.341615513466
2015,Pennsylvania,19497.833863214182,1270.5998484514032,7203.100253794867,11024.133760967914
2016,Pennsylvania,20361.88519788434,1307.5927815722152,7683.459358423732,11370.833057888392
2017,Pennsylvania,20968.597257391593,1346.9559514268815,8109.339056476883,11512.302249487828
2018,Pennsylvania,21187.208540084754,1364.7161512350388,8114.293454633254,11708.198934216456
2019,Pennsylvania,21541.269629062634,1393.351885068679,8164.459392434464,11983.458351559493
2020,Pennsylvania,21523.730019689152,1342.0252671753308,8297.21576023309,11884.488992280732
