Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Rhode Island,14991.922413605298,889.5361811490947,6235.557544772348,7866.828687683853
2003,Rhode Island,15450.51931337816,979.1861536922551,6406.258334065876,8065.0748256200295
2004,Rhode Island,16095.36200103722,1165.4871085548452,6512.8691034509475,8417.005789031427
2005,Rhode Island,16545.307248872905,1275.2577999120974,6529.836829233987,8740.212619726819
2006,Rhode Island,17172.123855224716,1287.818836092019,6868.8236983613615,9015.481320771336
2007,Rhode Island,17798.883303965842,1407.914177456006,6971.0108617950455,9419.95826471479
2008,Rhode Island,18268.936145727683,1394.0757202424948,7069.074152639509,9805.786272845677
2009,Rhode Island,18351.53721818324,1746.495520091188,6479.280305785646,10125.761392306404
2010,Rhode Island,18459.089046450757,2080.56672196869,6198.559989393892,10179.962335088176
2011,Rhode Island,18385.883179729626,1957.8483810307746,6428.674870156933,9999.359928541915
2012,Rhode Island,18059.50789305617,1684.1643819348835,6409.767607934622,9965.575903186662
2013,Rhode Island,18434.152298484645,1576.3628505043164,6862.194985176927,9995.594462803401
2014,Rhode Island,18554.566549631425,1511.8935526719945,7030.709026837633,10011.963970121795
2015,Rhode Island,18931.17287016339,1492.0355118681937,7342.0298778367505,10097.107480458448
2016,Rhode Island,19177.770779398044,1414.7992735909227,7591.048835134473,10171.922670672648
2017,Rhode Island,19445.640855629703,1411.6858123049876,7884.211353252378,10149.743690072337
2018,Rhode Island,19331.87137920631,1309.772807298098,7899.001811640334,10123.096760267877
2019,Rhode Island,19471.55931674698,1391.1511331096276,7942.91588069242,10137.492302944935
2020,Rhode Island,19574.233387871456,1496.0152002955633,7866.02477587859,10212.193411697304
