Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,South Carolina,12037.586852280203,1058.892199751244,6122.497828061077,4856.19682446788
2003,South Carolina,11644.364886482934,1093.4555080443413,5641.237856489096,4909.671521949496
2004,South Carolina,11818.324739739437,1224.1227322824866,5441.37105175185,5152.830955705101
2005,South Carolina,12109.162787463147,1223.6322870323945,5420.902642835791,5464.627857594961
2006,South Carolina,12470.43409851277,1228.5627907053376,5592.5503227016725,5649.320985105759
2007,South Carolina,12790.93761087479,1222.9158540739927,5605.851104090745,5962.1706527100505
2008,South Carolina,13214.246097563158,1186.7212398901895,6697.347222752167,5330.177634920802
2009,South Carolina,12847.36314242721,1232.606883431123,6132.241141987935,5482.515117008151
2010,South Carolina,12841.062534021761,1755.5321467714346,5601.822900984952,5483.707486265374
2011,South Carolina,12659.089504654841,1698.8338946411504,5445.540208979148,5514.715401034541
2012,South Carolina,12439.197028674655,1339.8610408090813,5665.438076082732,5433.897911782841
2013,South Carolina,12687.49593980916,1253.266810461363,5879.333736450901,5554.895392896897
2014,South Carolina,12616.621622750909,1219.5868540903084,5858.144849368778,5538.8899192918225
2015,South Carolina,12895.35716952235,1232.5507865222858,6036.100607824692,5626.705775175375
2016,South Carolina,13291.690874777018,1221.4191787510447,6191.693073602876,5878.578622423095
2017,South Carolina,13788.053131599832,1211.0062418629323,6554.92874356449,6022.118146172409
2018,South Carolina,13933.510174779285,1181.092460714436,6631.869239065666,6120.548474999182
2019,South Carolina,14144.959428762462,1153.145325403655,6657.203423582367,6334.61067977644
2020,South Carolina,14323.730673210981,1149.9353344322963,6792.3665477597715,6381.428791018915
