Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,South Dakota,10532.27959629202,1443.9496181118054,3930.8640567438238,5157.465921436393
2003,South Dakota,10655.42839985122,1643.8403963987064,3637.2644889971675,5374.3235144553455
2004,South Dakota,11088.08962405509,1724.3350730744949,3790.870862496306,5572.883688484289
2005,South Dakota,11285.072262930642,1899.132371315486,3764.309066469892,5621.630825145264
2006,South Dakota,11513.644338388975,1885.2780785641723,3779.2148458668757,5849.1514139579285
2007,South Dakota,11793.9035454879,1811.1033671266548,3866.1859599059467,6116.614218455297
2008,South Dakota,11871.393138924199,1808.1340444592183,3944.7753387480284,6118.483755716951
2009,South Dakota,11881.07447143217,1910.9251693014762,3907.226684154713,6062.922617975981
2010,South Dakota,12386.630193979345,2406.70985168395,3828.78323072501,6151.137111570385
2011,South Dakota,11999.010362975156,2430.990496179083,3470.972112321123,6097.04775447495
2012,South Dakota,11474.546350517165,1881.9416257109033,3496.783232620442,6095.821492185818
2013,South Dakota,11215.190718372383,1661.640259401454,3481.542130416461,6072.008328554468
2014,South Dakota,11252.380127179895,1560.3612376732428,3465.2125900692936,6226.806299437359
2015,South Dakota,11558.094597220641,1692.6888672455323,3482.8215183915145,6382.584211583594
2016,South Dakota,11700.323758041526,1584.1093682535663,3533.47322108833,6582.741168699629
2017,South Dakota,12215.332226140352,1558.2329005108622,4162.826717120784,6494.272608508705
2018,South Dakota,12401.776644413141,1684.7813522422007,4259.613107934506,6457.382184236435
2019,South Dakota,12395.55961821948,1693.791664572728,4223.30991146257,6478.458042184184
2020,South Dakota,12410.444929663186,1722.2250062640965,4166.209686079398,6522.010237319692
