Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Texas,11472.853288012391,1032.8571415680042,4540.249490543507,5899.74665590088
2003,Texas,11771.386124071254,1129.7747358677077,4598.080374714272,6043.531013489273
2004,Texas,11635.996257557968,1225.354516562787,4276.3130638287785,6134.328677166403
2005,Texas,11656.511168258508,1268.0112502987213,4030.2519428247756,6358.247975135011
2006,Texas,11910.446098613776,1375.9473995332323,3923.716074242265,6610.78262483828
2007,Texas,12347.578873143473,1235.21065749231,4454.421980414372,6657.946235236791
2008,Texas,12229.147975181517,1194.1758417589917,5285.0729313546,5749.899202067925
2009,Texas,12361.464000940583,1267.2909144131738,5082.937445991812,6011.235640535598
2010,Texas,12647.199663419256,2003.986848485438,4743.43276983655,5899.780045097268
2011,Texas,12329.540637033424,1895.409946808118,4757.452237536987,5676.67845268832
2012,Texas,11624.690782750447,1432.8806994494707,4620.917369958722,5570.892713342257
2013,Texas,11252.502529070443,1293.0712349378603,4284.483844084056,5674.9474500485285
2014,Texas,11636.68109601812,1248.2244537251265,4536.823195871569,5851.633446421424
2015,Texas,12034.118678290079,1266.4253794024903,4553.903573266992,6213.789725620597
2016,Texas,12415.728058710985,1272.1608991021044,4702.061562662141,6441.505596946739
2017,Texas,12272.022635050604,1243.320059584559,4374.9735544022,6653.729021063844
2018,Texas,12568.391276646365,1280.3112175293197,4240.602491461859,7047.477567655187
2019,Texas,13084.65126168672,1360.6886871322433,4234.189926168179,7489.772648386297
2020,Texas,13345.89997119499,1323.8252846167409,4561.816037950583,7460.258648627664
