Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,United States,12851.029835790101,1001.1332841335095,6348.245545015558,5501.651006641035
2003,United States,13060.049337020917,1091.68485660908,6393.387280389599,5574.977200022238
2004,United States,13353.039130215859,1191.9381908286778,6294.29433514599,5866.80660424119
2005,United States,13633.601972286215,1238.0350494739887,6406.481109494206,5989.085813318021
2006,United States,13928.798322282708,1258.9457617297066,6489.355709404477,6180.496851148523
2007,United States,14488.908949912297,1208.1595384188724,6889.850837875376,6390.898573618047
2008,United States,14618.190247102568,1182.0447752354669,7054.5580172496175,6381.587454617483
2009,United States,14682.433956351457,1388.870572888242,6861.2019212912055,6432.361462172009
2010,United States,14586.094160793604,1819.698785934788,6340.953612546613,6425.4417623122035
2011,United States,14449.599293040957,1776.7986165954667,6418.304441721088,6254.4962347244045
2012,United States,13941.277457990573,1395.9957451624985,6341.471931817608,6203.809781010467
2013,United States,13759.909601534537,1252.0321225663909,6302.963017699163,6204.914461268982
2014,United States,13986.15381632884,1197.1300983266838,6536.156260648233,6252.867457353925
2015,United States,14370.842511257848,1194.3937209420396,6753.680299634773,6422.7684906810355
2016,United States,14918.255435846406,1203.4830795188236,7068.569724163378,6646.202632164204
2017,United States,15132.567666695826,1207.1641536977463,7130.007891559988,6795.395621438092
2018,United States,15341.041899140962,1180.3655243485562,7149.412166333472,7011.264208458935
2019,United States,15903.898274195246,1224.4406743605775,7424.476132417847,7254.981467416821
2020,United States,16062.110879036612,1203.5171728606265,7548.152729478883,7310.440976697104
