Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Utah,8606.15461184264,716.9689567497542,5050.129937416148,2839.0557176767356
2003,Utah,8407.794608627864,769.2789016410643,4700.559357613675,2937.956349373125
2004,Utah,8489.88446812431,848.7203850597967,4692.331625944019,2948.8324571204953
2005,Utah,8736.904615211512,897.4997777766355,4755.43721868063,3083.967618754245
2006,Utah,8795.940336885446,892.9832346282134,4755.578098301944,3147.3790039552887
2007,Utah,9131.09556153459,859.9219878613238,4945.5234572231875,3325.6501164500805
2008,Utah,9163.955558018835,832.1200949589986,5163.716031409515,3168.119431650321
2009,Utah,9532.70200949045,1204.805261068503,5006.315749235698,3321.5809991862484
2010,Utah,9189.223156736514,1234.2477037267472,4700.410854968483,3254.5645980412833
2011,Utah,8825.944184869077,1068.5623101494086,4391.573405725884,3365.808468993784
2012,Utah,8599.953833222393,870.9757085292034,4404.96706557677,3324.0110591164203
2013,Utah,8493.281973837993,810.210236267639,4420.882830157186,3262.188907413168
2014,Utah,8445.353590652481,739.3125358988959,4535.282532952327,3170.75852180126
2015,Utah,8655.98970372857,758.0122650545117,4467.33711044641,3430.6403282276488
2016,Utah,9205.684050172586,733.3790210615481,4715.19384491694,3757.1111841940988
2017,Utah,9302.543925703732,763.2218086068493,4820.980955873689,3718.341161223194
2018,Utah,9495.236005333256,726.7868477165571,4970.466385262454,3797.9827723542453
2019,Utah,9908.670383794706,704.2772971185819,5079.471283753752,4124.921802922372
2020,Utah,10026.567031373595,709.5982731347227,5153.305431057218,4163.663327181656
