Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Vermont,15874.345492529845,1019.267089800217,11347.531213613878,3507.54718911575
2003,Vermont,16511.85836135378,1174.959548268831,11449.286896360556,3887.611916724395
2004,Vermont,17161.526475616974,1378.0515142044449,11677.407331707962,4106.067629704571
2005,Vermont,17846.438671407417,1356.3765615333368,15567.067673788992,922.9944360850906
2006,Vermont,18529.51033019008,1439.5095412342862,16148.341878524583,941.6589104312112
2007,Vermont,19516.955064063884,1345.132154250806,17127.761164394342,1044.0617454187393
2008,Vermont,19761.927259997745,1280.9400791499638,17486.016730389787,994.9704504579938
2009,Vermont,20504.82736123686,1393.7692999382987,18180.694981120523,930.363080178036
2010,Vermont,20571.24711256562,2270.602830391651,17357.53441170172,943.1098704722502
2011,Vermont,20153.056418492666,1429.2153597403965,17783.370979441337,940.4700793109319
2012,Vermont,20206.093922397686,1599.4299775454417,17636.899235724584,969.7647091276597
2013,Vermont,20178.57895204802,1429.6186320930035,17844.163802851144,904.7965171038754
2014,Vermont,20810.433518501002,1274.4956576272175,18606.598928925898,929.3389319478862
2015,Vermont,22056.108521670456,1344.1184039959096,19735.633881310452,976.3562363640932
2016,Vermont,21965.786796068838,1373.3963788838137,19817.261217101794,775.1292000832311
2017,Vermont,21831.383206256633,1332.7129788054706,19715.221685092303,783.4485423588566
2018,Vermont,22325.22521577848,1353.9417425908957,20266.818820688044,704.4646524995396
2019,Vermont,22778.359407867552,1359.8908184835004,20683.873987576517,734.5946018075351
2020,Vermont,23575.03920088278,1492.6766943492673,21399.74446831991,682.6180382136022
