Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Virginia,12128.919848581045,776.0022640886309,4973.251434600957,6379.666149891457
2003,Virginia,12413.329462649346,839.8080979312103,4913.155499624121,6660.365865094015
2004,Virginia,12728.550427456017,888.2761109753792,4922.70628586833,6917.568030612307
2005,Virginia,13360.565230288403,921.8324961947613,5431.5827180727465,7007.150016020894
2006,Virginia,13801.014282882801,923.8003327317331,5462.057826830079,7415.156123320989
2007,Virginia,14310.348295511641,919.2854286800649,5985.793168187495,7405.26969864408
2008,Virginia,14352.284794201107,886.2889874134534,5882.5326345643,7583.463172223352
2009,Virginia,14556.982948580455,887.4514912064872,6130.805680345914,7538.725777028054
2010,Virginia,14010.411744356657,1460.85928188762,5234.646989454777,7314.905473014259
2011,Virginia,13414.121356196572,1327.9200751878639,4978.582208086148,7107.619072922561
2012,Virginia,13211.289561400557,1227.8618754383172,5003.432546513471,6979.995139448768
2013,Virginia,13236.305042242719,974.692958374012,5163.46802790431,7098.144055964398
2014,Virginia,12969.518394846818,868.1642228965936,5154.765218108411,6946.588953841812
2015,Virginia,13232.999638128224,859.6758770595642,5299.991108256505,7073.332652812154
2016,Virginia,13442.046764785828,890.2401389551952,5298.290336080684,7253.516289749949
2017,Virginia,13618.191387151914,932.3779313621797,5409.383590759148,7276.429865030586
2018,Virginia,13654.951405514936,884.3888286750908,5456.387030133463,7314.175546706382
2019,Virginia,13873.309112890742,921.7779233051326,5574.549194517345,7376.981995068264
2020,Virginia,13998.08839643529,866.1013851607447,5667.586097344505,7464.400913930041
