Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Washington,11775.718558568946,916.248361676877,7432.822425027457,3426.647771864613
2003,Washington,11896.336721973494,978.198874120455,7428.050137239893,3490.087710613144
2004,Washington,11870.79518219584,1014.7263750299571,7334.030644351351,3522.0381628145315
2005,Washington,11998.552300421936,1047.9564751444168,7353.253152873027,3597.3426724044934
2006,Washington,12103.128064631397,1005.1983909441547,7394.335884971792,3703.593788715451
2007,Washington,12684.748111999075,984.2926558893986,7787.217223347176,3913.238232762501
2008,Washington,13107.795048127837,1057.0080842502014,8181.515096505659,3869.2718673719774
2009,Washington,13794.818000333225,1602.5656428875766,8266.513032054561,3925.739325391086
2010,Washington,13568.336028610234,1606.744930079034,7949.441257500242,4012.1498410309596
2011,Washington,13184.665628119195,1526.001747101639,7541.146347288016,4117.5175337295395
2012,Washington,12841.296880206753,1143.7433827356397,7575.338073879839,4122.215423591277
2013,Washington,12853.50868963901,1102.6108426962435,7574.422318463904,4176.475528478861
2014,Washington,13396.795318988408,1066.2771531958565,8107.081251247118,4223.436914545433
2015,Washington,13795.537462749113,1050.5761216776655,8407.078241183304,4337.883099888143
2016,Washington,14797.300464087557,1093.4878221115139,9175.988827860658,4527.823814115383
2017,Washington,15103.916148222797,1031.018001697496,9482.070383029632,4590.8277634956685
2018,Washington,15947.059867957714,987.4452920893374,10224.262939584336,4735.351636284042
2019,Washington,17517.12422036781,964.943141569129,12116.11448396977,4436.066594828908
2020,Washington,17685.057886005732,1028.491091583539,12480.716545584972,4175.850248837225
