Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,West Virginia,12350.207700162018,1320.4579845288852,7425.940412682148,3603.8093029509837
2003,West Virginia,12530.04931000391,1341.9653906603914,7625.466089895744,3562.617829447774
2004,West Virginia,12702.463330065431,1432.5331113680866,7621.669165373349,3648.2610533239967
2005,West Virginia,12932.865139033936,1580.6847442199023,7719.202028368146,3632.978366445887
2006,West Virginia,12972.51805575211,1602.0788401074417,7624.562878505148,3745.87633713952
2007,West Virginia,12982.91411449654,1584.2237988516044,7514.980487991088,3883.709827653847
2008,West Virginia,12792.552406400144,1382.6541810989424,7432.735180023626,3977.163045277576
2009,West Virginia,13164.718521178209,1510.6554318117412,7626.793668527189,4027.26942083928
2010,West Virginia,13375.035799749226,2163.7055287092994,7065.372760803714,4145.957510236213
2011,West Virginia,14291.012270368528,2104.7530381155448,7951.669662197655,4234.589570055328
2012,West Virginia,15864.66493734762,1732.266955033335,8071.794180261976,6060.603802052307
2013,West Virginia,13685.444813815195,1509.0273074642332,7984.526643688009,4191.890862662951
2014,West Virginia,13681.648732324684,1374.827743075557,7945.084593780045,4361.736395469082
2015,West Virginia,13473.358263815386,1411.2562361807645,7696.554533178109,4365.547494456511
2016,West Virginia,13178.544785302845,1397.0469238995033,7268.96856500457,4512.529296398773
2017,West Virginia,13490.832040447367,1567.268046009022,7264.956591435956,4658.607403002388
2018,West Virginia,13111.054626869167,1393.173799092098,7233.514595579106,4484.366232197964
2019,West Virginia,13422.213745533789,1525.0223134997213,7423.361521908513,4473.829910125554
2020,West Virginia,14162.85874771337,1638.9181967922418,7786.815997813936,4737.124553107193
