Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Wisconsin,14090.14457072161,742.3569461674011,7721.578218006577,5626.209406547633
2003,Wisconsin,14248.280373461246,855.0181672524161,7804.83362731441,5588.428578894421
2004,Wisconsin,14327.024925868458,870.4059320314094,7478.782905060258,5977.836088776791
2005,Wisconsin,14758.629386899796,882.5118267793348,7450.090151639425,6426.027408481036
2006,Wisconsin,14431.032166569601,863.705884791573,7534.324095663839,6033.002186114191
2007,Wisconsin,14532.39264788609,831.1431721298574,7492.704518518793,6208.54495723744
2008,Wisconsin,14600.604636905553,881.3440044275524,7311.429334992025,6407.831297485976
2009,Wisconsin,14903.334436845687,1739.68332084336,6614.52585782808,6549.125258174247
2010,Wisconsin,15162.352756269773,1530.5109068378665,6795.1946929978985,6836.647156434009
2011,Wisconsin,15358.532326042392,1350.466861372068,7038.353592316129,6969.711872354196
2012,Wisconsin,14224.547218887432,1188.1710090754596,6267.982465014069,6768.393744797904
2013,Wisconsin,13904.373420329228,1065.0838124171596,7191.693221997979,5647.596385914089
2014,Wisconsin,13921.774599215769,1051.058503536813,7225.298301361494,5645.417794317461
2015,Wisconsin,14228.800154113942,1027.1830125931413,7402.898266062714,5798.7188754580875
2016,Wisconsin,14258.384817871975,985.2508910906766,7536.913124670899,5736.220802110399
2017,Wisconsin,14473.812667137288,994.0612678988109,7675.352799082446,5804.398600156032
2018,Wisconsin,14473.477397087316,969.4622060110646,7858.697013481275,5645.318177594977
2019,Wisconsin,14812.269143836551,980.3978302515559,8155.257566285334,5676.613747299661
2020,Wisconsin,15014.705030425648,973.7442261061002,8241.610341521327,5799.350462798219
