Year,State,Total Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Wyoming,14902.033580890096,1240.2522356589832,7286.0588733562545,6375.722471874857
2003,Wyoming,15788.229155091163,1385.565545375972,8039.774152303225,6362.889457411969
2004,Wyoming,15466.709615912412,1526.5575187071247,8065.01670295236,5875.135394252928
2005,Wyoming,18028.345191361062,1698.2586947197892,9342.448278813818,6987.638217827457
2006,Wyoming,17236.323145307008,1740.1668792876221,7612.534027129715,7883.622238889669
2007,Wyoming,21870.101119260107,1646.02491873555,10707.054816232963,9517.021384291593
2008,Wyoming,22618.29557364515,1416.2245106181988,11959.887169968506,9242.183893058444
2009,Wyoming,23057.52338522691,1492.9090773153873,13033.343058044984,8531.271249866535
2010,Wyoming,23155.473525068977,1673.241642870985,11892.541148854598,9589.690733343394
2011,Wyoming,21738.225105856956,2045.3690322388688,11602.313101147356,8090.542972470731
2012,Wyoming,20854.30743257261,1818.153574951262,10701.99103066912,8334.162826952226
2013,Wyoming,20566.382828286856,1378.6530520674062,10702.553328334734,8485.17644788472
2014,Wyoming,20908.510798903673,1330.6275644773536,11395.177167678536,8182.706066747786
2015,Wyoming,22706.241992428146,1392.9890110982724,12934.18494728447,8379.068034045402
2016,Wyoming,23330.25729188591,1405.4655433605735,13435.15695194091,8489.63479658443
2017,Wyoming,21784.05243594102,1329.6570336113925,12884.457581623506,7569.937820706119
2018,Wyoming,20151.96592802217,1282.0543970348176,11462.15888541473,7407.752645572619
2019,Wyoming,19454.879328050152,1431.147293584043,10452.956349147125,7570.775685318985
2020,Wyoming,19384.139482564704,1466.5195152492752,10215.049769722194,7702.570197593235
