State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,color,tooltip_02,tooltip_03,tooltip_04,tooltip_05,tooltip_06,tooltip_07,tooltip_08,tooltip_09,tooltip_10,tooltip_11,tooltip_12,tooltip_13,tooltip_14,tooltip_15,tooltip_16,tooltip_17,tooltip_18,tooltip_19,tooltip_20
United States,6348.245545015558,6393.387280389599,6294.29433514599,6406.481109494206,6489.355709404477,6889.850837875376,7054.5580172496175,6861.2019212912055,6340.953612546613,6418.304441721088,6341.471931817608,6302.963017699163,6536.156260648233,6753.680299634773,7068.569724163378,7130.007891559988,7149.412166333472,7424.476132417847,7548.152729478883,#d3d3d3,1,1.0071108993900661,0.991501398380545,1.009173489598929,1.022228214612731,1.0853157441720367,1.111261051140127,1.0808028568898702,0.9988513468142911,1.0110359462640095,0.9989329944549374,0.9928669225228773,1.0296004170443938,1.0638656384262815,1.1134682289838955,1.1231462048846308,1.126202840711945,1.1695319722229887,1.1890139844079368
Alabama,5985.505335565333,5758.763548120971,5623.626250359259,5975.5843935084795,6159.740159839685,6903.253875331831,7605.190153700875,6688.2117188924485,6022.461589804355,6178.6143047949045,5995.2186870505375,5821.310813720283,5963.758083004001,6034.4412922485335,6023.155303611061,6191.314055640172,6190.023133291965,6464.628880613692,6652.181929766958,#d3d3d3,1,0.9621181880672494,0.9395407630737841,0.9983425055194749,1.0291094593532586,1.1533284974809594,1.2706011819104932,1.1174013460737722,1.0061742914202134,1.0322627678705982,1.0016228122674102,0.9725679766970683,0.9963666806155678,1.0081757435570942,1.0062901903740717,1.0343845186891645,1.0341688439422827,1.080047300634994,1.1113818394313832
Alaska,8396.119398662442,8620.52604865187,8407.00757329656,8895.496834603196,8942.344375969391,10033.397891508861,13205.163335248408,12494.959569220764,12266.467263610602,12513.435862215354,13036.361640578156,14481.310298369846,15300.33361822152,16847.33428825935,13153.177096910676,12782.453954100343,12325.346174693517,12409.495991944115,12572.108137588357,#d3d3d3,1,1.0267274248178482,1.0012968103616835,1.0594771718015716,1.0650568377331515,1.1950041936167854,1.5727698366643141,1.4881826920197556,1.4609686548246006,1.4903832673233337,1.5526651089138794,1.7247623111072974,1.8223101520756084,2.0065620185133675,1.5665781383487787,1.5224240327188145,1.4679812886721249,1.4780037542011408,1.4973712903119478
Arizona,4746.1293546400875,4638.489171896044,4715.225814422307,4655.77077664303,4680.321261501194,5463.844758347309,5488.3946386237,4646.592805953591,3865.2142724535865,3755.3409280473,3412.4357084970293,3464.1203092438946,3690.826309838219,3717.7698802438945,3959.8204016926547,3902.5190913485885,4036.1875919535732,4439.619010777235,4760.494140967099,#d3d3d3,1,0.977320427931698,0.9934886856407384,0.9809616276242624,0.9861343658755202,1.1512212057611835,1.1563938166282661,0.9790278474839326,0.8143929471021965,0.7912428523204628,0.7189934056813764,0.729883248095034,0.7776497507868925,0.7833267073956149,0.8343262700628477,0.8222529981264127,0.8504166849155861,0.9354188811640395,1.0030266318622285
Arkansas,7504.987095834893,7515.021288018182,7409.730054811438,8708.827126117747,8506.589759869994,8815.612174168786,8901.015062245344,8918.995269970988,9189.686524817334,9057.546328740505,9086.75296061632,8953.451275147576,9141.159824298897,9234.595360305964,9289.809832419836,9157.947750522397,9135.20157536486,8932.85902235,8901.566746770499,#d3d3d3,1,1.0013370032559892,0.9873075010247092,1.1604053431285657,1.1334582793074979,1.1746338883195764,1.1860133733188185,1.1884091412923068,1.2244773252065169,1.2068703400925564,1.210761969951857,1.1930002224942597,1.2180113979639011,1.2304611909900507,1.237818228571703,1.220248300707254,1.2172174926769295,1.190256413273188,1.186086882375944
California,7290.854770758441,7672.2682741946865,7021.922233295687,7456.177747183866,7739.225468543272,8562.347272750409,8480.916291001095,7791.577583863763,6604.33755848202,7083.312362067174,6636.622493237002,6292.840121299262,6755.550393678976,7395.137900792175,8841.583520617765,8734.747147767905,8245.220674727398,9655.164082609857,9296.179627658796,#d3d3d3,1,1.0523139625501783,0.963113716303695,1.0226753901460894,1.061497686057761,1.1743955327558526,1.1632266116471903,1.0686782042502863,0.9058385835595233,0.9715338715120673,0.9102667248090883,0.8631141778516925,0.92657865313318,1.0143032790135917,1.2126950540941865,1.1980415770727608,1.1308990418786902,1.324284241860638,1.2750466056384975
Colorado,4788.932424020463,5104.501952814087,5179.437513034547,5177.203905810569,5122.831629771819,5270.569012560634,5180.835850118902,5361.128206489731,5487.151214395436,4870.5335100819775,4964.650401820787,4825.563911726757,5012.785748982946,5426.203309769065,5352.098191996022,5362.647192748185,5290.566989552075,6002.459948538433,6006.926716839459,#d3d3d3,1,1.0658955902594869,1.081543244806583,1.081076834545128,1.0697230982163322,1.1005728512944482,1.0818352382950152,1.1194829518995157,1.145798421976645,1.0170395150393472,1.0366925156260198,1.0076491970365997,1.0467438888549925,1.133071597033226,1.1175973511655366,1.1198001387219554,1.1047487250008998,1.2534025158574225,1.2543352432182475
Connecticut,6543.740557497723,6326.846063804402,6239.741407106673,6932.648156383251,7317.017389440214,7478.94305042549,7761.258069390158,7903.446771830047,7076.499803457575,6992.8790946407125,8083.360443913168,8310.39511729666,8871.643127744292,9364.146963500927,9536.344870591987,8995.944964041033,9105.761428202213,9327.53501600968,9286.52119109762,#d3d3d3,1,0.9668546618272011,0.9535435202970063,1.0594320015392302,1.1181704600217504,1.142915582411993,1.18605834097402,1.2077873048885461,1.0814150929852229,1.0686363606864537,1.235281315462816,1.269976253532046,1.3557449366752923,1.431008286655195,1.4573231910402349,1.3747404691546963,1.3915223790113385,1.4254133295859852,1.4191456873175172
Delaware,9913.44916576607,10086.457926395775,10252.263738845086,10664.500988811125,10965.277291371447,11781.58701420292,11055.6955698096,10747.547415281197,10013.339368836176,9805.175209275147,10388.895986928423,10530.445509277472,10326.415802960593,10190.983870065438,10441.710431814516,11391.4457044979,11857.114573516314,12150.823558405596,12588.988880436382,#d3d3d3,1,1.0174519239204003,1.034177264382314,1.0757608992073768,1.106101126663123,1.1884447902237756,1.1152218955223001,1.084138046765348,1.010076230926271,0.9890780741717199,1.0479597779957561,1.062238312134798,1.0416572103502193,1.0279957762085243,1.0532873329166483,1.1490900406122795,1.1960634866078972,1.2256908120703147,1.2698898909886687
District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
