State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,color,tooltip_02,tooltip_03,tooltip_04,tooltip_05,tooltip_06,tooltip_07,tooltip_08,tooltip_09,tooltip_10,tooltip_11,tooltip_12,tooltip_13,tooltip_14,tooltip_15,tooltip_16,tooltip_17,tooltip_18,tooltip_19,tooltip_20
United States,563.3316375241214,601.1132419823855,648.4760028398593,686.4711349940803,708.8615528964373,739.6406375803504,779.832012131124,792.5987723550144,805.5418103220774,807.3702889719434,804.0724385471367,811.6745934902953,829.0347967178486,871.8216131193908,903.8883359811773,944.3395593469374,960.4715800408103,1014.1390871822233,1035.870673930978,#d3d3d3,1,1.0670681388041983,1.1511442987472758,1.2185914819397767,1.258337905557602,1.312975498466797,1.3843213485373118,1.4069843047312887,1.4299601809379732,1.433206010797454,1.4273518208227864,1.4408468110501604,1.4716638326253244,1.5476169897914887,1.6045403378262657,1.6763474593711267,1.7049842687020815,1.800252319645013,1.8388292169843252
Alabama,462.43706779365965,470.4165508902116,516.4011685704721,596.1412546751188,670.1319941515031,742.823841100591,823.9603663256007,798.8638887066166,783.8239160145571,757.9214719973528,661.9236582063057,657.571869147563,681.4684651232187,712.0807759633843,716.5712251010501,726.193214252279,721.586739999121,729.5570097330385,727.8967230677307,#d3d3d3,1,1.0172552843452256,1.1166950154629285,1.2891294755400495,1.4491312241658736,1.606324174324279,1.7817783731239587,1.727508334308251,1.694985049001956,1.6389721429847377,1.4313810555118764,1.4219705013806827,1.4736458484493533,1.5398436361531385,1.5495540366603693,1.5703611687467662,1.5603998689851881,1.5776352298353564,1.5740449322988088
Alaska,774.5006482628711,808.5396346803043,840.1297772027975,985.4044672077627,1123.962355372415,1287.22390094854,1824.965225109743,1940.8711365724232,1933.0174398855418,2022.454515396391,2154.002659195172,2311.591482821213,2303.6802999831607,2783.7541889706295,1898.2536725405957,1803.0533960796085,1788.1751331949706,1822.860619048304,1869.077467295881,#d3d3d3,1,1.0439495906088385,1.0847373453942564,1.2723094156446841,1.4512090569496,1.6620049367752716,2.356312069206089,2.505964508778148,2.4958241729314365,2.6113012557608024,2.7811502340590524,2.984621753391538,2.9744071940418504,3.5942567578404443,2.4509387781639593,2.328020512473011,2.3088103763446446,2.3535946976116824,2.4132677893660106
Arizona,347.21056124830693,356.6740657267704,416.2134800561742,419.6004094446374,451.02280872851236,514.2956902870529,535.6385214770964,547.0825420181907,490.8789181204847,461.32709961890487,444.4590374585398,469.613377369011,551.3417425024294,550.3715160401192,574.2588117206076,594.3809609356985,603.9443420473872,619.8159834815033,637.5228017412635,#d3d3d3,1,1.0272558082462695,1.198735080407073,1.2084897646433084,1.2989893138819713,1.4812213327786865,1.5426907509706642,1.5756506370408063,1.4137787639743873,1.3286666683188468,1.2800850177500385,1.3525319497213333,1.5879175464024506,1.5851232003467837,1.6539209223821034,1.711874658416937,1.7394181210273658,1.7851299835267487,1.8361273327896854
Arkansas,397.0982111874658,392.61888387406043,409.4580398622173,445.9316425235064,485.1632726878001,510.8171699869543,526.710028469217,524.9910975577055,574.1092406670134,579.0972677381386,561.551755583818,555.3867687000195,586.94168371426,573.040470566185,575.989901878701,568.5054373126168,564.6552026828888,564.4064756386433,572.4932576369731,#d3d3d3,1,0.9887198501851455,1.0311253698116423,1.1229757021317501,1.221771488813783,1.2863748956698347,1.3263973838969598,1.32206865396798,1.445761336849696,1.458322529347162,1.4141382150893536,1.3986131215227948,1.4780768766474526,1.443069886546678,1.4504973471330556,1.4316494542057543,1.4219535288118463,1.4213271672790113,1.441691857349378
California,555.6684435319609,643.9439514940884,713.7152577939206,768.5763798681104,765.1453275756976,780.5433620995055,843.4641416521957,815.9715137750151,818.3410874929788,802.5000266364955,799.8663996873374,790.4686933392409,796.2981819556859,883.1973160883929,1004.6368382154242,1114.166648944416,1060.425668908596,1389.3470166559757,1322.4802942200415,#d3d3d3,1,1.1588636335024307,1.2844264706798474,1.383156428648091,1.3769817891983425,1.4046926205457813,1.517927014697716,1.468450338098212,1.4727147042783428,1.4442065875391705,1.4394670221025982,1.4225545872550072,1.4330455350212532,1.5894321989468767,1.8079789304386504,2.005092536589819,1.908378424674034,2.5003165697604772,2.379980921381898
Colorado,388.5575884566183,424.66970790460465,439.46791258227245,466.226316675809,490.46903617017085,505.4573947524271,760.1444075823243,525.7302226289211,538.4770382975482,539.9148594260323,523.0746160005492,519.2476593881642,558.8222753906367,586.9611730832596,630.7257801533369,653.2988466959649,714.29854624821,795.5865076194381,852.1297999185367,#d3d3d3,1,1.0929389118133725,1.1310238833009902,1.1998898761125656,1.2622814500119608,1.3008558055966533,1.9563236703256228,1.3530303827475443,1.385835856240569,1.3895362630044548,1.3461958575516264,1.3363467213461386,1.4381967872775907,1.5106156475149954,1.6232491627782384,1.681343682646683,1.8383337952180028,2.0475382060599334,2.193059214988605
Connecticut,695.5632848427994,713.1955318962154,754.252225244897,887.6126212566672,957.7125975074791,979.6056948377905,1080.0018965067218,1151.6467038818785,1145.6981629057725,1215.6805317046226,1334.679472698314,1323.8100222077028,1491.8774124789727,1579.4558223349845,1609.4513038295943,1628.7504821801722,1974.3210422580898,2034.1362195132303,1909.2147175520722,#d3d3d3,1,1.0253495942607163,1.0843761332448156,1.2761062014037614,1.37688779493864,1.4083631442093527,1.5527011273328024,1.655703699401207,1.6471515789748818,1.7477640901925584,1.9188469285004857,1.9032200966543111,2.1448478448889725,2.270757897596549,2.313881912547092,2.3416280267700986,2.8384491897157798,2.924444495331514,2.744846887632322
Delaware,655.8427212210281,756.0730005470898,840.1275908784106,941.6137583262499,1027.3435545025798,1060.3853653927329,1052.5042980664787,979.5347906543268,977.5300810249624,956.6983540016362,966.4095939402685,1026.3632105457177,1112.198703181325,1134.197063658994,1181.8841219209155,1254.0701859079857,1222.7272493236476,1285.9102287921942,1530.785167440884,#d3d3d3,1,1.152826700797191,1.2809894258097223,1.4357310493180162,1.5664480541766213,1.6168287473230465,1.6048120441238687,1.49355136370296,1.4904946710470866,1.458731374224119,1.4735386437483613,1.5649532690320413,1.6958314351810861,1.7293735631423648,1.8020846823160885,1.912150802822353,1.8643604781451428,1.9606990932187605,2.3340735787856493
District of Columbia,1004.0633079211032,524.9980384272418,661.8473139299647,671.4530119888946,826.5487237393878,816.3137450372035,773.5328330867882,701.2820994729937,799.0478664543564,912.0954110455069,549.466078739262,795.6032764765948,875.7376976761898,863.6211272221847,853.9265291639646,901.8413463125537,930.8652686422422,1161.4519547312505,1190.2846716760528,#d3d3d3,1,0.5228734426260847,0.6591689076860192,0.6687357327887294,0.8232037932456108,0.8130102341129942,0.7704024507063956,0.6984441060046173,0.7958142281971962,0.9084042847198407,0.54724246410012,0.7923835780075248,0.8721937060815323,0.8601261697435177,0.8504708044077476,0.8981917167950312,0.9270981832505997,1.1567517163195795,1.1854677511725011
