State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,color,tooltip_02,tooltip_03,tooltip_04,tooltip_05,tooltip_06,tooltip_07,tooltip_08,tooltip_09,tooltip_10,tooltip_11,tooltip_12,tooltip_13,tooltip_14,tooltip_15,tooltip_16,tooltip_17,tooltip_18,tooltip_19,tooltip_20
United States,2094.7981450553443,2119.6509745776893,2104.4905522574663,2119.5495026626777,2123.190746876228,2182.316290015986,2225.4068490664813,2260.939266992142,2244.613408960898,2168.108025217719,2095.490276820378,2068.9972420910085,2080.663202020691,2134.6878312160848,2195.793282201095,2227.812743219644,2236.39653176123,2307.2597951590533,2362.949819641698,#d3d3d3,1,1.0118640688989575,1.0046268931567466,1.0118156289501008,1.0135538604938632,1.0417787962850853,1.0623490641899944,1.0793112798619593,1.0715177566197414,1.0349961548015585,1.0003304049923223,0.9876833464717174,0.9932523603441133,1.0190422577253555,1.0482123479935974,1.0634975730135494,1.0675952415940988,1.1014234476983917,1.1280083597645487
Alabama,1500.917173398818,1568.146394312175,1541.7356679772208,1585.1381720043828,1670.543725952032,1797.4409242200304,1882.3898836632677,1845.8026952668836,1797.5174479354105,1741.6320469740344,1671.943868359771,1664.174771972967,1677.4599269046212,1683.4485148358465,1696.8552254478686,1734.518108490963,1725.4601349800093,1770.5657975601544,1796.1150021803173,#d3d3d3,1,1.0447920925317398,1.0271957009366277,1.0561130221562105,1.113015265305477,1.1975617016558855,1.2541597344779571,1.2297831805649038,1.1976126862916379,1.1603785191091651,1.1139481231823498,1.1087718905930386,1.1176232483941957,1.1216132006962698,1.1305455460978904,1.1556387915551376,1.149603832617036,1.1796558990332016,1.196678293788208
Alaska,2581.82804685835,2619.9427059738955,2631.5124457519155,2622.595953642981,2628.1059067381143,2628.687951014532,2709.512940119397,2936.825835363397,3170.330517998926,3181.227890333401,3149.560931510894,3076.1766173687406,3004.9364004742392,2990.9711924416197,2983.478916474839,3035.1742254493943,2899.546685008525,2964.3348481430507,2902.171690009624,#d3d3d3,1,1.014762663672325,1.0192438837876996,1.0157903260963637,1.0179244547041297,1.0181498935272637,1.0494552274371713,1.1374986180574727,1.2279402270250666,1.2321610241256848,1.2198956996161614,1.1914723062645205,1.1638793699412868,1.1584703311597875,1.1555684043734944,1.175591158808074,1.123059565696788,1.1481534766616805,1.1240762891010803
Arizona,1781.5884523157185,1773.1446050786913,1704.0179028612915,1715.0117847206568,1676.9095155322616,1807.001190032748,1832.6582522415233,1846.132552969503,1956.4908932310882,2025.011453766471,1963.8646741169016,1676.3061838861884,1718.2424053997247,1713.2132485231616,1732.7314407259512,1784.9558795519795,1779.9788340865287,1837.8805045512065,1905.5388473319317,#d3d3d3,1,0.995260495078955,0.9564598943411424,0.9626307256827328,0.9412440417160345,1.014264089826131,1.0286653182217385,1.0362284008800628,1.098172190489914,1.1366325658062892,1.1023110705304917,0.9409053935589424,0.9644440629183152,0.9616212129666184,0.9725767129180352,1.0018901263262479,0.9990965263458585,1.031596552033282,1.0695729672333145
Arkansas,1664.5694518245868,1723.5765302639934,1760.7844943764135,1886.6497490373283,1902.3764329673397,1985.8097165621696,2010.7685763400564,2023.0139310099507,2070.3030849097554,2091.9830370714644,2030.3332632802524,2011.6915238437516,2015.0895655572258,2025.2750745785154,2037.3425608707785,2019.6669562250415,2007.9958718356736,2011.0603712270251,2015.5520342522564,#d3d3d3,1,1.0354488533805106,1.0578017591554154,1.1334160596118787,1.1428639585341935,1.19298699996294,1.2079811834441572,1.215337653104508,1.2437468936128986,1.2567712538388687,1.2197347855054894,1.2085356496472246,1.2105770434201004,1.2166960485539056,1.223945662728331,1.213326938092743,1.2063154647195082,1.2081564809582674,1.2108548742396699
California,2191.098029276809,2201.000077029206,2067.5472083124023,2036.6754238069284,2074.8800572292153,2218.732899055233,2304.132016588391,2251.4800827545496,2116.3627187356215,1987.529794718282,1918.0872597938035,1888.9760057281505,1957.3822056249805,2115.6614091184383,2304.5671879424335,2393.4482589746262,2386.527798474122,2617.0236934003683,2669.255225390734,#d3d3d3,1,1.0045192171322728,0.9436123718274778,0.9295227308835429,0.946959026709566,1.0126123383843053,1.0515878275646524,1.027557896849403,0.9658913889097629,0.9070930502248151,0.8754000205216217,0.8621138718981111,0.8933339264017465,0.9655713166866983,1.0517864363663711,1.0923510618849877,1.089192617850063,1.1943891411668786,1.218227203769493
Colorado,2011.6049300043646,2144.4792851275693,2132.5204027994037,2112.1216743189784,2090.264022924389,2117.3607700235702,2152.305104628196,2198.5267115517313,2223.9585739581944,2098.924191248852,1989.9542510660417,1981.9184472385093,2043.3194469090506,2154.7816240552243,2245.2475293361695,2268.3587669646477,2260.3193043552337,2439.6954317898026,2601.0781126744478,#d3d3d3,1,1.0660539021063724,1.0601089562823733,1.0499684320789548,1.0391026546747693,1.0525728677842205,1.0699442383169773,1.0929217157699853,1.1055642888851784,1.0434077586220163,0.9892371118128668,0.9852423891376172,1.0157657780768201,1.0711753545217992,1.1161473586820538,1.1276363132395615,1.1236397717271103,1.212810425844656,1.293036258699567
Connecticut,2438.162481181755,2504.434826617228,2508.700201183923,2530.777516886038,2572.6747917213165,2631.4009980468454,2691.7524503974782,2780.185453259431,2774.9817618044217,2817.5048500555185,2811.071302469993,2834.936763125962,2891.3730698421014,3014.010341573558,3118.504305487001,3141.327566514511,3362.4413733687206,3398.469337651543,3420.9160283224132,#d3d3d3,1,1.027181267018493,1.02893068880626,1.037985588089024,1.0551695432842378,1.0792557995443477,1.104008642234873,1.1402789907225135,1.138144723012641,1.1555853524125677,1.1529466654361331,1.1627349633203665,1.1858820288468548,1.2361810850738277,1.2790387554382718,1.28839960042037,1.3790883090527157,1.393864996234515,1.4030713927909868
Delaware,2043.5699671024597,2175.184176393019,2237.559566859424,2283.4840037507015,2338.845483372429,2328.9021327800983,2303.9873348342544,2228.8926193242637,2178.9830906151733,2106.485732357579,2195.30068832638,2269.759387165048,2157.5431388655174,2196.88176909806,2182.4887653503056,2222.891301292013,2196.336615666641,2277.191520737694,2895.5861644789056,#d3d3d3,1,1.0644040631880944,1.0949268206520077,1.1173994727415237,1.144490044883873,1.1396243682726488,1.127432567479466,1.0906857387831792,1.0662630228925871,1.0307871843234837,1.074247871942969,1.1106834724055463,1.0557716024397532,1.0750215575995072,1.067978488862222,1.087749055366971,1.0747547923601493,1.1143203107288184,1.4169253860118642
District of Columbia,4853.24337535703,4650.933162552601,4642.826312793893,4891.500945521588,4859.794140211092,5113.160872724085,4907.499637828727,4963.127441029118,5803.80448424217,4110.788029932473,3238.948602582598,4122.1430340050865,4653.735897128149,4749.539381122737,4360.1322369050895,5315.541751487261,4632.666308423154,6646.072383244333,6580.997037531154,#d3d3d3,1,0.958314430751261,0.9566440323945925,1.007882887216993,1.0013497705240426,1.0535554220682233,1.011179382173,1.0226413672617447,1.1958610016781224,0.8470187278893802,0.6673781535516594,0.8493584012159373,0.9588919279750309,0.9786320227085944,0.8983955469952782,1.0952555518805445,0.9545505860979722,1.3694084283905117,1.3559997981858927
Florida,1870.3258019148682,1896.775050530272,1898.9636167526162,1934.9043509501792,1986.3684239429633,2087.209003621372,2127.609108511323,2024.4313514145601,1972.5550846616134,1903.8503616136097,1782.3486298732068,1744.5486684545183,1745.8166336408692,1761.5860039400752,1770.212180893141,1752.5980076152466,1744.4440939849917,1760.1226313928082,1805.5791492121584,#d3d3d3,1,1.0141415194017667,1.0153116717998694,1.0345279677846473,1.0620440684234207,1.1159601185442962,1.1375606893371435,1.0823950294338647,1.0546585427213169,1.0179244491330968,0.9529615792331,0.9327512172844018,0.9334291554195935,0.9418605048043162,0.9464726301058194,0.9370549269121508,0.9326953048495632,0.9410780889568907,0.9653821528653344
Georgia,1925.5334581946677,2021.5319702205836,1973.1326466091932,1984.2118117237133,2002.700025063483,2060.12931724547,2109.4624982654836,2165.0089220782634,2084.1869600760256,1970.5171380700338,1904.6514315417978,1817.328066059988,1771.8012109396072,1810.582669687188,1870.6748766426617,1963.5675228547877,1987.1345860559204,2033.6218402451539,2102.555622455832,#d3d3d3,1,1.0498555408722536,1.0247200006896549,1.0304738166347216,1.0400754224967688,1.0699005558579053,1.0955210823722914,1.1243683732756957,1.0823945702974735,1.0233616713767943,0.9891551992701034,0.9438049795114283,0.9201612173495048,0.9403018482913017,0.9715099307578691,1.0197524818373085,1.0319917203199411,1.0561342528692423,1.091934088970407
Hawaii,1992.897068503877,2052.6379343764997,2067.366183740519,2106.7850426636537,2198.9753580931647,2421.6749447177667,2248.468948556621,2276.2076084180308,1999.84846698384,2065.8385449485445,1968.0534098982835,1938.7761245608117,2004.3896411051455,2177.0473929685772,2264.191186898512,2305.924171786895,2384.018149443009,2440.653345906816,2465.685191729991,#d3d3d3,1,1.0299768948516101,1.037367266184273,1.0571469424887434,1.1034063890434624,1.2151530467831864,1.1282413849123722,1.1421601468493516,1.0034880870617073,1.036600724441542,0.9875338977620934,0.9728430811613891,1.0057667667753138,1.0924033294920479,1.1361305220837636,1.157071385286354,1.196257542409231,1.2246760680615993,1.2372365992695493
Idaho,1571.4002450519329,1548.9135641906253,1474.5566420111866,1484.2858376713925,1462.553402819403,1456.4080696753347,1469.8473306891347,1492.378193083667,1471.241719610207,1389.944863756776,1303.0432885363466,1308.3200108390497,1253.884741623828,1268.0502795041016,1304.5099673128943,1347.2819672698797,1379.1665899334052,1395.606750895816,1436.2792209139138,#d3d3d3,1,0.9856900360477133,0.9383711416962738,0.9445625596312279,0.9307325790642647,0.9268218420235782,0.9353742531970637,0.9497123331773094,0.9362616075967228,0.8845263122068814,0.829224312926897,0.8325822876499623,0.7979410373468464,0.8069556330393687,0.8301576707911115,0.8573767068652542,0.8776672870429809,0.8881293962441077,0.9140123437275184
Illinois,2154.3647864596155,2182.0848164292515,2182.9208233241443,2225.9844396135973,2212.440615970144,2239.984775364581,2264.138805496051,2353.0225173485683,2406.092525384367,2342.7385410086304,2294.2092232519935,2281.5785423252532,2275.984868392438,2316.7127013124164,2341.6523365455637,2345.7377383348553,2387.3964074450737,2475.6332417058657,2575.787595871528,#d3d3d3,1,1.0128669156420764,1.0132549682597887,1.0332439768808503,1.0269572868418293,1.0397425679453614,1.0509542393778322,1.0922117424762674,1.1168454574206206,1.0874381886173417,1.0649121437888853,1.0590493108062238,1.0564528731147185,1.0753576719565658,1.0869340008076014,1.0888303378694437,1.1081672066170427,1.149124445992365,1.1956134875860367
Indiana,1914.3758847770625,1911.05019782561,1922.201300329828,1920.7870535441768,1864.76068460359,1866.9215780190395,1858.0767193323602,1919.2929775213395,1929.7323972572126,1815.1035129086467,1782.251490098124,1747.2488651132442,1726.7221118166487,1750.0977704645836,1776.9265654125118,1811.5202248632932,1801.6741142719306,1818.9446878689746,1863.7696932162464,#d3d3d3,1,0.9982627826761201,1.0040877110994724,1.0033489602632875,0.9740828326516188,0.9752116044004863,0.9705913734641206,1.002568509551012,1.0080216809051261,0.9481437409142999,0.9309830447982659,0.9126989527016106,0.9019765269440453,0.9141871167419089,0.9282014987456043,0.9462719621931784,0.9411287138532585,0.9501502303351459,0.9735651749673448
Iowa,2071.4855735511323,2051.2174350964174,2034.5127334129668,2073.4124211157846,2111.1567175162413,2137.10512541479,2160.521197900167,2210.6236378625035,2204.321263463492,2118.8388549233814,2090.9321705391094,2109.3164682403844,2154.8761105345734,2242.730857350304,2329.3485346297,2364.396202826371,2379.69438184724,2367.5668987882673,2376.2187719881576,#d3d3d3,1,0.9902156506839825,0.9821515338507604,1.0009301766757415,1.0191510597378195,1.0316775326372014,1.042981532425737,1.0671682516585659,1.0641258098093536,1.0228595757445087,1.009387754004311,1.018262687982132,1.0402563928265671,1.0826678621302717,1.124482141884539,1.141401240257302,1.148786364834657,1.1429318789459706,1.147108530384126
Kansas,2048.3313942055424,2019.594533828859,1989.8295355714235,1989.9493775305716,2067.1197418663614,2129.8168036041093,2207.830280252182,2248.6871775245886,2145.942904507666,1979.364733168966,1909.1524470642755,1916.4999623366177,1922.2233056799528,1964.584774998509,1965.9475076297456,2123.040078067713,2183.0017063830473,2269.9798787391437,2339.9101064846036,#d3d3d3,1,0.985970600041587,0.97143926085417,0.9714977679685397,1.009172513644017,1.0397813603936736,1.0778677153989051,1.0978141446671306,1.0476541591747572,0.9663303207519672,0.9320525245402255,0.9356395980446044,0.9384337471552051,0.9591147118850292,0.9597800010248098,1.0364729477239432,1.065746349715905,1.1082092893565052,1.1423493840420054
Kentucky,1831.4448853519616,1853.9926601647337,1879.335604008729,1898.863674635277,1916.1736535099892,2054.6795691301236,2062.750925083479,2046.036540954687,2043.6746204277922,2073.7956218631903,2046.886127044456,2010.6469112207074,1968.4962827322527,1981.5813932015333,2017.426317245966,2017.3773089752622,2016.314004718922,2016.139552331398,1999.4275934641607,#d3d3d3,1,1.0123114678432918,1.0261491454314575,1.0368118035232925,1.0462633458618902,1.1218899272173628,1.1262970245960013,1.1171706871001394,1.1158810383939264,1.1323276165444938,1.1176345755286496,1.0978473484525892,1.0748323897030365,1.081977082166313,1.1015490192369415,1.1015222598891194,1.1009416777133496,1.1008464237480684,1.0917214104861892
