State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,color,tooltip_02,tooltip_03,tooltip_04,tooltip_05,tooltip_06,tooltip_07,tooltip_08,tooltip_09,tooltip_10,tooltip_11,tooltip_12,tooltip_13,tooltip_14,tooltip_15,tooltip_16,tooltip_17,tooltip_18,tooltip_19,tooltip_20
United States,12851.029835790101,13060.049337020917,13353.039130215859,13633.601972286215,13928.798322282708,14488.908949912297,14618.190247102568,14682.433956351457,14586.094160793604,14449.599293040957,13941.277457990573,13759.909601534537,13986.15381632884,14370.842511257848,14918.255435846406,15132.567666695826,15341.041899140962,15903.898274195246,16062.110879036612,#d3d3d3,1,1.016264805537117,1.0390637404815342,1.0608956750156047,1.083866312681885,1.1274511953556208,1.1375111904565756,1.1425103002609875,1.1350136407100504,1.1243923232361381,1.0848373738238575,1.070724274813619,1.0883294175675648,1.1182638819524853,1.1608606957163141,1.1775373538198195,1.1937597293888604,1.2375582717816833,1.2498695500887917
Alabama,10191.629757682173,10080.825758371264,10132.701375243481,10834.25724454184,11069.146161804581,11984.658405635235,12636.130491733982,11548.38802497669,11536.985275453839,11490.842114662186,10833.197167860044,10681.772723254171,10880.861087856803,10882.963742842803,11041.767110523295,11256.631656487234,11272.053263974809,11579.927957869177,11729.176648560202,#d3d3d3,1,0.9891279410707216,0.9942179627949815,1.0630544380181464,1.0861016760799185,1.1759314938419467,1.2398537615840304,1.1331247601760484,1.132005925426949,1.1274783707680023,1.0629504235761975,1.0480926973630045,1.0676271947237004,1.067833506671445,1.0834152508533104,1.1044977029313974,1.106010866954644,1.1362194499992058,1.150863691817206
Alaska,14956.848994382022,15112.93355433503,15321.421187700647,16190.407374296141,15813.844599286756,17167.16451022085,20361.88405292862,19867.144645960336,20163.98889287879,20834.133819437102,20605.227494475646,21585.438445853397,22337.67710228643,24281.99871861901,20334.31009349536,20001.959233879574,19718.08954068037,19836.761219645356,19782.9521955506,#d3d3d3,1,1.0104356579391578,1.024374933079525,1.0824744824513144,1.0572978710440035,1.1477794899626952,1.3613752509353272,1.3282974678304689,1.3481441779918106,1.3929493991189361,1.3776449506319963,1.4431808767983922,1.4934748027928033,1.6234702060400308,1.359531683520585,1.3373110366623717,1.3183317922168452,1.3262660622632674,1.3226684446022903
Arizona,10352.962383808106,10328.415555161977,10505.386665385264,10490.15747318614,10378.181248685207,11286.59980394326,11308.335463898484,10645.379981817243,10752.004501651327,10248.08905766157,9436.99136523571,9560.524128040204,9618.938550707264,9385.412496340245,9701.917098392849,9740.411641653414,9990.62373821166,10477.502821862368,10790.396995937353,#d3d3d3,1,0.9976290043626045,1.0147227697664145,1.0132517712604274,1.0024359080949181,1.0901807024427472,1.0922801652968979,1.0282448237681685,1.0385437619736084,0.9898702108383435,0.9115257078490923,0.923457825268711,0.9291001159002716,0.9065436682179879,0.9371150728381392,0.9408332881501904,0.9650014525153555,1.0120294494886837,1.0422521203026285
Arkansas,10080.872574564557,10132.584089827278,10282.170219028862,11524.087848523575,11586.105441189224,11693.516587415379,11716.007854940597,11956.082865979297,12619.312028268176,12619.638499679195,12244.13039910148,11754.982966223419,11807.249405784349,11993.561018865337,12133.146596218428,12089.037776085066,12016.192636813079,11920.047725419427,11828.052427775403,#d3d3d3,1,1.0051296665918779,1.0199682758586004,1.1431637254894433,1.149315731896322,1.1599706772328169,1.1622017606394226,1.186016664484596,1.251807513181791,1.2518398984151726,1.2145903351655414,1.16606800445855,1.1712527182989774,1.1897344133807186,1.2035809902837225,1.199205494035049,1.1919794192351567,1.1824420591819962,1.1733163315266204
California,12470.829141786562,13229.750700144366,12888.732179621185,12859.648254065367,13272.337693924068,14173.627513042467,14156.937798794559,13889.066115029873,12558.13612391978,12869.10221178659,12132.686909399261,11898.667370222473,12286.430908832759,13162.151605314344,15034.062097779162,15247.762557114356,14996.920552645597,17138.392253848964,16934.188331739213,#d3d3d3,1,1.0608557418058797,1.0335104453026573,1.031178288777606,1.0642706706205969,1.1365425146873565,1.135204214398085,1.1137243528171805,1.0070008963430246,1.0319363745162313,0.9728853447880003,0.9541199895324585,0.9852136348868792,1.0554351643878543,1.205538294755708,1.2226743213106015,1.202560020840535,1.3742784909483357,1.357903964460316
Colorado,11321.218804694783,11772.132012128746,11843.565598909758,12021.706398431095,12006.640728077646,12169.547907546623,12215.295776007804,12189.597606432297,12563.443796110923,12127.260047357431,11492.04935941183,11473.01407126251,11536.468008222559,11967.440449502981,12339.154108497321,12431.617721109049,12827.319687272036,13965.846366518072,14495.981202598352,#d3d3d3,1,1.0398290338887342,1.0461387420582635,1.0618738676303852,1.0605431213023306,1.0749326655978106,1.0789735616577127,1.0767036497322537,1.109725376114187,1.0711973910731583,1.0150894137516542,1.0134080322257157,1.019012900222237,1.0570805719734184,1.0899139325335194,1.0980812168345158,1.1330334576655907,1.2335991916989177,1.28042584925459
Connecticut,17157.30039996628,17430.07277831454,17695.613882606805,18641.018055221055,19259.174283528053,19853.51391405941,20174.453855796364,20822.40212343681,20855.92047237242,21048.693375741685,21352.177453037482,21701.120675413382,22526.856248587457,23353.18939369729,24148.758806403297,23666.10657694958,23943.611396308137,25051.31582509567,24874.654093647776,#d3d3d3,1,1.015898327358586,1.031375185494892,1.0864773373821497,1.1225060956306334,1.1571467218758045,1.1758524584576262,1.2136176227046611,1.2155712137798445,1.2268068335379296,1.2444951685452479,1.2648330547069067,1.3129604147183744,1.3611226037485002,1.4074917524000896,1.3793607400495298,1.3955348940766459,1.4600965910199313,1.449799998471593
Delaware,14895.840937631967,15332.71812940944,16025.83850204366,16446.390264177655,16995.875087787244,18063.260240702286,17558.001106007814,17180.665907099297,17107.820712223624,16618.188921541314,17299.047193484428,17607.642473850367,17287.863728769822,17633.916246039855,17819.11980535609,19248.520755266058,18699.074095028234,18822.087026507157,20032.21760031079,#d3d3d3,1,1.029328803496671,1.0758599376257392,1.1040927687827595,1.1409812416061638,1.2126378306758325,1.1787183536345587,1.15338677279341,1.148496468501046,1.1156260993334126,1.161334043906252,1.1820509192849573,1.160583266238752,1.1838147520419997,1.1962479916349622,1.2922077266975736,1.2553218158894275,1.2635800224582256,1.3448195160101761
District of Columbia,24008.877794630193,23310.34393560605,22964.757671486757,23899.64776313394,23705.669016454496,25418.124176340374,25569.5644997611,21655.907010087656,32357.312535814995,33783.180945860964,33725.73887933734,32716.926081404643,32696.318569539235,32554.347940521842,29706.004877390587,33268.59848395714,32432.750957978693,31600.561189299144,31204.508445979125,#d3d3d3,1,0.9709051849486954,0.9565110817725532,0.9954504316098988,0.9873709724890385,1.0586968867834952,1.0650045669972952,0.9019958031912345,1.3477228220575976,1.4071120372571884,1.4047195028365886,1.3627011791747337,1.3618428503498015,1.3559295948352457,1.2372925186880084,1.385679029587879,1.3508649273575202,1.3162031753257082,1.2997070797269126
